date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,late_aircraft_ct,arr_cancelled,arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,total_delayed_flights
2018-1,MQ,Envoy Air,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",5,3,1,0,2,0,0,104,54,1,49,0,6
2018-1,MQ,Envoy Air,BNA,"Nashville, TN: Nashville International",110,21,7,1,7,6,3,897,344,37,226,290,42
2018-1,MQ,Envoy Air,BOI,"Boise, ID: Boise Air Terminal",32,8,0,0,6,2,0,353,9,18,233,93,16
2018-1,MQ,Envoy Air,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",63,11,2,1,3,5,3,657,83,34,130,410,22
2018-1,MQ,Envoy Air,BUF,"Buffalo, NY: Buffalo Niagara International",31,12,1,3,7,2,0,484,27,136,207,114,25
2018-1,MQ,Envoy Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",112,40,9,2,13,16,3,2198,567,101,553,977,80
2018-1,MQ,Envoy Air,BZN,"Bozeman, MT: Bozeman Yellowstone International",36,7,1,1,5,1,0,227,43,27,115,42,15
2018-1,MQ,Envoy Air,CAE,"Columbia, SC: Columbia Metropolitan",64,9,2,1,3,3,1,611,120,150,100,241,18
2018-1,MQ,Envoy Air,CHO,"Charlottesville, VA: Charlottesville Albemarle",53,16,3,0,2,10,3,696,123,6,72,473,31
2018-1,MQ,Envoy Air,CHS,"Charleston, SC: Charleston AFB/International",63,4,2,0,0,2,12,291,108,1,12,170,8
2018-1,MQ,Envoy Air,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",158,34,8,4,17,5,2,1323,363,194,491,275,68
2018-1,MQ,Envoy Air,CLE,"Cleveland, OH: Cleveland-Hopkins International",200,41,12,1,10,18,11,2043,744,99,409,791,82
2018-1,MQ,Envoy Air,CLL,"College Station/Bryan, TX: Easterwood Field",112,18,7,0,1,10,5,990,332,9,38,611,36
2018-1,MQ,Envoy Air,CLT,"Charlotte, NC: Charlotte Douglas International",65,9,2,1,3,3,4,625,98,58,225,244,18
2018-1,MQ,Envoy Air,CMH,"Columbus, OH: John Glenn Columbus International",453,130,35,6,46,43,16,8247,1949,1789,1798,2711,260
2018-1,MQ,Envoy Air,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",194,51,13,8,15,15,12,2968,549,624,616,1179,102
2018-1,MQ,Envoy Air,COU,"Columbia, MO: Columbia Regional",60,14,3,1,3,6,1,845,137,95,179,434,27
2018-1,MQ,Envoy Air,CRP,"Corpus Christi, TX: Corpus Christi International",6,4,3,0,0,1,0,250,171,4,26,49,8
2018-1,MQ,Envoy Air,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",372,99,18,10,37,33,12,4356,697,658,1323,1678,197
2020-1,MQ,Envoy Air,CWA,"Mosinee, WI: Central Wisconsin",83,20,3,0,9,7,2,991,271,4,329,387,39
2018-1,MQ,Envoy Air,DAY,"Dayton, OH: James M Cox/Dayton International",49,9,2,1,2,4,4,379,56,32,66,225,18
2018-1,MQ,Envoy Air,DBQ,"Dubuque, IA: Dubuque Regional",89,22,3,1,7,10,7,1027,118,100,262,547,43
2018-1,MQ,Envoy Air,DCA,"Washington, DC: Ronald Reagan Washington National",58,7,1,0,1,4,2,386,27,0,136,204,13
2018-1,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4491,733,150,60,186,336,152,48316,11983,7471,7568,21239,1465
2018-1,MQ,Envoy Air,DSM,"Des Moines, IA: Des Moines International",111,26,7,4,10,6,2,1649,509,231,482,427,53
2018-1,MQ,Envoy Air,DTW,"Detroit, MI: Detroit Metro Wayne County",113,23,6,1,5,11,11,1287,322,36,271,658,46
2018-1,MQ,Envoy Air,ELP,"El Paso, TX: El Paso International",32,8,1,1,2,4,1,362,32,81,82,167,16
2018-1,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",58,23,3,1,14,4,4,948,87,67,547,240,45
2018-1,MQ,Envoy Air,FAR,"Fargo, ND: Hector International",142,33,11,2,14,5,3,1424,449,107,503,365,65
2018-1,MQ,Envoy Air,FSD,"Sioux Falls, SD: Joe Foss Field",124,24,9,1,8,6,4,1385,678,96,215,396,48
2018-1,MQ,Envoy Air,FSM,"Fort Smith, AR: Fort Smith Regional",47,6,0,0,1,4,2,259,17,16,34,192,11
2018-1,MQ,Envoy Air,GCK,"Garden City, KS: Garden City Regional",62,9,4,0,1,3,1,403,203,0,29,171,17
2018-1,MQ,Envoy Air,GGG,"Longview, TX: East Texas Regional",58,9,2,1,2,4,2,442,34,110,53,245,18
2018-1,MQ,Envoy Air,GJT,"Grand Junction, CO: Grand Junction Regional",78,10,4,3,3,0,0,553,238,195,108,12,20
2018-1,MQ,Envoy Air,GNV,"Gainesville, FL: Gainesville Regional",54,10,3,0,2,5,0,434,220,0,42,172,20
2018-1,MQ,Envoy Air,GRB,"Green Bay, WI: Green Bay Austin Straubel International",68,15,4,1,5,4,3,921,315,141,222,243,29
2018-1,MQ,Envoy Air,GRI,"Grand Island, NE: Central Nebraska Regional",45,7,2,0,4,1,3,290,112,0,91,87,14
2018-1,MQ,Envoy Air,GRK,"Killeen, TX: Robert Gray AAF",57,13,5,1,2,4,0,1064,329,227,122,386,25
2018-1,MQ,Envoy Air,GRR,"Grand Rapids, MI: Gerald R. Ford International",181,42,10,3,16,13,5,1889,414,127,622,726,84
2018-1,MQ,Envoy Air,GSO,"Greensboro/High Point, NC: Piedmont Triad International",203,50,12,3,17,18,8,2780,686,205,638,1251,100
2018-1,MQ,Envoy Air,GSP,"Greer, SC: Greenville-Spartanburg International",76,16,9,1,2,3,1,1031,481,53,133,364,31
2018-1,MQ,Envoy Air,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",2,0,0,0,0,0,0,0,0,0,0,0,0
2018-1,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",8,1,0,1,0,0,0,31,0,19,12,0,2
2018-1,MQ,Envoy Air,HPN,"White Plains, NY: Westchester County",62,15,6,0,6,3,7,648,319,8,167,154,30
2018-1,MQ,Envoy Air,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",7,5,1,0,2,2,0,252,88,7,63,94,10
2018-1,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",126,34,6,6,15,6,4,1936,442,439,559,496,67
2018-1,MQ,Envoy Air,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",148,22,10,2,5,5,1,1138,424,180,185,349,44
2018-1,MQ,Envoy Air,ILM,"Wilmington, NC: Wilmington International",58,18,5,0,4,9,8,970,204,21,134,611,36
2018-1,MQ,Envoy Air,IND,"Indianapolis, IN: Indianapolis International",280,75,21,4,33,18,3,3513,1041,232,1179,1061,151
2018-1,MQ,Envoy Air,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",84,11,3,0,3,5,0,347,80,6,79,182,22
2018-1,MQ,Envoy Air,JFK,"New York, NY: John F. Kennedy International",217,42,10,2,16,14,19,2305,505,424,655,721,84
2018-1,MQ,Envoy Air,JLN,"Joplin, MO: Joplin Regional",62,6,2,0,2,2,5,159,58,0,53,48,12
2018-1,MQ,Envoy Air,LAN,"Lansing, MI: Capital Region International",62,12,5,0,1,6,1,469,151,9,59,250,24
2018-1,MQ,Envoy Air,LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",93,10,3,1,0,6,1,581,199,29,45,308,20
