S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2"
1,ABUDHABI,AHMEDABAD,13311,14040,122.0,238.1
2,ABUDHABI,CHENNAI,18768,18785,669.9,701.7
3,ABUDHABI,DELHI,33639,36404,221.5,990.4
4,ABUDHABI,HYDERABAD,14655,17154,217.9,278.4
5,ABUDHABI,JAIPUR,1183,1172,0.0,0.0
6,ABUDHABI,KOCHI,55506,55263,88.7,592.3
7,ABUDHABI,KOZHIKODE,30925,27815,28.3,298.2
8,ABUDHABI,MUMBAI,49174,50458,723.1,1572.5
9,ABUDHABI,TIRUCHIRAPALLY,1446,1194,0.1,0.3
10,ABUDHABI,TRIVANDRUM,23225,20664,0.5,170.2
11,ABUDHABI,KANNUR,25439,20867,0.3,14.4
12,ABUDHABI,MANGALORE,6501,5073,0.3,19.6
13,ADDIS ABABA,DELHI,15939,19354,27.5,626.0
14,ADDIS ABABA,MUMBAI,20592,23329,1174.8,3327.8
15,ADEN,MUMBAI,2233,2142,0.0,18.7
16,AL AIN,KOZHIKODE,4598,4393,0.0,0.0
17,ALMATY,DELHI,5061,4815,3.0,126.0
18,AMSTERDAM,BENGALURU,5406,5532,171.9,257.9
19,AMSTERDAM,DELHI,26804,27870,835.9,1197.9
20,AMSTERDAM,MUMBAI,23811,25113,1066.6,1066.4
21,BAGHDAD,DELHI,5346,5089,0.0,5.7
22,BAHRAIN,BENGALURU,5704,6530,2.5,77.5
23,BAHRAIN,CHENNAI,14945,16368,19.4,201.9
24,BAHRAIN,DELHI,21278,30053,63.1,362.4
25,BAHRAIN,HYDERABAD,10273,11093,3.5,117.9
26,BAHRAIN,KOCHI,18682,20418,13.8,166.2
27,BAHRAIN,KOZHIKODE,18418,21415,8.5,284.0
28,BAHRAIN,MUMBAI,13827,24265,23.3,396.9
29,BAHRAIN,TRIVANDRUM,13336,14184,5.4,108.2
30,BAHRAIN,KANNUR,1763,2061,0.7,32.5
31,BAHRAIN,MANGALORE,1477,1632,0.0,0.2
32,BANGKOK,BENGALURU,16344,15686,6451.6,1920.6
33,BANGKOK,CHENNAI,12226,13348,1124.3,1087.0
34,BANGKOK,DELHI,61291,74909,3456.7,1852.5
35,BANGKOK,HYDERABAD,6048,6443,0.0,0.0
36,BANGKOK,KOLKATA,26520,27866,99.0,254.6
37,BANGKOK,MUMBAI,39455,42680,1586.7,1304.2
38,BIRMINGHAM,AMRITSAR,2292,2750,0.2,16.5
39,BIRMINGHAM,DELHI,188,163,3.4,77.2
40,CAIRO,MUMBAI,2514,4289,1014.7,1086.8
41,CHENGDU,BENGALURU,0,0,14.3,0.3
42,CHICAGO,DELHI,46577,47799,723.0,543.3
43,CHITTAGONG,KOLKATA,3795,4225,0.0,0.0
44,COLOGNE,DELHI,0,0,897.9,6132.1
45,COLOMBO,BENGALURU,8166,8257,209.5,343.5
46,COLOMBO,CHENNAI,80404,66446,1356.4,1136.9
47,COLOMBO,DELHI,10192,13322,140.2,288.0
48,COLOMBO,HYDERABAD,5955,6555,5.4,140.7
49,COLOMBO,KOCHI,13328,12695,6.2,174.7
50,COLOMBO,MUMBAI,8060,13555,322.3,412.7
51,COLOMBO,TIRUCHIRAPALLY,9630,11488,2.5,185.6
52,COLOMBO,TRIVANDRUM,13016,9767,4.2,134.7
53,COLOMBO,MADURAI,3968,5341,0.4,71.4
54,DAMMAM,CHENNAI,4239,4731,0.7,3.6
55,DAMMAM,DELHI,20311,26407,2.3,72.3
56,DAMMAM,HYDERABAD,13623,16593,0.0,44.1
57,DAMMAM,KOZHIKODE,15001,17796,5.9,253.5
58,DAMMAM,LUCKNOW,7407,9081,0.2,26.6
59,DAMMAM,MUMBAI,11567,14613,10.7,84.6
60,DAMMAM,KANNUR,1492,1787,0.0,10.2
61,DAMMAM,MANGALORE,4560,5219,0.0,39.0
62,DAR ES SALAM,MUMBAI,3229,4268,141.1,123.0
63,DHAKA,CHENNAI,3784,3941,10.2,19.0
64,DHAKA,DELHI,20216,18812,64.1,282.8
65,DHAKA,HYDERABAD,2973,2194,23.0,37.6
66,DHAKA,KOLKATA,47729,57830,85.5,595.3
67,DHAKA,MUMBAI,3521,1847,2.8,38.7
68,DOHA,AHMEDABAD,12212,14744,1918.6,2202.2
69,DOHA,AMRITSAR,12288,13515,1.9,3.8
70,DOHA,BENGALURU,32613,33204,3744.0,4044.5
71,DOHA,CHENNAI,36490,35718,4934.2,4359.7
72,DOHA,DELHI,75401,80920,2655.5,5243.5
73,DOHA,GOA,10607,12539,1.9,0.3
74,DOHA,HYDERABAD,44727,41367,2126.4,2731.5
75,DOHA,KOCHI,60699,58927,429.7,1766.7
76,DOHA,KOLKATA,16332,19719,798.0,786.9
77,DOHA,KOZHIKODE,34341,32357,325.1,679.8
78,DOHA,MUMBAI,50994,56258,5488.4,5317.4
79,DOHA,TIRUCHIRAPALLY,1417,1292,35.9,26.5
80,DOHA,TRIVANDRUM,17320,17486,2.7,117.5
81,DOHA,KANNUR,16596,17301,212.9,357.2
82,DOHA,MANGALORE,2459,2406,92.5,87.5
83,DOHA,NAGPUR,1412,1191,0.0,0.0
84,DON MUEANG,BENGALURU,2225,2109,0.0,20.0
85,DON MUEANG,CHENNAI,3898,4958,0.0,0.7
86,DON MUEANG,JAIPUR,3029,3715,0.0,0.0
87,DON MUEANG,KOCHI,3280,3507,0.0,0.1
88,DON MUEANG,KOLKATA,4671,5355,0.0,11.4
89,DON MUEANG,MUMBAI,732,732,0.0,0.4
90,DUBAI,AHMEDABAD,57158,62073,385.6,1409.7
91,DUBAI,AMRITSAR,22536,25951,2.2,37.7
92,DUBAI,BENGALURU,96103,94974,4365.3,5741.5
93,DUBAI,CHENNAI,114809,112230,4144.8,4116.8
94,DUBAI,DELHI,212693,237850,2586.6,9092.6
95,DUBAI,GOA,2226,2641,0.1,0.0
96,DUBAI,HYDERABAD,121461,121640,562.0,3742.4
97,DUBAI,JAIPUR,13928,15516,1.8,0.7
98,DUBAI,KOCHI,122397,114717,872.4,2812.5
99,DUBAI,KOLKATA,38739,41174,510.6,1832.3
100,DUBAI,KOZHIKODE,77904,68747,151.6,910.2
101,DUBAI,LUCKNOW,31270,32036,1.4,419.8
102,DUBAI,MUMBAI,251082,268864,6946.2,10665.9
103,DUBAI,TIRUCHIRAPALLY,21702,18157,1.2,142.0
104,DUBAI,TRIVANDRUM,37919,35881,24.5,1435.5
105,DUBAI,KANNUR,14010,12750,0.0,46.8
106,DUBAI,MADURAI,14880,13994,0.0,78.3
107,DUBAI,MANGALORE,48480,45890,0.4,164.7
108,DUBAI,CHANDIGARH,12064,13739,0.0,0.0
109,DUBAI,INDORE,1706,1833,0.0,0.0
110,DUBAI,PUNE,14167,13614,0.0,8.5
