S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2"
1,ABUDHABI,AHMEDABAD,8830,9777,204.3,250.9
2,ABUDHABI,BENGALURU,12696,20259,475.4,544.3
3,ABUDHABI,CHENNAI,35228,39881,803.3,1115.0
4,ABUDHABI,DELHI,55714,61516,393.6,1371.0
5,ABUDHABI,HYDERABAD,25076,30397,408.9,483.6
6,ABUDHABI,JAIPUR,1581,1636,0.0,0.0
7,ABUDHABI,KOCHI,62649,69174,123.9,868.3
8,ABUDHABI,KOZHIKODE,33131,38772,36.0,560.8
9,ABUDHABI,LUCKNOW,6234,7498,0.0,66.9
10,ABUDHABI,MUMBAI,80091,89529,1346.4,2712.2
11,ABUDHABI,TIRUCHIRAPALLY,1258,1702,0.0,22.3
12,ABUDHABI,TRIVANDRUM,31822,34620,1.1,460.3
13,ABUDHABI,KANNUR,25545,26954,0.1,206.3
14,ABUDHABI,MANGALORE,5691,6504,0.8,119.7
15,ADDIS ABABA,DELHI,18888,21038,220.9,819.9
16,ADDIS ABABA,MUMBAI,21926,27421,807.0,2545.3
17,ADEN,MUMBAI,2842,2744,0.1,24.4
18,AL AIN,KOZHIKODE,4072,4273,0.0,34.8
19,AMSTERDAM,BENGALURU,14297,16967,615.4,749.1
20,AMSTERDAM,DELHI,31741,33468,1044.0,1210.4
21,AMSTERDAM,MUMBAI,27309,31355,1257.8,1136.4
22,BAGHDAD,DELHI,8136,8285,0.0,5.9
23,BAHRAIN,BENGALURU,6117,10344,5.0,55.3
24,BAHRAIN,CHENNAI,11801,16710,12.3,161.9
25,BAHRAIN,DELHI,26311,38750,15.3,435.3
26,BAHRAIN,HYDERABAD,8318,14248,5.7,97.3
27,BAHRAIN,KOCHI,16746,20245,6.8,223.8
28,BAHRAIN,KOZHIKODE,13939,17822,5.6,221.0
29,BAHRAIN,MUMBAI,18666,39804,17.4,353.7
30,BAHRAIN,TRIVANDRUM,10850,13278,1.2,92.3
31,BAHRAIN,KANNUR,1719,1578,2.3,21.4
32,BAHRAIN,MANGALORE,1225,1369,2.2,31.0
33,BAKU,DELHI,461,420,0.0,0.0
34,BANGKOK,BENGALURU,31558,33058,6456.7,1180.3
35,BANGKOK,CHENNAI,15953,19672,1115.3,1018.8
36,BANGKOK,DELHI,106294,118505,3421.4,1249.4
37,BANGKOK,HYDERABAD,10357,11154,0.0,0.0
38,BANGKOK,KOLKATA,36596,39041,70.5,526.9
39,BANGKOK,MUMBAI,59047,61760,1848.1,1404.6
40,BANGKOK,GAYA,327,321,0.0,0.0
41,BANGKOK,BAGDOGRA,50,113,0.0,0.0
42,BIRMINGHAM,AMRITSAR,2446,2378,0.5,11.7
43,BIRMINGHAM,DELHI,780,905,13.8,33.6
44,CAIRO,MUMBAI,4728,7281,337.2,426.7
45,CHENGDU,BENGALURU,0,0,18.1,0.0
46,CHICAGO,DELHI,46231,48614,784.3,558.5
47,CHITTAGONG,KOLKATA,4475,5149,0.0,0.0
48,COLOGNE,DELHI,0,0,2260.2,3778.6
49,COLOMBO,BENGALURU,6156,7317,90.1,190.3
50,COLOMBO,CHENNAI,73396,68941,907.2,862.9
51,COLOMBO,DELHI,8432,9841,25.1,131.5
52,COLOMBO,HYDERABAD,4209,6287,3.9,59.8
53,COLOMBO,KOCHI,11578,13434,8.8,144.3
54,COLOMBO,MUMBAI,6334,9736,279.9,431.7
55,COLOMBO,TIRUCHIRAPALLY,7110,10615,1.8,149.2
56,COLOMBO,TRIVANDRUM,10219,7500,5.1,93.1
57,COLOMBO,MADURAI,3867,6637,0.2,60.1
58,DAMMAM,CHENNAI,4675,6542,9.8,14.6
59,DAMMAM,DELHI,20144,29412,5.1,64.6
60,DAMMAM,HYDERABAD,12854,18328,0.8,20.6
61,DAMMAM,KOCHI,7241,8857,0.0,80.3
62,DAMMAM,KOZHIKODE,12772,15083,5.1,159.6
63,DAMMAM,LUCKNOW,7506,12428,2.1,10.9
64,DAMMAM,MUMBAI,10930,15264,0.6,51.1
65,DAMMAM,TRIVANDRUM,10664,14124,0.1,66.8
66,DAMMAM,KANNUR,3259,4149,0.0,0.0
67,DAMMAM,MANGALORE,3963,5289,0.0,40.0
68,DAR ES SALAM,MUMBAI,7144,7983,2.9,282.9
69,DHAKA,CHENNAI,5826,5917,17.0,22.1
70,DHAKA,DELHI,32078,30295,125.2,287.2
71,DHAKA,HYDERABAD,3067,2685,15.0,27.3
72,DHAKA,KOLKATA,58284,61025,90.9,528.5
73,DOHA,AHMEDABAD,13272,14018,1618.5,2292.4
74,DOHA,AMRITSAR,11282,11627,2.5,22.1
75,DOHA,BENGALURU,34945,40395,3256.8,3730.0
76,DOHA,CHENNAI,35317,39622,4397.9,4061.4
77,DOHA,DELHI,75174,81256,2632.5,4348.3
78,DOHA,GOA,10757,11718,3.0,3.8
79,DOHA,HYDERABAD,40248,46298,1764.4,2390.6
80,DOHA,KOCHI,55856,64750,265.5,1678.9
81,DOHA,KOLKATA,15669,18399,837.3,1109.5
82,DOHA,KOZHIKODE,27518,34932,22.6,448.5
83,DOHA,MUMBAI,48914,64168,4825.2,4451.9
84,DOHA,TIRUCHIRAPALLY,1339,1856,0.0,25.9
85,DOHA,TRIVANDRUM,14701,17321,7.2,208.0
86,DOHA,KANNUR,15281,24180,0.0,366.5
87,DOHA,MANGALORE,1891,3223,0.8,67.4
88,DOHA,NAGPUR,4208,5431,0.1,22.2
89,DON MUEANG,BENGALURU,11967,11848,0.0,144.9
90,DON MUEANG,CHENNAI,13185,14760,33.5,0.0
91,DON MUEANG,JAIPUR,8519,8369,0.0,0.0
92,DON MUEANG,KOCHI,8650,9224,0.0,3.7
93,DON MUEANG,KOLKATA,12854,13871,1.3,140.7
94,DON MUEANG,MUMBAI,9464,10552,7.1,4.3
95,DUBAI,AHMEDABAD,55319,64563,567.7,1573.2
96,DUBAI,AMRITSAR,27544,28873,0.6,206.9
97,DUBAI,BENGALURU,90966,113074,3898.8,6187.3
98,DUBAI,CHENNAI,108856,133728,3740.5,4633.1
99,DUBAI,DELHI,221135,251946,2345.8,8555.1
100,DUBAI,GOA,4658,4444,0.8,1.1
101,DUBAI,HYDERABAD,106983,133934,674.8,3322.8
102,DUBAI,JAIPUR,13376,16872,1.5,139.0
103,DUBAI,KOCHI,111793,126980,684.4,3358.4
104,DUBAI,KOLKATA,40735,48732,926.6,2356.6
105,DUBAI,KOZHIKODE,72222,75112,97.9,1227.3
106,DUBAI,LUCKNOW,27124,34081,1.8,381.2
107,DUBAI,MUMBAI,248866,295621,6798.4,12609.9
108,DUBAI,TIRUCHIRAPALLY,21572,24812,0.0,333.0
109,DUBAI,TRIVANDRUM,34918,39512,35.8,1530.5
110,DUBAI,KANNUR,16051,15147,0.0,56.9
111,DUBAI,MADURAI,13518,15293,0.0,116.3
112,DUBAI,MANGALORE,44499,49144,0.6,468.3
113,DUBAI,CHANDIGARH,14264,14868,0.0,0.0
114,DUBAI,INDORE,1846,1853,0.0,0.0
115,DUBAI,PUNE,13578,14865,0.0,4.7
116,FRANKFURT,BENGALURU,25461,30873,1713.9,1858.7
117,FRANKFURT,CHENNAI,8625,9917,1750.4,435.0
118,FRANKFURT,DELHI,54536,59583,1804.8,2078.2
119,FRANKFURT,MUMBAI,24840,27580,4912.4,4097.7
120,GUANGZHOU,DELHI,0,0,2231.2,605.6
121,GUANGZHOU,MUMBAI,0,0,0.0,562.4
122,HAA DHAALU ATOLL,TRIVANDRUM,829,947,0.0,2.0
123,HANOI,DELHI,7813,10118,673.5,198.3
124,HANOI,KOLKATA,2670,3651,12.0,27.0
125,HELNSKI,DELHI,21450,26158,1106.3,1220.9
126,HO CHI MINH CITY,DELHI,6242,7005,10.8,20.5
127,HO CHI MINH CITY,KOLKATA,5104,5517,53.8,27.3
128,HONG KONG,BENGALURU,0,0,888.3,867.5
129,HONG KONG,CHENNAI,0,0,6279.7,2868.6
130,HONG KONG,DELHI,6682,15304,13906.0,912.4
131,HONG KONG,MUMBAI,3249,5195,2797.5,2560.9
132,ISTANBUL,BENGALURU,0,0,1347.8,1205.9
133,ISTANBUL,CHENNAI,0,0,2178.2,1407.7
134,ISTANBUL,DELHI,46076,50183,1368.2,1462.9
135,ISTANBUL,HYDERABAD,0,0,588.2,2028.5
136,ISTANBUL,MUMBAI,28571,32237,4414.0,2911.7
137,JEDDAH,AHMEDABAD,1234,1270,0.0,0.0
138,JEDDAH,BENGALURU,6215,8836,74.0,205.9
139,JEDDAH,CHENNAI,5450,7897,111.4,343.9
140,JEDDAH,DELHI,35119,52432,162.9,831.1
141,JEDDAH,HYDERABAD,18921,23415,22.3,324.9
142,JEDDAH,KOCHI,19347,19506,141.5,508.0
143,JEDDAH,KOZHIKODE,36106,37269,4.1,209.8
144,JEDDAH,LUCKNOW,11425,16197,12.5,151.1
145,JEDDAH,MUMBAI,50465,72706,288.4,793.6
146,KABUL,DELHI,113,5,1.6,93.7
147,KABUL,MUMBAI,0,0,0.0,47.7
148,KATHMANDU,DELHI,77344,72531,153.3,171.3
149,KATHMANDU,KOLKATA,5239,4277,0.3,0.7
150,KATHMANDU,MUMBAI,5492,4212,0.8,18.1
151,KATHMANDU,VARANASI,1099,918,0.0,0.0
152,KIGALI,MUMBAI,2029,2581,0.0,0.0
153,KUALALUMPUR,AMRITSAR,930,746,0.0,0.0
154,KUALALUMPUR,BENGALURU,19457,23041,298.1,420.5
155,KUALALUMPUR,CHENNAI,56694,66996,569.3,854.4
156,KUALALUMPUR,DELHI,28568,34643,564.8,1084.3
157,KUALALUMPUR,HYDERABAD,14404,17084,173.8,350.6
158,KUALALUMPUR,KOCHI,18046,20598,11.5,32.8
159,KUALALUMPUR,KOLKATA,11510,13301,5.2,130.7
160,KUALALUMPUR,MUMBAI,13377,17803,657.8,889.5
161,KUALALUMPUR,TIRUCHIRAPALLY,36993,48891,1.7,367.8
162,KUWAIT,AHMEDABAD,13804,25865,7.4,134.4
163,KUWAIT,BENGALURU,3844,4267,0.0,76.5
164,KUWAIT,CHENNAI,34135,46783,90.8,641.6
165,KUWAIT,DELHI,24969,39278,62.4,913.6
166,KUWAIT,HYDERABAD,15639,20659,9.0,216.8
167,KUWAIT,KOCHI,30173,38199,15.1,1230.9
168,KUWAIT,KOZHIKODE,5243,9132,0.9,127.8
169,KUWAIT,MUMBAI,35570,48354,12.2,1146.3
170,KUWAIT,TIRUCHIRAPALLY,1645,3442,0.0,60.2
171,KUWAIT,TRIVANDRUM,4325,4944,0.0,55.1
172,KUWAIT,KANNUR,5831,9738,1.3,71.1
173,KUWAIT,VIJAYAWADA,1598,0,0.0,0.0
174,KUWAIT,MANGALORE,1994,4057,4.0,80.4
175,LEIPZIG,BENGALURU,0,0,0.0,5194.0
176,LEIPZIG,DELHI,0,0,3967.0,13699.4
177,LONDON,AHMEDABAD,9097,9669,239.6,202.3
178,LONDON,AMRITSAR,8238,9151,3.5,58.0
179,LONDON,BENGALURU,16069,19289,701.7,1089.2
180,LONDON,CHENNAI,13447,16777,646.4,961.2
181,LONDON,DELHI,116392,134962,4818.3,6180.9
182,LONDON,GOA,8103,8922,161.7,383.3
183,LONDON,HYDERABAD,21393,26272,738.0,1088.7
184,LONDON,KOCHI,8497,9648,121.6,262.0
185,LONDON,MUMBAI,77424,89934,3837.6,5327.8
186,LUXEMBOURG,DELHI,0,0,117.6,365.2
187,MALE,BENGALURU,24044,24702,1.0,639.9
188,MALE,COIMBATORE,0,86,0.0,0.0
189,MALE,DELHI,8358,7859,0.2,28.3
190,MALE,KOCHI,18244,19010,0.4,451.9
191,MALE,MUMBAI,22398,26176,0.7,203.8
192,MALE,TRIVANDRUM,6236,6894,0.4,698.2
193,MALPENSA,MUMBAI,0,0,0.0,938.3
194,MEDINA,DELHI,184,0,0.0,0.0
195,MEDINA,HYDERABAD,491,0,0.0,0.0
196,MEDINA,MUMBAI,1331,0,0.2,0.0
197,MELBOURNE,DELHI,27230,33583,230.3,653.9
198,MONTREAL,DELHI,10671,12932,187.2,23.4
199,MOSCOW,DELHI,11881,11872,101.1,487.7
200,MUENCHEN,DELHI,14475,17555,439.3,767.2
201,MUENCHEN,MUMBAI,9241,10522,493.5,507.5
202,MUSCAT,BENGALURU,9263,13284,162.1,622.8
203,MUSCAT,CHENNAI,17897,29186,176.3,337.9
204,MUSCAT,DELHI,17892,27899,80.1,337.5
205,MUSCAT,GOA,1561,3600,0.6,1.1
206,MUSCAT,HYDERABAD,19598,25921,5.3,275.4
207,MUSCAT,JAIPUR,8652,12302,0.0,0.0
208,MUSCAT,KOCHI,40509,53438,63.5,423.7
209,MUSCAT,KOZHIKODE,15831,24218,98.4,421.4
210,MUSCAT,LUCKNOW,18994,27347,0.3,111.8
211,MUSCAT,MUMBAI,37760,55931,356.4,1310.3
212,MUSCAT,TIRUCHIRAPALLY,1434,1288,1.0,43.7
213,MUSCAT,TRIVANDRUM,23304,27202,0.2,261.0
214,MUSCAT,KANNUR,12217,14584,0.1,131.1
215,MUSCAT,VIJAYAWADA,686,891,0.0,0.0
216,MUSCAT,MANGALORE,2295,3171,1.3,78.8
217,NAIROBI,AHMEDABAD,4179,3989,0.0,33.9
218,NAIROBI,DELHI,3033,2914,98.0,98.4
219,NAIROBI,MUMBAI,15398,17793,10.2,112.4
220,NARITA,DELHI,4837,7831,566.7,369.7
221,NEW YORK,DELHI,45985,51043,936.2,548.8
222,NEWARK,DELHI,35570,37973,360.7,506.1
223,NEWARK,MUMBAI,12359,10731,119.3,185.3
224,PARIS,BENGALURU,15873,20193,974.6,1128.9
225,PARIS,CHENNAI,10421,8793,714.4,535.7
226,PARIS,DELHI,41995,46418,1834.4,1820.9
227,PARIS,MUMBAI,17099,19521,740.1,1851.4
228,PARO,DELHI,4622,3840,1.2,15.9
229,PARO,KOLKATA,1621,1530,0.0,2.0
230,PARO,BAGDOGRA,94,92,0.0,0.0
231,Phu Quoc Island,DELHI,527,801,0.0,0.0
232,PHUKET,BENGALURU,8847,12890,0.0,0.0
233,PHUKET,DELHI,27298,30066,52.3,5.3
234,PHUKET,KOLKATA,427,833,0.0,0.0
235,PHUKET,MUMBAI,15952,19575,6.6,6.6
236,PORT LOUIS,MUMBAI,15177,16967,140.9,876.5
237,RANGOON,DELHI,247,187,0.0,0.9
238,RANGOON,KOLKATA,1002,968,7.1,5.9
239,RAS AL-KHAIMAH,KOZHIKODE,4243,4482,0.0,52.6
240,RAS AL-KHAIMAH,MUMBAI,366,1570,0.0,0.0
241,REUNION,CHENNAI,1404,1497,0.7,12.0
242,RIYADH,DELHI,31653,46313,61.9,925.6
243,RIYADH,HYDERABAD,18673,27128,6.2,272.0
244,RIYADH,KOCHI,14800,17373,39.4,178.4
245,RIYADH,KOZHIKODE,17148,24510,17.1,213.8
246,RIYADH,LUCKNOW,10676,14458,0.4,32.0
247,RIYADH,MUMBAI,23182,44076,77.7,301.5
248,RIYADH,KANNUR,2335,3507,1.3,51.6
249,SALALAH,KOCHI,669,1723,0.0,31.3
250,SALALAH,KOZHIKODE,4024,6520,3.1,45.3
251,SALALAH,MUMBAI,0,0,0.0,1.7
252,SALALAH,TRIVANDRUM,463,0,0.0,0.0
253,SALALAH,KANNUR,659,0,0.0,0.0
254,SAN FRANCISCO,DELHI,26794,27082,127.0,204.8
255,SEOUL,DELHI,9321,10821,1089.3,1050.4
256,SEYCHELLES,MUMBAI,973,1369,0.2,20.1
257,SHARJAH,AHMEDABAD,12585,13313,68.7,95.8
