S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGARTALA,AHMEDABAD,89,131,0.0,0.0,0.0,0.0
2,AGARTALA,AIZAWL,402,299,0.0,0.0,0.0,0.0
3,AGARTALA,BENGALURU,"3,859","3,443",2.3,6.7,0.0,0.9
4,AGARTALA,DELHI,"4,660","4,634",3.0,16.8,0.1,1.3
5,AGARTALA,DIBRUGARH,862,849,0.0,0.0,0.0,0.0
6,AGARTALA,GUWAHATI,"4,995","5,238",2.4,19.2,8.5,4.1
7,AGARTALA,IMPHAL,"1,234","1,551",6.5,1.6,0.0,0.0
8,AGARTALA,KOLKATA,"36,691","35,131",40.5,278.2,3.2,8.3
9,AGARTALA,SHILLONG,716,628,0.0,0.0,0.0,0.0
10,AGATTI ISLAND,BENGALURU,27,14,0.0,0.0,0.0,0.0
11,AGATTI ISLAND,KOCHI,"1,313","1,568",0.0,4.6,0.0,0.0
12,AGATTI ISLAND,MYSORE,42,15,0.0,0.0,0.0,0.0
13,AGRA,BENGALURU,"2,703","2,673",0.0,0.8,0.0,0.0
14,AGRA,BHOPAL,218,262,0.0,0.0,0.0,0.0
15,AGRA,LUCKNOW,440,570,0.0,0.0,0.0,0.0
16,AHMEDABAD,AMRITSAR,"2,291","2,336",0.1,0.1,0.0,0.0
17,AHMEDABAD,BAGDOGRA,"1,086",681,4.2,5.7,0.0,0.0
18,AHMEDABAD,BELGAUM,735,760,0.0,0.0,0.0,0.0
19,AHMEDABAD,BENGALURU,"29,523","29,459",227.2,203.5,1.6,13.3
20,AHMEDABAD,BHOPAL,"1,957","1,838",0.1,0.0,0.0,0.8
21,AHMEDABAD,CHANDIGARH,"4,799","4,218",11.6,10.7,0.0,0.0
22,AHMEDABAD,CHENNAI,"10,802","10,630",132.5,126.6,1.3,10.3
23,AHMEDABAD,COIMBATORE,434,-,8.9,-,0.0,-
24,AHMEDABAD,DABOLIM,"13,888","14,642",26.7,4.9,0.2,0.2
25,AHMEDABAD,DEHRA DUN,"2,482","2,358",1.2,2.8,0.0,0.0
26,AHMEDABAD,DELHI,"76,376","69,201","1,163.2","1,066.7",9.5,18.4
27,AHMEDABAD,DURGAPUR,46,193,0.0,0.0,0.0,0.0
28,AHMEDABAD,GUWAHATI,177,209,0.0,0.8,0.0,0.0
29,AHMEDABAD,GWALIOR,"1,856","1,826",10.0,0.8,0.0,0.0
30,AHMEDABAD,HYDERABAD,"16,018","15,616",108.2,81.1,1.1,5.2
31,AHMEDABAD,INDORE,"2,152","1,919",0.2,0.0,0.0,0.0
32,AHMEDABAD,JAIPUR,"7,501","7,271",12.0,1.6,0.0,0.0
33,AHMEDABAD,KOLKATA,"19,397","15,770",210.5,126.4,2.4,3.3
34,AHMEDABAD,LUCKNOW,"9,212","7,534",28.0,4.0,2.5,1.4
35,AHMEDABAD,MUMBAI,"48,715","48,863",749.3,648.7,4.2,27.1
36,AHMEDABAD,NAGPUR,"2,111","2,115",0.6,0.2,0.0,0.0
37,AHMEDABAD,NASIK,993,930,0.1,0.0,0.0,0.0
38,AHMEDABAD,PATNA,"5,398","5,227",52.0,5.9,0.0,0.0
39,AHMEDABAD,PUNE,"12,693","12,262",32.5,23.6,1.0,1.6
40,AHMEDABAD,SHIRDI,137,114,0.0,0.0,0.0,0.0
41,AHMEDABAD,VARANASI,"3,035","1,874",2.5,2.5,0.0,0.0
42,AHMEDABAD,VISAKHAPATNAM,349,366,0.0,2.2,0.0,0.0
43,AIZAWL,DELHI,"1,798","1,855",0.1,5.8,0.0,0.0
44,AIZAWL,GUWAHATI,"4,155","3,399",1.8,1.0,0.0,3.4
45,AIZAWL,IMPHAL,427,450,0.0,0.0,0.0,0.0
46,AIZAWL,KOLKATA,"6,016","5,958",0.1,22.4,0.0,10.0
47,AIZAWL,MUMBAI,51,34,0.0,0.0,0.0,0.0
48,AIZAWL,SHILLONG,479,396,1.5,0.0,0.0,0.0
49,AJMER,DELHI,"1,780","1,905",0.0,0.0,0.0,0.0
50,AJMER,HYDERABAD,"2,214","2,318",0.0,1.5,0.0,0.0
51,AJMER,INDORE,430,447,0.0,0.0,0.0,0.0
52,AJMER,MUMBAI,"1,711","1,836",1.4,0.0,0.0,0.0
53,AJMER,SURAT,427,514,0.0,0.0,0.0,0.0
54,ALLAHABAD,BENGALURU,"4,551","4,742",0.0,3.4,0.0,2.7
55,ALLAHABAD,BHOPAL,892,"1,071",0.0,0.0,0.0,1.4
56,ALLAHABAD,BHUBANESWAR,"1,811","1,998",0.0,0.0,0.0,0.0
57,ALLAHABAD,BILASPUR,365,370,0.0,0.0,0.0,0.0
58,ALLAHABAD,DEHRA DUN,"1,515","1,610",0.0,0.0,0.0,0.0
59,ALLAHABAD,DELHI,"4,434","4,926",0.0,1.0,0.0,0.2
60,ALLAHABAD,GORAKHPUR,"1,282",917,0.0,0.0,0.0,0.0
61,ALLAHABAD,INDORE,"1,089","1,313",0.0,0.0,0.0,0.0
62,ALLAHABAD,JABALPUR,4,2,0.0,0.0,0.0,0.0
63,ALLAHABAD,LUCKNOW,894,882,0.0,0.0,0.0,0.0
64,ALLAHABAD,MUMBAI,"4,601","5,117",0.0,0.3,0.0,3.7
65,ALLAHABAD,PUNE,"1,870","2,062",0.0,0.0,0.0,0.3
66,ALLAHABAD,RAIPUR,"1,997","1,881",0.0,0.0,0.0,0.0
67,AMRITSAR,BENGALURU,"2,377","3,103",5.4,5.6,0.0,2.9
68,AMRITSAR,CHENNAI,187,146,0.1,0.0,0.0,0.0
69,AMRITSAR,DABOLIM,"1,806","2,458",0.0,0.0,0.0,0.1
70,AMRITSAR,DELHI,"32,364","31,982",44.4,54.7,0.0,0.0
71,AMRITSAR,GUWAHATI,513,509,0.0,0.0,0.0,0.0
72,AMRITSAR,JAIPUR,"1,254","1,263",0.1,3.9,0.0,0.0
73,AMRITSAR,JAMMU,-,119,-,0.0,-,0.0
74,AMRITSAR,KOLKATA,"4,565","4,397",0.8,1.8,0.0,0.0
75,AMRITSAR,LUCKNOW,"1,670","1,204",0.0,0.0,0.0,0.0
76,AMRITSAR,MUMBAI,"14,872","15,515",5.9,17.2,0.0,0.2
77,AMRITSAR,PATNA,"1,584","1,394",3.8,0.1,0.0,0.0
78,AMRITSAR,PUNE,"3,578","4,411",0.1,0.5,0.0,0.1
79,AMRITSAR,SRINAGAR,"9,109","7,320",0.1,1.1,0.0,0.5
80,AURANGABAD,DELHI,"7,563","7,165",22.8,51.5,0.4,0.1
81,AURANGABAD,HYDERABAD,"2,201","2,036",0.2,0.1,0.0,0.0
82,AURANGABAD,MUMBAI,"6,559","6,388",3.4,1.0,1.0,4.4
83,BAGDOGRA,BENGALURU,"6,971","7,392",55.4,32.8,0.0,2.3
84,BAGDOGRA,CHENNAI,"3,903","4,376",12.1,3.6,0.6,1.0
85,BAGDOGRA,DELHI,"19,122","20,348",38.4,122.1,2.5,3.2
86,BAGDOGRA,DIBRUGARH,873,850,0.0,0.2,0.0,0.0
87,BAGDOGRA,GUWAHATI,945,-,29.8,-,0.0,-
88,BAGDOGRA,HYDERABAD,"2,672","2,651",9.4,11.5,0.0,0.0
89,BAGDOGRA,KOLKATA,"15,314","15,982",42.2,32.8,6.8,7.6
90,BAGDOGRA,MUMBAI,"6,893","7,245",16.2,39.8,0.0,0.7
91,BAGDOGRA,RANCHI,31,41,0.0,0.0,0.0,0.0
92,BAREILLY,BENGALURU,"2,717","2,675",0.0,0.2,0.0,0.0
93,BAREILLY,DELHI,"1,634","1,376",0.0,0.0,0.0,0.0
94,BAREILLY,MUMBAI,"3,259","3,735",0.0,0.2,0.0,0.0
95,BELGAUM,BENGALURU,"2,113","2,036",0.3,0.4,0.0,0.0
96,BELGAUM,DELHI,"4,532","4,309",0.1,0.4,0.0,0.0
97,BELGAUM,HYDERABAD,"3,940","3,733",4.1,5.2,0.0,0.0
98,BELGAUM,INDORE,493,481,0.0,0.0,0.0,0.0
99,BELGAUM,JODHPUR,560,510,0.0,0.0,0.0,0.0
100,BELGAUM,MUMBAI,"3,219","3,283",5.2,4.5,0.0,0.0
101,BELGAUM,NAGPUR,212,204,0.0,0.0,0.0,0.0
102,BELGAUM,NASIK,554,481,0.0,0.0,0.0,0.0
103,BELGAUM,PUNE,894,871,0.0,0.0,0.0,0.0
104,BELGAUM,SURAT,479,442,0.0,0.0,0.0,0.0
105,BELGAUM,TIRUPATI,333,300,0.0,0.0,0.0,0.0
106,BENGALURU,BHOPAL,"4,264","4,528",15.0,2.3,6.3,1.8
107,BENGALURU,BHUBANESWAR,"23,071","23,061",90.6,11.5,13.8,3.8
108,BENGALURU,CHANDIGARH,"17,191","16,030",100.2,187.2,10.1,1.2
109,BENGALURU,CHENNAI,"34,192","35,119",518.1,354.0,14.9,22.3
110,BENGALURU,COIMBATORE,"10,004","11,121",11.6,27.2,0.0,0.3
111,BENGALURU,DABOLIM,"39,950","40,335",27.7,66.9,1.2,1.8
112,BENGALURU,DARBHANGA,"10,323","8,894",59.6,21.1,0.0,0.0
113,BENGALURU,DEHRA DUN,"4,822","4,754",4.1,55.6,4.1,0.0
114,BENGALURU,DELHI,"175,445","172,421","2,341.0","2,042.7",34.2,20.9
115,BENGALURU,DIMAPUR,662,436,1.4,7.2,0.0,0.0
116,BENGALURU,DURGAPUR,"4,332","5,083",0.1,0.0,0.0,0.0
117,BENGALURU,GORAKHPUR,952,"1,566",1.7,0.0,0.0,0.0
118,BENGALURU,GUWAHATI,"26,810","23,426",146.8,26.0,20.0,6.0
119,BENGALURU,GWALIOR,"2,391","2,417",6.1,1.1,0.0,0.0
120,BENGALURU,HUBLI,"4,668","4,702",0.9,0.1,1.4,1.6
121,BENGALURU,HYDERABAD,"62,003","61,833",88.4,113.8,25.8,14.2
