S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGRA,AHMEDABAD,524,632,0.0,0.2,0.0,0.0
2,AGRA,BENGALURU,"2,522","2,490",0.4,0.3,0.0,0.0
3,AGRA,BHOPAL,122,172,0.0,0.0,0.0,0.0
4,AGRA,LUCKNOW,374,485,0.0,0.0,0.0,0.0
5,AGRA,MUMBAI,"1,795","1,847",0.0,0.2,0.0,0.0
6,AGATTI ISLAND,BENGALURU,27,41,0.0,0.0,0.0,0.0
7,AGATTI ISLAND,KOCHI,"1,629","2,007",0.6,3.4,0.0,0.0
8,AGATTI ISLAND,MYSORE,17,8,0.0,0.0,0.0,0.0
9,AGARTALA,JORHAT,-,2,-,0.0,-,0.0
10,AIZAWL,DELHI,"1,913","1,767",1.2,5.8,0.0,0.0
11,AIZAWL,GUWAHATI,"4,353","3,787",1.6,4.5,0.0,2.9
12,AIZAWL,IMPHAL,348,416,0.1,0.0,0.0,0.0
13,AIZAWL,KOLKATA,"5,040","5,212",6.3,16.6,0.0,10.2
14,AIZAWL,MUMBAI,242,147,0.7,0.2,0.0,0.0
15,AIZAWL,SHILLONG,345,442,0.0,0.0,0.0,0.0
16,AHMEDABAD,AMRITSAR,"1,179","1,146",2.4,0.0,0.0,0.0
17,AHMEDABAD,BAGDOGRA,553,247,0.0,0.0,0.0,0.0
18,AHMEDABAD,BELGAUM,769,843,0.0,0.0,0.0,0.0
19,AHMEDABAD,BENGALURU,"29,913","31,285",325.8,280.5,1.9,8.6
20,AHMEDABAD,BHOPAL,"1,614","1,982",0.7,0.0,0.0,0.7
21,AHMEDABAD,BHUJ,568,466,0.0,0.0,0.0,0.0
22,AHMEDABAD,CHANDIGARH,"6,242","5,393",21.1,25.7,0.0,0.0
23,AHMEDABAD,CHENNAI,"12,203","11,785",137.3,193.7,1.3,7.0
24,AHMEDABAD,COIMBATORE,"1,027",699,16.7,7.7,0.0,0.0
25,AHMEDABAD,DABOLIM,"16,442","17,133",19.6,7.6,0.1,0.5
26,AHMEDABAD,DEHRA DUN,"6,505","6,264",4.3,1.7,0.0,0.0
27,AHMEDABAD,DELHI,"70,771","74,000","1,171.1","1,301.6",14.3,2.8
28,AHMEDABAD,DURGAPUR,114,178,0.0,0.0,0.0,0.0
29,AHMEDABAD,GUWAHATI,866,904,2.2,5.5,0.0,0.0
30,AHMEDABAD,GWALIOR,743,762,1.7,0.1,0.0,0.0
31,AHMEDABAD,HYDERABAD,"13,836","13,757",100.9,86.7,1.3,5.9
32,AHMEDABAD,INDORE,"2,008","2,119",1.0,0.0,0.0,0.0
33,AHMEDABAD,JAIPUR,"7,343","6,888",8.7,3.8,0.0,0.0
34,AHMEDABAD,JODHPUR,"1,647","1,568",0.1,0.0,0.0,0.0
35,AHMEDABAD,KOCHI,"3,445","2,885",17.2,1.5,0.1,1.7
36,AHMEDABAD,KOLHAPUR,623,614,0.0,0.0,0.0,0.0
37,AHMEDABAD,KOLKATA,"14,599","16,007",205.6,145.5,2.3,3.4
38,AHMEDABAD,LUCKNOW,"6,912","6,727",35.0,8.9,1.9,1.9
39,AHMEDABAD,MUMBAI,"70,629","64,671",741.3,719.7,4.5,57.1
40,AHMEDABAD,NAGPUR,"2,835","2,569",1.0,0.1,0.0,0.0
41,AHMEDABAD,NASIK,829,753,0.0,0.0,0.0,0.0
42,AHMEDABAD,PATNA,"5,481","5,865",39.3,6.8,0.0,1.1
43,AHMEDABAD,PUNE,"15,299","15,089",53.9,40.1,0.8,1.4
44,AHMEDABAD,RAIPUR,"2,651","2,493",7.3,0.7,0.0,0.3
45,AHMEDABAD,RANCHI,"1,378","1,596",2.1,0.0,0.0,0.0
46,AHMEDABAD,SHIRDI,46,35,0.3,0.0,0.0,0.0
47,AHMEDABAD,TRIVANDRUM,273,282,0.0,0.0,0.0,0.0
48,AHMEDABAD,VARANASI,"4,594","5,072",16.1,1.1,0.0,0.0
49,AHMEDABAD,VISAKHAPATNAM,450,270,0.2,11.3,0.0,0.0
50,AMRITSAR,BENGALURU,"2,595","2,434",0.5,1.1,0.0,2.3
51,AMRITSAR,CHENNAI,132,134,1.7,0.0,0.0,0.0
52,AMRITSAR,DEHRA DUN,-,242,-,0.0,-,0.0
53,AMRITSAR,DELHI,"28,017","29,061",17.2,53.6,0.0,0.2
