S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGARTALA,AHMEDABAD,499,639,0.0,0.1,0.0,0.0
2,AGARTALA,AIZAWL,749,681,0.0,0.0,0.0,0.0
3,AGARTALA,BENGALURU,"3,559","2,567",11.9,3.8,0.0,0.6
4,AGARTALA,CHENNAI,"1,090",643,0.0,0.1,0.0,0.0
5,AGARTALA,DELHI,"5,326","5,522",0.0,27.3,0.0,2.5
6,AGARTALA,DIBRUGARH,"1,269","1,600",0.0,0.0,0.0,0.0
7,AGARTALA,GUWAHATI,"8,355","9,348",8.1,34.6,0.8,4.3
8,AGARTALA,IMPHAL,"1,427","1,437",0.0,3.1,0.0,0.0
9,AGARTALA,KOLKATA,"33,537","35,692",11.8,217.9,0.1,9.1
10,AGARTALA,SHILLONG,555,643,0.0,0.0,0.0,0.0
11,AGARTALA,VISAKHAPATNAM,285,98,0.0,0.0,0.0,0.0
12,AGATTI ISLAND,BENGALURU,13,21,0.0,0.0,0.0,0.0
13,AGATTI ISLAND,KOCHI,"1,908","2,455",2.4,0.1,0.2,0.0
14,AGRA,AHMEDABAD,894,803,0.0,0.0,0.0,0.0
15,AGRA,BENGALURU,"2,458","2,221",0.1,0.4,0.0,0.0
16,AGRA,BHOPAL,222,381,0.0,0.0,0.0,0.0
17,AGRA,LUCKNOW,647,634,0.0,0.0,0.0,0.0
18,AGRA,MUMBAI,"1,436","1,327",0.9,0.4,0.0,0.0
19,AHMEDABAD,AMRITSAR,"1,894","2,137",1.5,0.0,0.0,0.0
20,AHMEDABAD,BAGDOGRA,"3,935","3,971",58.8,17.7,0.0,0.0
21,AHMEDABAD,BELGAUM,909,893,0.0,0.0,0.0,0.0
22,AHMEDABAD,BENGALURU,"46,809","45,072",460.7,343.9,1.0,8.0
23,AHMEDABAD,BHOPAL,"1,814","1,996",0.7,0.0,0.0,0.7
24,AHMEDABAD,BHUBANESWAR,"2,649","2,513",8.5,0.5,0.0,0.4
25,AHMEDABAD,BHUJ,"1,000","1,033",0.0,0.0,0.0,0.0
26,AHMEDABAD,CHANDIGARH,"13,828","14,275",27.6,3.7,0.1,0.0
27,AHMEDABAD,CHENNAI,"13,712","12,980",125.4,120.9,0.9,7.5
28,AHMEDABAD,COIMBATORE,"1,489","1,457",26.7,17.0,0.0,0.0
29,AHMEDABAD,DABOLIM,"23,062","22,499",32.4,11.4,2.1,0.2
30,AHMEDABAD,DEHRA DUN,"4,560","4,402",1.5,0.5,0.4,0.0
31,AHMEDABAD,DELHI,"101,909","106,798","1,222.6","1,291.8",11.2,11.1
32,AHMEDABAD,DURGAPUR,124,130,0.0,0.0,0.0,0.0
33,AHMEDABAD,HYDERABAD,"20,088","18,920",128.5,67.9,1.0,6.2
34,AHMEDABAD,INDORE,"2,754","2,816",0.7,0.5,0.0,0.2
35,AHMEDABAD,JAIPUR,"12,909","13,645",10.0,15.9,0.0,0.0
36,AHMEDABAD,JAISALMER,"1,222","1,498",0.0,0.0,0.0,0.0
37,AHMEDABAD,JAMMU,"2,644","2,532",2.5,0.0,0.0,0.0
38,AHMEDABAD,JODHPUR,"1,634","1,678",0.0,0.0,0.0,0.0
39,AHMEDABAD,KOCHI,"5,193","4,296",23.5,5.3,0.6,1.8
40,AHMEDABAD,KOLHAPUR,"1,000",709,0.0,0.0,0.0,0.0
41,AHMEDABAD,KOLKATA,"20,844","20,741",168.6,146.8,1.5,2.0
42,AHMEDABAD,LUCKNOW,"8,755","10,062",39.1,6.3,1.5,2.2
43,AHMEDABAD,MUMBAI,"97,932","96,787",809.0,799.9,3.6,51.5
44,AHMEDABAD,NAGPUR,"4,134","4,105",1.2,0.2,0.0,0.0
45,AHMEDABAD,PATNA,"5,111","5,321",34.6,1.1,0.1,1.6
46,AHMEDABAD,PORT BLAIR,102,-,0.0,-,0.0,-
47,AHMEDABAD,PUNE,"22,116","21,146",44.8,77.1,0.1,1.6
48,AHMEDABAD,RAIPUR,"2,163","2,192",5.1,0.0,0.3,0.2
49,AHMEDABAD,RANCHI,"2,696","2,885",4.2,0.4,0.0,0.3
50,AHMEDABAD,TRIVANDRUM,419,443,1.5,0.1,0.0,0.0
51,AHMEDABAD,UDAIPUR,995,"1,043",0.0,2.0,0.0,0.0
52,AHMEDABAD,VARANASI,"6,326","8,874",11.7,4.3,0.3,0.0
53,AHMEDABAD,VISAKHAPATNAM,704,429,0.1,0.5,0.0,0.0
54,AIZAWL,DELHI,"1,680","2,212",5.5,9.9,0.0,1.1
55,AIZAWL,DIMAPUR,-,108,-,0.0,-,0.0
56,AIZAWL,GUWAHATI,"5,445","5,186",0.6,6.5,0.0,5.6
57,AIZAWL,IMPHAL,982,833,5.5,0.0,0.0,0.0
58,AIZAWL,KOLKATA,"6,542","7,696",5.8,15.0,0.0,9.6
59,AIZAWL,MUMBAI,291,451,0.2,0.0,0.0,0.0
60,AIZAWL,SHILLONG,433,673,0.0,0.0,0.0,0.0
61,AJMER,INDORE,270,248,0.0,0.0,0.0,0.0
62,AJMER,SURAT,353,337,0.0,0.0,0.0,0.0
63,ALLAHABAD,BENGALURU,"4,310","3,856",0.0,0.8,0.3,2.0
64,ALLAHABAD,BHOPAL,861,766,0.0,0.0,0.0,1.3
65,ALLAHABAD,BHUBANESWAR,"1,777","1,770",0.0,0.0,0.1,0.0
66,ALLAHABAD,BILASPUR,642,494,0.0,0.0,0.0,0.0
67,ALLAHABAD,DEHRA DUN,"1,414","1,505",0.0,0.0,0.0,0.0
68,ALLAHABAD,DELHI,"6,162","5,839",0.0,1.5,0.2,12.9
69,ALLAHABAD,GORAKHPUR,779,477,0.0,0.0,0.0,0.0
70,ALLAHABAD,INDORE,"1,705","1,504",0.0,0.0,0.0,0.0
71,ALLAHABAD,LUCKNOW,867,"1,123",0.0,0.0,0.0,0.0
72,ALLAHABAD,MUMBAI,"4,642","4,294",0.0,0.5,0.4,0.5
73,ALLAHABAD,PUNE,"1,435","1,218",0.0,0.1,0.0,0.2
74,ALLAHABAD,RAIPUR,"2,047","1,642",0.0,0.0,0.0,0.0
75,AMRITSAR,BENGALURU,"3,117","3,012",2.3,2.3,0.0,2.3
76,AMRITSAR,CHENNAI,246,250,2.7,1.8,0.0,0.0
77,AMRITSAR,DABOLIM,"2,864","2,029",0.0,0.3,0.0,0.1
78,AMRITSAR,DELHI,"41,530","43,303",20.0,34.4,0.0,0.0
79,AMRITSAR,HYDERABAD,518,281,1.2,0.0,0.0,0.0
80,AMRITSAR,KOLKATA,"3,526","3,034",8.1,0.5,0.0,0.0
81,AMRITSAR,LUCKNOW,"1,559","1,907",0.0,0.0,0.0,0.0
82,AMRITSAR,MUMBAI,"19,495","19,562",6.3,18.9,0.0,2.8
83,AMRITSAR,PUNE,"4,041","3,573",0.0,0.6,0.0,0.1
84,AMRITSAR,SRINAGAR,"3,741","3,081",0.5,1.3,0.0,0.1
85,AURANGABAD,DELHI,"9,178","10,282",9.8,42.8,0.2,2.7
86,AURANGABAD,HYDERABAD,"4,241","3,337",0.2,0.4,0.0,2.2
87,AURANGABAD,MUMBAI,"13,343","12,375",3.1,19.1,0.6,12.9
88,BAGDOGRA,BENGALURU,"21,525","21,580",127.2,67.5,3.1,5.0
89,BAGDOGRA,CHENNAI,"4,598","4,682",8.4,5.8,1.4,0.1
90,BAGDOGRA,DELHI,"43,762","50,583",112.0,285.3,3.5,2.7
91,BAGDOGRA,DIBRUGARH,"3,918","2,487",0.0,0.0,0.0,0.0
92,BAGDOGRA,GUWAHATI,"4,850",-,57.9,-,0.0,-
93,BAGDOGRA,HYDERABAD,"4,336","4,326",14.1,18.1,0.0,0.0
94,BAGDOGRA,KOLKATA,"25,992","25,809",135.0,60.0,10.3,6.4
95,BAGDOGRA,MUMBAI,"11,039","10,998",33.8,56.4,0.0,4.0
96,BAREILLY,BENGALURU,"1,771","1,565",0.0,0.1,0.0,0.0
97,BAREILLY,DELHI,"1,222","1,196",0.0,0.0,0.0,0.0
98,BAREILLY,MUMBAI,"2,365","2,282",0.0,0.4,0.0,0.0
99,BELGAUM,BENGALURU,"3,858","3,989",0.5,0.3,0.0,0.0
100,BELGAUM,DELHI,"1,438","1,506",0.0,0.3,0.0,0.0
101,BELGAUM,HYDERABAD,"1,876","1,790",0.1,0.1,0.0,0.0
102,BELGAUM,INDORE,327,323,0.0,0.0,0.0,0.0
103,BELGAUM,JODHPUR,427,418,0.0,0.0,0.0,0.0
104,BELGAUM,MUMBAI,750,762,0.0,0.0,0.0,0.0
105,BELGAUM,NAGPUR,279,310,0.0,0.0,0.0,0.0
106,BELGAUM,SURAT,356,344,0.0,0.0,0.0,0.0
107,BELGAUM,TIRUPATI,347,357,0.0,0.0,0.0,0.0
108,BENGALURU,BHOPAL,"3,973","4,090",18.1,0.1,3.3,1.3
109,BENGALURU,BHUBANESWAR,"30,792","30,619",121.8,14.1,9.7,3.0
110,BENGALURU,"BIDAR AIRPORT, KARNATAKA",373,392,0.0,0.0,0.0,0.0
111,BENGALURU,CHANDIGARH,"18,579","19,758",123.6,19.8,8.4,0.0
112,BENGALURU,CHENNAI,"58,571","60,736",556.5,331.4,13.5,21.0
113,BENGALURU,COIMBATORE,"15,508","14,935",16.2,27.9,0.0,0.0
114,BENGALURU,DABOLIM,"53,529","52,358",32.9,88.6,1.9,1.9
115,BENGALURU,DARBHANGA,"5,572","5,575",13.3,3.6,0.0,0.0
116,BENGALURU,DEHRA DUN,"4,055","4,243",4.1,8.9,1.6,0.0
117,BENGALURU,DELHI,"214,390","221,883","1,995.6","2,378.2",35.6,14.2
118,BENGALURU,DIMAPUR,"1,455",715,1.1,0.0,0.0,0.0
119,BENGALURU,DURGAPUR,"5,149","4,859",33.6,0.1,0.0,0.0
120,BENGALURU,GORAKHPUR,"1,149","1,459",0.9,0.0,0.0,0.0
121,BENGALURU,GUWAHATI,"31,998","30,398",165.5,123.0,14.1,3.1
122,BENGALURU,GWALIOR,"2,631","3,040",6.5,0.7,0.0,0.0
123,BENGALURU,HUBLI,"4,702","4,801",0.7,0.0,0.9,0.0
124,BENGALURU,HYDERABAD,"88,518","85,785",113.9,102.6,23.2,31.4
125,BENGALURU,IMPHAL,809,343,4.3,46.5,0.0,0.0
126,BENGALURU,INDORE,"12,500","13,217",75.3,29.1,5.5,1.8
127,BENGALURU,JAIPUR,"28,211","29,547",177.8,112.0,15.6,2.8
128,BENGALURU,JAMMU,958,927,0.4,0.0,0.0,0.0
129,BENGALURU,JAMNAGAR,490,512,0.0,0.0,0.0,0.0
130,BENGALURU,JODHPUR,"4,070","4,576",1.6,0.0,2.9,0.0
