S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGARTALA,AHMEDABAD,-,254,-,0.5,-,0.0
2,AGARTALA,AIZAWL,193,201,0.0,0.0,0.0,0.0
3,AGARTALA,BENGALURU,"1,528","1,499",0.2,3.3,0.0,0.8
4,AGARTALA,CHENNAI,-,312,-,0.5,-,0.0
5,AGARTALA,DELHI,"5,003","4,619",0.7,37.1,0.1,0.0
6,AGARTALA,DIBRUGARH,752,854,0.0,0.0,0.0,0.0
7,AGARTALA,GUWAHATI,"4,178","4,004",8.8,19.9,6.7,3.5
8,AGARTALA,IMPHAL,652,556,2.9,0.0,0.0,0.0
9,AGARTALA,KOLKATA,"24,647","21,301",40.2,220.4,1.7,9.7
10,AGARTALA,LUCKNOW,-,57,-,0.0,-,0.0
11,AGARTALA,MUMBAI,-,106,-,0.1,-,0.0
12,AGARTALA,SHILLONG,503,335,0.0,0.0,0.0,0.0
13,AGATTI ISLAND,BENGALURU,32,38,0.0,0.3,0.0,0.0
14,AGATTI ISLAND,KOCHI,"1,169","1,693",0.0,2.4,0.0,0.0
15,AGATTI ISLAND,MYSORE,11,10,0.0,0.0,0.0,0.0
16,AGRA,BENGALURU,"1,808","1,791",0.0,0.4,0.0,0.0
17,AGRA,BHOPAL,226,457,0.0,0.0,0.0,0.0
18,AGRA,LUCKNOW,401,246,0.0,0.0,0.0,0.0
19,AHMEDABAD,BAGDOGRA,"2,977","3,298",7.8,7.8,0.0,0.0
20,AHMEDABAD,BELGAUM,650,682,0.0,0.0,0.0,0.0
21,AHMEDABAD,BENGALURU,"26,013","25,130",261.3,252.5,1.4,9.1
22,AHMEDABAD,BHOPAL,"1,769","2,004",0.4,0.0,0.0,0.8
23,AHMEDABAD,CHANDIGARH,"7,023","6,408",24.3,27.2,0.0,0.0
24,AHMEDABAD,CHENNAI,"8,730","8,324",104.8,113.2,1.2,10.0
25,AHMEDABAD,COIMBATORE,-,204,-,0.5,-,0.0
26,AHMEDABAD,DABOLIM,"12,662","12,975",10.7,36.7,0.0,0.1
27,AHMEDABAD,DEHRA DUN,"2,365","2,281",0.4,0.0,0.0,0.0
28,AHMEDABAD,DELHI,"65,702","57,359","1,091.9","1,059.3",6.5,20.7
29,AHMEDABAD,GWALIOR,"1,600","1,502",7.4,6.6,0.0,0.0
30,AHMEDABAD,HYDERABAD,"13,507","13,245",92.4,82.0,1.4,5.1
31,AHMEDABAD,INDORE,"1,462","1,457",0.1,0.0,0.0,0.0
32,AHMEDABAD,JAIPUR,"3,139","2,948",11.7,1.6,0.0,0.0
33,AHMEDABAD,JAISALMER,65,-,0.0,-,0.0,-
34,AHMEDABAD,JALGAON,57,44,0.0,0.0,0.0,0.0
35,AHMEDABAD,KOCHI,674,642,5.3,0.2,0.1,0.2
36,AHMEDABAD,KOLKATA,"15,492","15,263",167.4,99.0,3.0,5.1
37,AHMEDABAD,LUCKNOW,"7,367","5,998",25.8,6.3,2.9,1.0
38,AHMEDABAD,MUMBAI,"37,948","37,533",778.2,643.9,4.8,26.9
39,AHMEDABAD,NAGPUR,"1,914","1,778",0.9,0.2,0.0,0.0
40,AHMEDABAD,NASIK,635,622,0.6,0.0,0.0,0.0
41,AHMEDABAD,PATNA,"3,849","4,021",35.0,3.4,0.0,0.0
42,AHMEDABAD,PUNE,"7,691","7,631",18.5,23.6,0.2,1.4
43,AHMEDABAD,UDAIPUR,476,553,0.0,0.0,0.0,0.0
44,AHMEDABAD,VARANASI,"1,607","1,603",1.6,0.2,0.0,0.0
45,AIZAWL,DELHI,"1,320","1,370",0.0,6.9,0.0,0.7
46,AIZAWL,GUWAHATI,"2,543","1,582",6.0,0.5,1.5,4.6
47,AIZAWL,IMPHAL,410,395,0.0,0.1,0.0,0.0
48,AIZAWL,KOLKATA,"3,897","3,016",13.9,16.8,0.0,8.8
49,AIZAWL,MUMBAI,81,56,0.0,0.0,0.0,0.0
50,AIZAWL,SHILLONG,194,143,2.4,0.0,0.0,0.0
51,AJMER,DELHI,"1,491","1,757",0.2,0.0,0.0,0.0
52,AJMER,HYDERABAD,"2,402","2,512",0.0,0.2,0.0,0.0
53,AJMER,INDORE,481,490,0.0,0.0,0.0,0.0
54,AJMER,JABALPUR,1,-,0.0,-,0.0,-
55,AJMER,MUMBAI,"1,371","1,396",0.0,0.0,0.0,0.0
56,AJMER,SURAT,470,496,0.0,0.0,0.0,0.0
57,ALLAHABAD,BENGALURU,"2,467","2,686",0.0,3.9,0.0,1.0
58,ALLAHABAD,BHOPAL,"1,062","1,133",0.0,0.0,0.0,1.1
59,ALLAHABAD,BHUBANESWAR,548,699,0.0,0.0,0.0,0.0
60,ALLAHABAD,BILASPUR,380,448,0.0,0.0,0.0,0.0
61,ALLAHABAD,DEHRA DUN,920,735,0.0,0.0,0.0,0.0
62,ALLAHABAD,DELHI,"3,211","3,234",0.0,1.1,0.0,0.5
63,ALLAHABAD,GORAKHPUR,641,479,0.0,0.0,0.0,0.0
64,ALLAHABAD,INDORE,613,704,0.2,0.0,0.0,0.0
65,ALLAHABAD,MUMBAI,"2,698","2,721",0.3,0.3,0.0,0.5
66,ALLAHABAD,PUNE,"1,755","1,707",2.5,0.0,0.0,0.1
67,ALLAHABAD,RAIPUR,784,801,0.0,0.0,0.0,0.0
68,AMRITSAR,BENGALURU,"1,563","1,895",0.3,3.0,0.0,2.9
69,AMRITSAR,DELHI,"29,294","31,065",29.3,75.6,0.0,1.1
70,AMRITSAR,GUWAHATI,434,371,0.0,0.0,0.0,0.0
71,AMRITSAR,HYDERABAD,171,346,0.0,0.1,0.0,0.0
72,AMRITSAR,JAIPUR,"1,552","1,249",0.1,0.1,0.0,0.0
73,AMRITSAR,JAISALMER,-,58,-,0.0,-,0.0
74,AMRITSAR,JAMMU,-,230,-,0.0,-,0.0
75,AMRITSAR,KOLKATA,"2,049","2,184",3.2,3.2,0.7,0.0
76,AMRITSAR,MUMBAI,"10,472","10,941",0.5,6.6,0.0,0.9
77,AMRITSAR,NANDED,469,423,0.0,0.0,0.0,0.0
78,AMRITSAR,PATNA,"1,264","1,139",0.0,0.7,0.0,0.0
79,AMRITSAR,SRINAGAR,"3,604","4,026",0.1,3.0,0.2,1.3
80,AURANGABAD,DELHI,"5,180","5,296",5.2,26.8,0.5,0.0
81,AURANGABAD,HYDERABAD,"1,137","1,071",0.2,0.4,0.0,0.0
82,AURANGABAD,MUMBAI,"4,365","4,254",1.9,0.9,0.2,5.5
83,BAGDOGRA,BENGALURU,"10,629","8,433",12.1,68.2,1.3,3.9
84,BAGDOGRA,CHENNAI,"1,588","1,451",2.3,0.9,0.4,0.2
85,BAGDOGRA,DELHI,"36,060","31,385",92.5,175.9,2.0,5.2
86,BAGDOGRA,DIBRUGARH,"2,366","3,022",0.0,7.2,0.0,0.0
87,BAGDOGRA,GUWAHATI,-,"1,005",-,3.3,-,0.0
88,BAGDOGRA,HYDERABAD,"4,695","5,293",19.3,13.7,0.0,0.0
89,BAGDOGRA,JAIPUR,"2,385","2,621",4.4,4.2,0.0,0.0
90,BAGDOGRA,KOLKATA,"26,948","25,230",104.9,77.6,11.9,11.3
91,BAGDOGRA,MUMBAI,"4,276","4,941",68.8,33.5,0.0,0.4
92,BAGDOGRA,PATNA,-,80,-,5.7,-,0.0
93,BAREILLY,BENGALURU,"1,620","1,645",0.0,0.4,0.0,0.0
94,BAREILLY,DELHI,"1,128",908,0.0,0.0,0.0,0.0
95,BAREILLY,MUMBAI,"2,344","2,314",0.0,0.6,0.0,0.0
96,BELGAUM,BENGALURU,"1,891","1,902",0.2,0.4,0.0,0.0
97,BELGAUM,DELHI,910,785,0.0,0.1,0.0,0.0
98,BELGAUM,HYDERABAD,"2,948","3,032",0.3,1.1,0.0,0.0
99,BELGAUM,INDORE,453,453,0.0,0.0,0.0,0.0
100,BELGAUM,JODHPUR,538,506,0.0,0.0,0.0,0.0
101,BELGAUM,MUMBAI,"2,688","2,592",0.4,1.2,0.0,0.0
102,BELGAUM,NASIK,324,373,0.0,0.0,0.0,0.0
103,BELGAUM,PUNE,734,596,0.0,0.0,0.0,0.0
104,BELGAUM,SURAT,481,467,0.0,0.0,0.0,0.0
105,BELGAUM,TIRUPATI,162,135,0.0,0.0,0.0,0.0
106,BENGALURU,BHOPAL,"1,975","2,433",6.7,0.1,3.4,1.1
107,BENGALURU,BHUBANESWAR,"17,848","17,108",86.9,10.3,17.4,2.5
108,BENGALURU,"BIDAR AIRPORT, KARNATAKA",44,57,0.0,0.0,0.0,0.0
109,BENGALURU,CHANDIGARH,"7,474","6,374",79.0,135.5,8.8,1.6
110,BENGALURU,CHENNAI,"23,405","23,760",562.6,505.3,13.1,11.1
