S.No.,CITY 1,CITY 2,"PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2"
1,AGARTALA,AHMEDABAD,23,143
2,AGARTALA,AIZAWL,203,199
3,AGARTALA,BENGALURU,"1,145","2,193"
4,AGARTALA,DELHI,"4,058","5,423"
5,AGARTALA,DIBRUGARH,538,492
6,AGARTALA,GUWAHATI,"2,864","4,114"
7,AGARTALA,IMPHAL,610,993
8,AGARTALA,KOLKATA,"21,159","27,310"
9,AGARTALA,LUCKNOW,-,37
10,AGARTALA,MUMBAI,-,132
11,AGARTALA,SHILLONG,452,410
12,AGATTI ISLAND,BENGALURU,19,18
13,AGATTI ISLAND,KOCHI,"1,240","1,679"
14,AGATTI ISLAND,MYSORE,10,6
15,AGRA,BENGALURU,"1,517","2,003"
16,AGRA,BHOPAL,254,243
17,AGRA,LUCKNOW,263,150
18,AGRA,MUMBAI,416,417
19,AHMEDABAD,AJMER,225,259
20,AHMEDABAD,BAGDOGRA,"1,240","1,920"
21,AHMEDABAD,BELGAUM,651,693
22,AHMEDABAD,BENGALURU,"22,479","22,524"
23,AHMEDABAD,BHOPAL,"1,147","1,321"
24,AHMEDABAD,BHUBANESWAR,113,-
25,AHMEDABAD,CHANDIGARH,"7,081","6,137"
26,AHMEDABAD,CHENNAI,"9,099","8,786"
27,AHMEDABAD,COIMBATORE,669,480
28,AHMEDABAD,DABOLIM,"10,523","14,134"
29,AHMEDABAD,DEHRA DUN,"2,423","2,648"
30,AHMEDABAD,DELHI,"50,723","50,795"
31,AHMEDABAD,GUWAHATI,-,362
32,AHMEDABAD,GWALIOR,"1,192","1,044"
33,AHMEDABAD,HYDERABAD,"12,050","12,707"
34,AHMEDABAD,INDORE,"1,621","1,563"
35,AHMEDABAD,JAIPUR,"4,715","4,372"
36,AHMEDABAD,JAISALMER,446,392
37,AHMEDABAD,JALGAON,319,341
38,AHMEDABAD,JODHPUR,460,478
39,AHMEDABAD,KANDLA,162,148
40,AHMEDABAD,KOCHI,"2,888","2,656"
41,AHMEDABAD,KOLKATA,"8,286","10,191"
42,AHMEDABAD,LUCKNOW,"9,386","5,556"
43,AHMEDABAD,MUMBAI,"25,464","24,957"
44,AHMEDABAD,NAGPUR,"1,838","1,807"
45,AHMEDABAD,NASIK,"1,260","1,057"
46,AHMEDABAD,PATNA,"3,633","3,029"
47,AHMEDABAD,PORBANDAR,555,468
48,AHMEDABAD,PUNE,"7,784","6,905"
49,AHMEDABAD,RAIPUR,787,706
50,AHMEDABAD,RAJKOT,-,3
51,AHMEDABAD,RANCHI,"1,360","1,275"
52,AHMEDABAD,UDAIPUR,240,316
53,AHMEDABAD,VARANASI,"1,981","2,097"
54,AHMEDABAD,VISAKHAPATNAM,-,177
55,AIZAWL,DELHI,"1,449","1,892"
56,AIZAWL,GUWAHATI,"2,779","2,155"
57,AIZAWL,IMPHAL,449,630
58,AIZAWL,KOLKATA,"3,563","3,416"
59,AIZAWL,MUMBAI,108,63
60,AIZAWL,SHILLONG,209,176
61,AJMER,DELHI,575,610
62,AJMER,HYDERABAD,"2,106","2,472"
63,AJMER,INDORE,411,402
64,AJMER,JABALPUR,4,-
65,AJMER,MUMBAI,683,615
66,AJMER,SURAT,273,374
67,ALLAHABAD,BENGALURU,"3,340","3,844"
