S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGRA,AHMEDABAD,634,787,0.0,0.0,0.0,0.0
2,AGRA,BENGALURU,"2,679","2,564",0.0,0.7,0.0,0.0
3,AGRA,BHOPAL,141,217,0.0,0.0,0.0,0.0
4,AGRA,LUCKNOW,365,440,0.0,0.0,0.0,0.0
5,AGRA,MUMBAI,"1,545","1,594",0.0,0.1,0.0,0.0
6,AGATTI ISLAND,BENGALURU,32,38,0.0,0.3,0.0,0.0
7,AGATTI ISLAND,KOCHI,"1,169","1,693",0.0,2.4,0.0,0.0
8,AGATTI ISLAND,MYSORE,11,10,0.0,0.0,0.0,0.0
9,AIZAWL,DELHI,"1,964","1,743",0.0,6.0,0.0,0.0
10,AIZAWL,GUWAHATI,"4,029","3,433",4.0,4.7,0.0,5.5
11,AIZAWL,IMPHAL,775,663,0.0,0.1,0.0,0.0
12,AIZAWL,KOLKATA,"5,858","4,916",6.7,18.5,0.0,11.1
13,AIZAWL,MUMBAI,89,75,0.0,0.0,0.0,0.0
14,AIZAWL,SHILLONG,194,143,2.4,0.0,0.0,0.0
15,AHMEDABAD,AMRITSAR,988,"1,063",1.8,0.1,0.0,0.0
16,AHMEDABAD,BAGDOGRA,"1,401","1,072",1.5,2.3,0.0,0.0
17,AHMEDABAD,BELGAUM,836,879,0.0,0.0,0.0,0.0
18,AHMEDABAD,BENGALURU,"24,961","25,097",292.4,296.5,1.7,12.1
19,AHMEDABAD,BHOPAL,"1,486","1,741",0.5,0.0,0.0,0.6
20,AHMEDABAD,BHUBANESWAR,"1,297","1,420",12.5,3.5,0.0,0.3
21,AHMEDABAD,BHUJ,615,553,0.0,0.0,0.0,0.0
22,AHMEDABAD,CHANDIGARH,"5,834","5,396",34.5,27.5,0.9,0.0
23,AHMEDABAD,CHENNAI,"12,369","12,116",154.2,213.4,1.4,9.5
24,AHMEDABAD,COIMBATORE,"1,164",763,19.9,6.0,0.0,0.0
25,AHMEDABAD,DABOLIM,"12,541","13,775",91.5,12.9,0.0,0.3
26,AHMEDABAD,DEHRA DUN,"5,032","5,703",10.6,4.5,0.1,0.0
27,AHMEDABAD,DELHI,"60,981","61,652","1,426.3","1,287.3",13.6,18.8
28,AHMEDABAD,DURGAPUR,156,278,0.0,0.0,0.0,0.0
29,AHMEDABAD,GUWAHATI,705,675,3.3,0.6,0.0,0.0
30,AHMEDABAD,GWALIOR,933,924,1.2,0.6,0.0,0.0
31,AHMEDABAD,HYDERABAD,"12,759","12,132",131.9,90.3,1.3,5.0
32,AHMEDABAD,INDORE,"2,045","2,143",0.5,0.0,0.0,0.0
33,AHMEDABAD,JAIPUR,"5,455","5,588",7.8,2.9,0.0,0.0
34,AHMEDABAD,JODHPUR,"1,624","1,429",0.0,0.0,0.0,0.0
35,AHMEDABAD,KOCHI,"3,420","2,883",29.1,2.1,0.3,1.4
36,AHMEDABAD,KOLHAPUR,701,681,0.0,0.0,0.0,0.0
37,AHMEDABAD,KOLKATA,"15,402","15,948",220.5,147.9,1.9,2.9
38,AHMEDABAD,LUCKNOW,"6,918","7,316",50.3,4.1,3.6,2.0
39,AHMEDABAD,MUMBAI,"47,390","44,258",832.8,776.7,4.8,47.5
40,AHMEDABAD,NAGPUR,"2,843","2,878",1.4,0.3,0.0,0.0
41,AHMEDABAD,NASIK,619,598,0.6,0.0,0.0,0.0
42,AHMEDABAD,PATNA,"4,954","5,245",44.2,3.9,0.0,1.1
43,AHMEDABAD,PUNE,"12,788","12,900",50.2,34.0,0.8,1.2
44,AHMEDABAD,RAIPUR,"2,066","2,039",11.5,1.7,0.0,0.2
45,AHMEDABAD,RANCHI,"1,545","1,706",2.9,0.1,0.0,0.0
46,AHMEDABAD,SHIRDI,101,96,0.6,0.1,0.0,0.0
47,AHMEDABAD,TRIVANDRUM,53,64,0.0,0.0,0.0,0.0
48,AHMEDABAD,VARANASI,"2,209","2,302",5.0,0.9,0.0,0.0
49,AHMEDABAD,VISAKHAPATNAM,440,339,0.7,3.4,0.0,0.0
50,AMRITSAR,BENGALURU,"2,391","1,916",0.6,4.2,0.0,3.7
51,AMRITSAR,CHENNAI,97,175,0.2,1.0,0.0,0.0
52,AMRITSAR,DABOLIM,"1,055","1,208",0.0,0.0,0.0,0.0
53,AMRITSAR,DEHRA DUN,91,-,0.0,-,0.0,-
54,AMRITSAR,DELHI,"25,721","26,159",11.0,33.2,0.0,1.0
55,AMRITSAR,GUWAHATI,189,298,0.0,0.0,0.0,0.0
56,AMRITSAR,HYDERABAD,172,122,0.0,0.2,0.0,0.0
57,AMRITSAR,JAIPUR,450,373,0.0,0.2,0.0,0.0
