S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGARTALA,AHMEDABAD,325,422,20.8,0.0,0.0,0.0
2,AGARTALA,AIZAWL,525,528,0.1,0.0,0.0,0.0
3,AGARTALA,BENGALURU,"4,553","4,107",54.0,9.4,0.0,1.0
4,AGARTALA,BHUBANESWAR,-,90,-,0.0,-,0.0
5,AGARTALA,CHENNAI,"2,004","2,039",0.0,0.3,0.0,0.0
6,AGARTALA,DELHI,"5,595","5,501",6.0,14.0,0.2,3.6
7,AGARTALA,DIBRUGARH,987,"1,394",0.0,0.0,0.0,0.0
8,AGARTALA,GUWAHATI,"6,375","6,485",4.7,29.2,7.4,4.0
9,AGARTALA,IMPHAL,"1,241","1,946",0.6,14.3,0.0,0.1
10,AGARTALA,KOLKATA,"34,670","35,449",55.4,313.4,1.1,12.3
11,AGARTALA,SHILLONG,739,659,0.0,0.0,0.0,0.0
12,AGATTI ISLAND,BENGALURU,27,14,0.0,0.0,0.0,0.0
13,AGATTI ISLAND,KOCHI,"1,313","1,568",0.0,4.6,0.0,0.0
14,AGATTI ISLAND,MYSORE,42,15,0.0,0.0,0.0,0.0
15,AGRA,AHMEDABAD,914,902,0.1,0.1,0.0,0.0
16,AGRA,BENGALURU,"2,582","2,420",0.0,0.2,0.0,0.0
17,AGRA,BHOPAL,338,357,0.0,0.0,0.0,0.0
18,AGRA,LUCKNOW,477,746,0.0,0.0,0.0,0.0
19,AGRA,MUMBAI,"2,088","1,831",0.0,0.3,0.0,0.0
20,AHMEDABAD,AMRITSAR,"1,600","1,881",1.2,0.2,0.0,0.0
21,AHMEDABAD,BAGDOGRA,"4,896","5,775",3.6,38.2,0.0,0.0
22,AHMEDABAD,BELGAUM,862,971,0.0,0.0,0.0,0.0
23,AHMEDABAD,BENGALURU,"27,615","28,161",260.5,242.3,1.5,11.7
24,AHMEDABAD,BHOPAL,"1,263","1,578",0.4,0.0,0.0,0.8
25,AHMEDABAD,BHUBANESWAR,"3,461","3,422",23.7,0.5,0.2,0.8
26,AHMEDABAD,BHUJ,643,643,0.0,0.0,0.0,0.0
27,AHMEDABAD,CHANDIGARH,"8,251","8,152",20.6,24.4,0.0,0.0
28,AHMEDABAD,CHENNAI,"12,406","12,550",149.8,141.3,1.3,9.2
29,AHMEDABAD,COIMBATORE,"1,409",961,18.2,13.0,0.0,0.0
30,AHMEDABAD,DABOLIM,"17,065","20,057",22.8,18.4,0.0,0.2
31,AHMEDABAD,DEHRA DUN,"6,518","7,725",2.7,1.5,0.0,0.0
32,AHMEDABAD,DELHI,"62,593","77,576","1,223.5","1,224.4",16.0,19.0
33,AHMEDABAD,DURGAPUR,167,328,0.0,0.0,0.0,0.0
34,AHMEDABAD,GUWAHATI,852,828,3.6,1.6,0.0,0.1
35,AHMEDABAD,GWALIOR,853,"1,095",1.6,0.8,0.0,0.0
36,AHMEDABAD,HYDERABAD,"14,151","14,061",120.2,69.6,1.2,4.7
37,AHMEDABAD,INDORE,"1,542","1,551",0.0,0.0,0.0,0.0
38,AHMEDABAD,JAIPUR,"5,318","5,613",4.7,3.5,0.0,0.0
39,AHMEDABAD,JODHPUR,"1,520","1,477",0.0,0.0,0.0,0.0
40,AHMEDABAD,KOCHI,"3,889","3,583",21.1,0.7,0.3,1.6
41,AHMEDABAD,KOLHAPUR,693,613,0.0,0.0,0.0,0.0
42,AHMEDABAD,KOLKATA,"14,909","16,903",206.5,146.4,2.4,4.5
43,AHMEDABAD,LUCKNOW,"8,386","9,655",38.6,6.1,2.9,1.3
44,AHMEDABAD,MUMBAI,"48,280","47,682",794.4,689.1,5.2,42.1
45,AHMEDABAD,NAGPUR,"2,848","3,026",0.3,0.1,0.0,0.0
46,AHMEDABAD,NASIK,993,930,0.1,0.0,0.0,0.0
47,AHMEDABAD,PATNA,"5,505","7,298",48.5,17.8,0.0,0.8
