S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGARTALA,AHMEDABAD,185,204,24.8,0.0,0.0,0.0
2,AGARTALA,AIZAWL,393,385,0.0,0.0,0.0,0.0
3,AGARTALA,BENGALURU,"2,930","2,996",0.0,5.2,0.0,0.7
4,AGARTALA,CHENNAI,-,93,-,0.0,-,0.0
5,AGARTALA,DELHI,"7,010","6,504",13.6,35.9,0.2,0.0
6,AGARTALA,DIBRUGARH,682,705,0.0,0.0,0.0,0.0
7,AGARTALA,GUWAHATI,"4,628","5,090",0.4,26.2,6.4,3.7
8,AGARTALA,IMPHAL,676,991,0.5,0.8,0.0,0.0
9,AGARTALA,KOLKATA,"36,607","31,948",27.9,210.3,1.4,7.5
10,AGARTALA,MUMBAI,-,49,-,0.0,-,0.0
11,AGARTALA,SHILLONG,905,538,0.0,0.0,0.0,0.0
12,AGATTI ISLAND,BENGALURU,26,15,0.0,0.0,0.0,0.0
13,AGATTI ISLAND,KOCHI,"1,492","1,893",0.1,1.0,0.0,0.0
14,AGATTI ISLAND,MYSORE,4,6,0.0,0.0,0.0,0.0
15,AGRA,BENGALURU,"2,249","2,275",0.0,0.5,0.0,0.0
16,AGRA,BHOPAL,352,533,0.0,0.0,0.0,0.0
17,AGRA,LUCKNOW,710,500,0.0,0.0,0.0,0.0
18,AGRA,MUMBAI,"1,642","1,723",0.0,0.0,0.0,0.0
19,AHMEDABAD,AMRITSAR,357,386,0.0,0.0,0.0,0.0
20,AHMEDABAD,BAGDOGRA,"4,000","3,634",5.4,2.2,0.0,0.0
21,AHMEDABAD,BELGAUM,710,710,0.0,0.0,0.0,0.0
22,AHMEDABAD,BENGALURU,"31,073","28,381",284.5,219.4,1.3,15.8
23,AHMEDABAD,BHOPAL,"1,964","2,102",0.2,0.0,0.0,0.8
24,AHMEDABAD,BHUBANESWAR,"1,811",-,5.3,-,0.0,-
25,AHMEDABAD,CHANDIGARH,"9,533","9,007",22.4,32.8,0.0,0.0
26,AHMEDABAD,CHENNAI,"10,669","10,003",115.1,148.1,1.2,8.2
27,AHMEDABAD,COIMBATORE,321,255,3.9,0.1,0.0,0.0
28,AHMEDABAD,DABOLIM,"20,586","21,482",18.9,44.4,0.3,1.7
29,AHMEDABAD,DEHRA DUN,"2,639","2,590",0.6,0.1,0.0,0.0
30,AHMEDABAD,DELHI,"76,759","73,712","1,213.5","1,129.0",4.8,14.5
31,AHMEDABAD,DURGAPUR,-,13,-,0.0,-,0.0
32,AHMEDABAD,GWALIOR,"1,586","1,567",9.6,2.5,0.0,0.0
