S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGARTALA,AHMEDABAD,310,403,0.9,0.1,0.0,0.0
2,AGARTALA,AIZAWL,580,435,0.0,0.0,0.0,0.0
3,AGARTALA,BENGALURU,"4,516","3,540",11.8,6.4,0.0,0.8
4,AGARTALA,BHUBANESWAR,18,-,0.0,-,0.0,-
5,AGARTALA,CHENNAI,959,906,0.0,0.0,0.0,0.0
6,AGARTALA,DELHI,"5,145","4,836",5.4,12.6,0.1,3.7
7,AGARTALA,DIBRUGARH,"1,578","1,340",0.0,0.0,0.0,0.0
8,AGARTALA,GUWAHATI,"7,137","7,275",1.5,27.1,10.5,4.9
9,AGARTALA,IMPHAL,"1,363","1,909",0.1,10.1,0.0,0.0
10,AGARTALA,KOLKATA,"43,215","40,835",24.6,292.4,1.2,5.7
11,AGARTALA,SHILLONG,785,623,0.0,0.0,0.0,0.0
12,AGATTI ISLAND,BENGALURU,27,41,0.0,0.0,0.0,0.0
13,AGATTI ISLAND,KOCHI,"1,629","2,007",0.6,3.4,0.0,0.0
14,AGATTI ISLAND,MYSORE,17,8,0.0,0.0,0.0,0.0
15,AGRA,BENGALURU,"2,869","2,392",0.0,0.8,0.0,0.0
16,AGRA,BHOPAL,232,339,0.0,0.0,0.0,0.0
17,AGRA,LUCKNOW,428,512,0.0,0.0,0.0,0.0
18,AGRA,MUMBAI,"1,543","1,451",0.0,0.0,0.0,0.0
19,AHMEDABAD,AMRITSAR,"2,301","2,255",0.4,0.3,0.0,0.0
20,AHMEDABAD,BAGDOGRA,"6,630","5,956",8.2,31.4,0.0,0.0
21,AHMEDABAD,BELGAUM,770,712,0.0,0.0,0.0,0.0
22,AHMEDABAD,BENGALURU,"38,170","33,762",292.9,230.9,1.6,9.6
23,AHMEDABAD,BHOPAL,"2,054","2,034",0.4,0.0,0.0,0.6
24,AHMEDABAD,CHANDIGARH,"5,800","5,305",17.8,10.5,0.0,0.0
25,AHMEDABAD,CHENNAI,"14,941","13,123",131.8,145.5,1.4,9.0
26,AHMEDABAD,COIMBATORE,609,-,12.2,-,0.0,-
27,AHMEDABAD,DABOLIM,"20,461","20,164",21.4,14.4,0.0,0.2
28,AHMEDABAD,DEHRA DUN,"3,385","3,335",1.0,1.5,0.0,0.0
29,AHMEDABAD,DELHI,"93,291","87,399","1,245.1","1,256.5",8.9,17.5
30,AHMEDABAD,DURGAPUR,189,295,0.0,0.0,0.0,0.0
31,AHMEDABAD,GUWAHATI,"1,193",967,2.3,1.3,0.0,0.0
32,AHMEDABAD,GWALIOR,"1,214","1,240",3.8,0.7,0.0,0.0
33,AHMEDABAD,HYDERABAD,"16,814","15,196",123.6,72.5,1.2,4.8
34,AHMEDABAD,INDORE,"2,259","2,063",0.3,0.0,0.0,0.0
