S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGARTALA,VISAKHAPATNAM,101,86,0.0,0.0,0.0,0.0
2,AGARTALA,AHMEDABAD,341,245,0.0,0.0,0.0,0.0
3,AGARTALA,AIZAWL,714,735,0.0,0.0,0.0,0.0
4,AGARTALA,BENGALURU,"3,165","2,716",71.3,6.7,0.0,0.6
5,AGARTALA,CHENNAI,"1,931","1,026",0.0,0.4,0.0,0.0
6,AGARTALA,DELHI,"5,302","5,308",1.0,19.0,0.2,2.4
7,AGARTALA,DIBRUGARH,"1,190","1,604",0.0,0.0,0.0,0.0
8,AGARTALA,GUWAHATI,"10,201","11,054",7.3,34.8,6.0,4.3
9,AGARTALA,IMPHAL,"1,364","1,697",0.2,6.6,0.0,0.0
10,AGARTALA,KOLKATA,"27,406","28,593",19.0,211.9,1.6,6.5
11,AGARTALA,SHILLONG,582,641,0.0,0.0,0.0,0.0
12,AGATTI ISLAND,BENGALURU,16,14,0.0,0.0,0.0,0.0
13,AGATTI ISLAND,KOCHI,"1,593","2,003",0.0,2.6,0.1,0.6
14,AGRA,AHMEDABAD,883,687,0.0,0.0,0.0,0.0
15,AGRA,BENGALURU,"2,229","2,179",0.0,0.4,0.0,0.0
16,AGRA,BHOPAL,243,221,0.0,0.0,0.0,0.0
17,AGRA,LUCKNOW,487,439,0.0,0.0,0.0,0.0
18,AGRA,MUMBAI,"1,435","1,204",0.0,0.0,0.0,0.0
19,AHMEDABAD,AMRITSAR,705,646,2.1,0.3,0.0,0.0
20,AHMEDABAD,BAGDOGRA,"3,828","4,803",25.1,9.5,0.0,0.0
21,AHMEDABAD,BELGAUM,875,903,0.0,0.0,0.0,0.0
22,AHMEDABAD,BENGALURU,"45,022","45,380",395.2,288.1,1.0,9.1
23,AHMEDABAD,BHOPAL,"1,778","1,996",0.5,0.0,0.0,0.6
24,AHMEDABAD,BHUBANESWAR,"2,317","2,436",8.3,0.4,0.0,0.3
25,AHMEDABAD,BHUJ,737,735,0.0,0.0,0.0,0.0
26,AHMEDABAD,CHANDIGARH,"9,341","10,153",24.4,2.8,0.0,0.0
27,AHMEDABAD,CHENNAI,"13,442","14,380",133.5,154.5,1.0,7.5
28,AHMEDABAD,COIMBATORE,931,"1,032",36.6,15.2,0.0,0.0
29,AHMEDABAD,DABOLIM,"17,270","18,290",31.0,7.1,0.0,0.2
30,AHMEDABAD,DEHRA DUN,"4,155","3,867",1.0,4.2,0.0,0.0
31,AHMEDABAD,DELHI,"94,535","102,905","1,248.6","1,220.1",12.8,13.0
32,AHMEDABAD,DURGAPUR,130,176,0.0,0.0,0.0,0.0
33,AHMEDABAD,HYDERABAD,"19,827","21,808",129.9,63.9,0.8,6.8
34,AHMEDABAD,INDORE,"2,189","2,515",0.5,0.1,0.0,0.1
35,AHMEDABAD,JAIPUR,"10,391","11,686",12.6,8.4,0.0,0.0
36,AHMEDABAD,JODHPUR,"1,579","1,715",0.0,0.0,0.0,0.0
37,AHMEDABAD,KOCHI,"4,889","4,853",25.1,4.3,0.5,1.9
38,AHMEDABAD,KOLHAPUR,988,773,0.0,0.0,0.0,0.0
39,AHMEDABAD,KOLKATA,"16,539","20,237",194.5,137.3,1.3,1.5
40,AHMEDABAD,JAISALMER,825,948,0.0,0.0,0.0,0.0
41,AHMEDABAD,JAMMU,"1,725","2,318",1.7,0.0,0.0,0.0
42,AHMEDABAD,LUCKNOW,"9,179","11,502",37.7,4.4,1.6,0.9
43,AHMEDABAD,MUMBAI,"91,430","92,530",785.7,768.2,3.4,43.6
44,AHMEDABAD,NAGPUR,"4,180","4,375",0.9,0.1,0.0,0.0
45,AHMEDABAD,PATNA,"4,862","6,275",35.7,6.1,0.0,0.8
46,AHMEDABAD,PUNE,"19,959","19,609",40.2,65.7,0.1,1.2
47,AHMEDABAD,RAIPUR,"2,002","2,073",3.0,0.2,0.0,0.3
48,AHMEDABAD,RANCHI,"2,818","3,034",3.7,1.3,0.0,0.5
49,AHMEDABAD,PORT BLAIR,45,-,0.0,-,0.0,-
50,AHMEDABAD,TRIVANDRUM,347,357,1.0,0.0,0.0,0.0
51,AHMEDABAD,VARANASI,"6,769","8,621",11.1,0.8,0.0,0.0
52,AHMEDABAD,VISAKHAPATNAM,367,419,0.5,1.3,0.0,0.0
53,AIZAWL,DELHI,"1,809","2,171",4.9,11.8,0.0,0.8
54,AIZAWL,GUWAHATI,"5,784","5,605",5.1,6.2,2.1,3.8
55,AIZAWL,IMPHAL,838,827,0.0,0.0,0.0,0.0
56,AIZAWL,KOLKATA,"6,571","6,517",6.2,17.6,0.0,17.9
57,AIZAWL,MUMBAI,251,305,0.3,0.2,0.0,0.0
58,AIZAWL,SHILLONG,556,553,0.0,0.0,0.0,0.0
59,AIZAWL,DIMAPUR,4,25,0.0,0.0,0.0,0.0
60,AJMER,INDORE,173,182,0.0,0.0,0.0,0.0
61,AJMER,SURAT,309,287,0.0,0.0,0.0,0.0
62,ALLAHABAD,BENGALURU,"4,461","4,491",0.0,0.6,0.2,2.3
63,ALLAHABAD,BHOPAL,840,770,0.0,0.0,0.0,0.6
64,ALLAHABAD,BHUBANESWAR,"1,697","1,748",0.0,0.0,0.2,0.0
65,ALLAHABAD,BILASPUR,458,374,0.0,0.0,0.0,0.0
66,ALLAHABAD,DEHRA DUN,"1,296","1,430",0.0,0.0,0.0,0.0
67,ALLAHABAD,DELHI,"5,771","5,635",0.1,1.4,0.2,11.8
68,ALLAHABAD,GORAKHPUR,"1,100",584,0.0,0.0,0.0,0.0
69,ALLAHABAD,INDORE,"1,768","1,631",0.0,0.0,0.0,0.0
70,ALLAHABAD,LUCKNOW,963,"1,229",0.0,0.0,0.0,0.0
71,ALLAHABAD,MUMBAI,"4,401","4,447",0.0,0.8,0.4,1.6
72,ALLAHABAD,PUNE,"1,537","1,530",0.0,0.0,0.0,0.3
73,ALLAHABAD,RAIPUR,"1,935","1,526",0.0,0.0,0.0,0.0
74,AMRITSAR,BENGALURU,"3,601","4,110",22.5,2.8,0.0,2.5
75,AMRITSAR,CHENNAI,248,347,13.2,3.1,0.0,0.0
76,AMRITSAR,DABOLIM,"3,091","2,202",0.9,0.5,0.0,0.1
77,AMRITSAR,DEHRA DUN,-,91,-,0.0,-,0.0
78,AMRITSAR,DELHI,"36,098","37,358",129.2,34.2,0.0,0.0
79,AMRITSAR,GUWAHATI,63,53,0.0,0.0,0.0,0.0
80,AMRITSAR,HYDERABAD,209,225,1.2,0.0,0.0,0.0
81,AMRITSAR,JAIPUR,-,99,-,0.1,-,0.0
82,AMRITSAR,KOLKATA,"3,604","3,547",8.9,0.7,0.0,0.0
83,AMRITSAR,LUCKNOW,"1,588","1,557",0.0,0.0,0.0,0.0
84,AMRITSAR,MUMBAI,"17,602","17,114",23.3,14.5,0.0,0.9
85,AMRITSAR,PATNA,671,734,1.9,0.3,0.0,0.0
86,AMRITSAR,PUNE,"4,432","3,766",7.4,1.2,0.0,0.1
87,AMRITSAR,SRINAGAR,"3,279","3,804",0.9,0.7,0.0,0.1
88,AMRITSAR,CHANDIGARH,96,80,1.5,0.0,0.0,0.0
89,AURANGABAD,DELHI,"9,203","9,654",23.9,59.8,0.2,1.6
90,AURANGABAD,HYDERABAD,"4,161","3,547",0.8,0.4,0.0,1.6
91,AURANGABAD,MUMBAI,"8,135","6,496",2.5,14.9,0.5,7.5
92,BAGDOGRA,GUWAHATI,"4,337",-,57.7,-,0.0,-
93,BAGDOGRA,BENGALURU,"20,744","17,415",94.5,72.3,2.7,4.7
94,BAGDOGRA,CHENNAI,"3,879","3,534",7.4,3.6,1.0,0.1
95,BAGDOGRA,DELHI,"42,302","46,390",123.3,253.3,7.3,2.1
96,BAGDOGRA,DIBRUGARH,"3,229","2,654",20.1,0.0,0.0,0.0
97,BAGDOGRA,HYDERABAD,"5,122","4,738",18.8,19.8,0.0,0.1
98,BAGDOGRA,KOLKATA,"25,290","23,815",107.6,56.1,7.8,8.0
99,BAGDOGRA,MUMBAI,"10,762","9,812",32.4,56.0,0.0,3.2
