S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGRA,AHMEDABAD,700,733,0.0,0.1,0.0,0.0
2,AGRA,BENGALURU,"2,657","2,907",0.4,0.4,0.0,0.0
3,AGRA,BHOPAL,169,299,0.0,0.0,0.0,0.0
4,AGRA,LUCKNOW,643,557,0.0,0.0,0.0,0.0
5,AGRA,MUMBAI,"1,524","1,721",0.1,0.2,0.0,0.0
6,AGATTI ISLAND,BENGALURU,6,5,0.0,0.0,0.0,0.0
7,AGATTI ISLAND,KOCHI,"1,848","2,023",4.5,0.2,0.0,0.0
8,AGATTI ISLAND,MYSORE,6,9,0.0,0.0,0.0,0.0
9,AIZAWL,DELHI,"2,116","2,098",2.7,7.0,0.0,0.0
10,AIZAWL,GUWAHATI,"4,841","3,881",4.0,2.6,0.0,5.4
11,AIZAWL,IMPHAL,54,85,0.0,0.3,0.0,0.0
12,AIZAWL,KOLKATA,"5,720","5,619",4.4,16.5,0.0,11.7
13,AIZAWL,MUMBAI,235,233,0.2,0.0,0.0,0.0
14,AIZAWL,SHILLONG,538,482,0.0,0.0,0.0,0.0
15,AHMEDABAD,AMRITSAR,"1,215","1,108",0.8,0.0,0.0,0.0
16,AHMEDABAD,BAGDOGRA,"5,385","3,918",3.1,6.3,0.0,0.0
17,AHMEDABAD,BELGAUM,826,819,0.0,0.0,0.0,0.0
18,AHMEDABAD,BENGALURU,"46,782","44,599",396.3,310.0,1.2,7.4
19,AHMEDABAD,BHOPAL,"2,018","1,800",0.2,0.0,0.0,0.5
20,AHMEDABAD,BHUBANESWAR,"3,852","3,472",12.4,1.6,0.0,0.5
21,AHMEDABAD,BHUJ,541,549,0.0,0.0,0.0,0.0
22,AHMEDABAD,CHANDIGARH,"12,871","9,423",35.5,2.1,0.1,0.0
23,AHMEDABAD,CHENNAI,"11,868","10,445",96.2,139.2,1.1,7.3
24,AHMEDABAD,COIMBATORE,"1,120",633,28.3,14.4,0.0,0.0
25,AHMEDABAD,DABOLIM,"19,424","17,396",28.9,12.6,0.0,0.3
26,AHMEDABAD,DEHRA DUN,"6,399","5,820",4.9,3.8,0.0,0.0
27,AHMEDABAD,DELHI,"97,758","85,586","1,181.4","1,350.5",11.9,18.9
28,AHMEDABAD,DURGAPUR,291,275,0.0,0.0,0.0,0.0
29,AHMEDABAD,GUWAHATI,575,712,2.6,7.4,0.0,0.0
30,AHMEDABAD,HYDERABAD,"16,815","14,355",93.9,66.4,1.0,7.1
31,AHMEDABAD,INDORE,"2,173","2,171",0.9,0.1,0.0,0.0
32,AHMEDABAD,JAIPUR,"9,594","7,291",9.8,5.8,0.0,0.0
33,AHMEDABAD,JODHPUR,"1,990","1,521",0.2,0.0,0.0,0.0
34,AHMEDABAD,KOCHI,"3,862","3,357",18.9,3.1,0.1,1.4
35,AHMEDABAD,KOLHAPUR,665,441,0.0,0.0,0.0,0.0
36,AHMEDABAD,KOLKATA,"20,884","15,965",153.6,126.9,1.4,1.4
37,AHMEDABAD,JAISALMER,35,60,0.0,0.0,0.0,0.0
38,AHMEDABAD,JAMMU,141,177,0.2,0.1,0.0,0.0
39,AHMEDABAD,LUCKNOW,"9,779","7,149",34.1,15.3,1.7,0.9
40,AHMEDABAD,MUMBAI,"84,406","83,793",754.1,752.2,4.1,43.0
41,AHMEDABAD,NAGPUR,"4,192","3,821",1.3,0.2,0.0,0.0
42,AHMEDABAD,NASIK,932,909,0.0,0.0,0.0,0.0
43,AHMEDABAD,PATNA,"9,794","6,410",40.2,1.1,0.0,0.5
44,AHMEDABAD,PUNE,"18,768","18,721",48.5,48.5,0.8,0.9
45,AHMEDABAD,RAIPUR,"2,067","1,783",2.8,0.1,0.3,0.3
46,AHMEDABAD,RANCHI,"2,333","2,160",1.3,0.3,0.0,0.1
47,AHMEDABAD,PORT BLAIR,160,92,0.0,0.0,0.0,0.0
48,AHMEDABAD,TRIVANDRUM,438,334,0.0,0.1,0.0,0.0
49,AHMEDABAD,VARANASI,"5,869","3,726",14.9,3.0,0.0,0.0
50,AHMEDABAD,VISAKHAPATNAM,555,248,0.6,4.6,0.0,0.0
51,AMRITSAR,BENGALURU,"3,519","4,246",26.2,3.5,0.0,1.8
52,AMRITSAR,CHENNAI,138,265,5.2,0.2,0.0,0.0
53,AHMEDABAD,UDAIPUR,-,9,-,0.0,-,0.0
54,AMRITSAR,DABOLIM,"1,533","1,951",0.3,0.1,0.0,0.0
55,AMRITSAR,DELHI,"32,857","35,835",55.8,21.5,0.0,0.1
56,AIZAWL,DIMAPUR,-,3,-,0.0,-,0.0
57,AMRITSAR,GUWAHATI,245,422,0.0,0.0,0.0,0.0
58,AMRITSAR,HYDERABAD,14,3,0.0,0.0,0.0,0.0
59,AMRITSAR,JAMMU,-,277,-,0.0,-,0.0
60,AMRITSAR,KOLKATA,"5,437","4,887",2.4,0.4,0.0,0.0
61,AMRITSAR,LUCKNOW,"1,455","1,484",0.1,0.0,0.0,0.0
62,AMRITSAR,MUMBAI,"12,613","14,973",27.4,11.7,0.0,1.4
63,AMRITSAR,PATNA,"1,607","1,428",0.2,0.0,0.0,0.0
64,AMRITSAR,PUNE,"2,644","2,911",2.4,0.1,0.1,0.0
