S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
1,AGRA,AHMEDABAD,615,508,0.0,0.0,0.0,0.0
2,AGRA,BENGALURU,"2,315","2,344",0.7,0.5,0.0,0.0
3,AGRA,BHOPAL,84,158,0.0,0.0,0.0,0.0
4,AGRA,LUCKNOW,310,430,0.0,0.0,0.0,0.0
5,AGRA,MUMBAI,"1,643","1,674",0.0,0.2,0.0,0.0
6,AGATTI ISLAND,BENGALURU,27,14,0.0,0.0,0.0,0.0
7,AGATTI ISLAND,KOCHI,"1,313","1,568",0.0,4.6,0.0,0.0
8,AGATTI ISLAND,MYSORE,42,15,0.0,0.0,0.0,0.0
9,AIZAWL,DELHI,"1,970","1,935",2.9,7.0,0.0,0.0
10,AIZAWL,GUWAHATI,"4,312","3,784",2.3,2.2,0.1,4.0
11,AIZAWL,KOLKATA,"5,866","5,495",4.9,19.6,0.0,8.3
12,AIZAWL,MUMBAI,219,131,0.7,0.3,0.0,0.0
13,AIZAWL,SHILLONG,479,396,1.5,0.0,0.0,0.0
14,AHMEDABAD,AMRITSAR,503,433,1.1,0.0,0.0,0.0
15,AHMEDABAD,BAGDOGRA,559,304,1.3,0.2,0.0,0.0
16,AHMEDABAD,BELGAUM,766,874,0.0,0.0,0.0,0.0
17,AHMEDABAD,BENGALURU,"37,391","40,238",374.0,303.2,1.0,6.7
18,AHMEDABAD,BHOPAL,"1,650","1,882",0.8,0.0,0.0,0.7
19,AHMEDABAD,BHUBANESWAR,"1,366","1,491",5.6,1.1,0.0,0.2
20,AHMEDABAD,BHUJ,546,561,0.0,0.0,0.0,0.0
21,AHMEDABAD,CHANDIGARH,"7,160","6,431",24.2,3.4,0.0,0.0
22,AHMEDABAD,CHENNAI,"9,659","10,680",132.0,152.0,1.0,7.0
23,AHMEDABAD,COIMBATORE,877,611,11.9,13.4,0.0,0.0
24,AHMEDABAD,DABOLIM,"15,851","17,958",26.1,9.2,0.0,0.3
25,AHMEDABAD,DEHRA DUN,"6,457","6,153",10.3,0.9,0.0,0.0
26,AHMEDABAD,DELHI,"80,115","83,292","1,258.2","1,388.4",11.6,23.6
27,AHMEDABAD,DURGAPUR,224,206,0.0,0.0,0.0,0.0
28,AHMEDABAD,GUWAHATI,714,632,4.9,7.3,0.0,0.0
29,AHMEDABAD,HYDERABAD,"13,266","14,265",114.4,80.1,1.2,6.0
