S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,ABUDHABI,AHMEDABAD,270,234,504
2,ABUDHABI,BENGALURU,301,279,580
3,ABUDHABI,CHENNAI,307,293,600
4,ABUDHABI,DELHI,603,552,1155
5,ABUDHABI,HYDERABAD,286,289,575
6,ABUDHABI,KANNUR,207,199,406
7,ABUDHABI,KOCHI,508,545,1053
8,ABUDHABI,KOZHIKODE,255,271,526
9,ABUDHABI,MANGALORE,56,62,118
10,ABUDHABI,MUMBAI,893,821,1714
11,ABUDHABI,TIRUCHIRAPALLY,17,13,30
12,ABUDHABI,TRIVANDRUM,256,280,536
13,ADDIS ABABA,DELHI,234,234,468
14,ADDIS ABABA,MUMBAI,69,77,146
15,ADEN,MUMBAI,33,30,63
16,AL AIN,KOZHIKODE,37,40,77
17,ALMATY,DELHI,132,127,259
18,ALMATY,GOA,22,13,35
19,AMMAN,MUMBAI,1,1,2
20,AMSTERDAM,BENGALURU,174,173,347
21,AMSTERDAM,DELHI,294,281,575
22,AMSTERDAM,MUMBAI,212,210,422
23,BAGHDAD,DELHI,61,63,124
24,BAHRAIN,BENGALURU,99,95,194
25,BAHRAIN,CHENNAI,140,142,282
26,BAHRAIN,DELHI,401,375,776
27,BAHRAIN,HYDERABAD,127,117,244
28,BAHRAIN,KANNUR,15,15,30
29,BAHRAIN,KOCHI,169,162,331
30,BAHRAIN,KOZHIKODE,151,161,312
31,BAHRAIN,MANGALORE,10,10,20
32,BAHRAIN,MUMBAI,339,356,695
33,BAHRAIN,TRIVANDRUM,116,114,230
34,BAKU,DELHI,28,23,51
35,BANGKOK,AHMEDABAD,15,19,34
36,BANGKOK,BAGDOGRA,3,3,6
37,BANGKOK,BENGALURU,387,368,755
38,BANGKOK,CHENNAI,198,201,399
39,BANGKOK,DELHI,1200,1290,2490
40,BANGKOK,GAYA,49,46,95
41,BANGKOK,HYDERABAD,158,159,317
42,BANGKOK,KOLKATA,434,448,882
43,BANGKOK,MUMBAI,666,709,1375
44,BANGKOK,PUNE,16,12,28
45,BIRMINGHAM,AMRITSAR,57,53,110
46,BIRMINGHAM,DELHI,69,66,135
47,BISHKEK,DELHI,5,6,11
48,CAIRO,MUMBAI,112,107,219
49,CHENGDU,BENGALURU,1,1,2
50,CHICAGO,DELHI,439,370,809
51,CHITTAGONG,KOLKATA,4,5,9
52,COLOGNE,BENGALURU,1,1,2
53,COLOMBO,BENGALURU,77,78,155
54,COLOMBO,CHENNAI,763,729,1492
55,COLOMBO,DELHI,195,196,391
56,COLOMBO,HYDERABAD,47,46,93
57,COLOMBO,KOCHI,101,105,206
58,COLOMBO,MADURAI,46,64,110
59,COLOMBO,MUMBAI,115,122,237
60,COLOMBO,TIRUCHIRAPALLY,82,86,168
61,COLOMBO,TRIVANDRUM,102,58,160
62,DA NANG,DELHI,46,47,93
63,DAMMAM,DELHI,245,268,513
64,DAMMAM,HYDERABAD,136,153,289
65,DAMMAM,KANNUR,31,42,73
66,DAMMAM,KOCHI,12,13,25
67,DAMMAM,KOZHIKODE,59,65,124
68,DAMMAM,LUCKNOW,50,61,111
69,DAMMAM,MANGALORE,44,50,94
70,DAMMAM,MUMBAI,127,165,292
71,DAMMAM,TRIVANDRUM,10,11,21
72,DAR ES SALAM,MUMBAI,85,71,156
73,DHAKA,CHENNAI,65,71,136
74,DHAKA,DELHI,352,322,674
75,DHAKA,HYDERABAD,30,23,53
76,DHAKA,KOLKATA,616,665,1281
77,DHAKA,MUMBAI,83,55,138
78,DOHA,AHMEDABAD,136,111,247
79,DOHA,AMRITSAR,100,85,185
80,DOHA,BENGALURU,378,301,679
81,DOHA,CHENNAI,356,313,669
82,DOHA,DELHI,811,686,1497
83,DOHA,GOA,119,103,222
84,DOHA,HYDERABAD,543,405,948
85,DOHA,KANNUR,175,200,375
86,DOHA,KOCHI,491,485,976
87,DOHA,KOLKATA,175,150,325
88,DOHA,KOZHIKODE,185,217,402
89,DOHA,MANGALORE,16,19,35
90,DOHA,MUMBAI,754,621,1375
91,DOHA,NAGPUR,37,31,68
92,DOHA,TIRUCHIRAPALLY,10,11,21
93,DOHA,TRIVANDRUM,137,127,264
94,DON MUEANG,BENGALURU,137,137,274
95,DON MUEANG,CHENNAI,127,134,261
96,DON MUEANG,GAYA,23,18,41
97,DON MUEANG,JAIPUR,89,90,179
98,DON MUEANG,KOCHI,95,93,188
99,DON MUEANG,KOLKATA,124,136,260
100,DON MUEANG,LUCKNOW,14,18,32
101,DON MUEANG,MUMBAI,94,93,187
102,DUBAI,AHMEDABAD,629,585,1214
103,DUBAI,AMRITSAR,277,276,553
104,DUBAI,BENGALURU,999,919,1918
105,DUBAI,CHANDIGARH,143,136,279
106,DUBAI,CHENNAI,1156,1100,2256
107,DUBAI,DELHI,2488,2303,4791
108,DUBAI,GOA,59,58,117
109,DUBAI,HYDERABAD,1191,1060,2251
110,DUBAI,INDORE,19,17,36
111,DUBAI,JAIPUR,154,156,310
112,DUBAI,KANNUR,202,194,396
113,DUBAI,KOCHI,1085,1100,2185
114,DUBAI,KOLKATA,485,453,938
115,DUBAI,KOZHIKODE,660,679,1339
116,DUBAI,LUCKNOW,307,282,589
117,DUBAI,MADURAI,130,137,267
118,DUBAI,MANGALORE,434,451,885
119,DUBAI,MUMBAI,2889,2671,5560
120,DUBAI,PUNE,138,141,279
121,DUBAI,TIRUCHIRAPALLY,155,174,329
122,DUBAI,TRIVANDRUM,324,325,649
123,FRANKFURT,BENGALURU,284,244,528
124,FRANKFURT,CHENNAI,82,85,167
125,FRANKFURT,DELHI,570,468,1038
126,FRANKFURT,HYDERABAD,1,1,2
127,FRANKFURT,MUMBAI,73,182,255
128,GUANGZHOU,DELHI,1,1,2
129,GUANGZHOU,MUMBAI,1,1,2
130,HAA DHAALU ATOLL,TRIVANDRUM,9,8,17
131,HANOI,DELHI,72,79,151
132,HANOI,KOLKATA,48,55,103
133,HANOI,MUMBAI,1,1,2
134,HELNSKI,DELHI,73,48,121
135,HO CHI MINH CITY,DELHI,73,72,145
136,HO CHI MINH CITY,KOLKATA,71,63,134
137,HONG KONG,BENGALURU,1,1,2
138,HONG KONG,CHENNAI,1,1,2
139,HONG KONG,DELHI,223,229,452
140,HONG KONG,MUMBAI,99,93,192
141,ISTANBUL,BENGALURU,1,1,2
142,ISTANBUL,CHENNAI,1,1,2
143,ISTANBUL,DELHI,496,335,831
144,ISTANBUL,HYDERABAD,1,1,2
145,ISTANBUL,MUMBAI,300,235,535
146,JAFFNA,CHENNAI,4,3,7
147,JEDDAH,AHMEDABAD,20,20,40
148,JEDDAH,BENGALURU,86,85,171
149,JEDDAH,CHENNAI,25,20,45
150,JEDDAH,DELHI,498,501,999
151,JEDDAH,HYDERABAD,245,237,482
152,JEDDAH,KANNUR,13,13,26
153,JEDDAH,KOCHI,142,122,264
154,JEDDAH,KOZHIKODE,320,323,643
155,JEDDAH,LUCKNOW,105,107,212
156,JEDDAH,MUMBAI,750,760,1510
157,KABUL,DELHI,1,1,2
158,KABUL,MUMBAI,1,1,2
159,KATHMANDU,DELHI,935,787,1722
160,KATHMANDU,KOLKATA,66,57,123
161,KATHMANDU,MUMBAI,215,146,361
162,KATHMANDU,VARANASI,14,14,28
163,KIGALI,MUMBAI,29,21,50
164,KUALALUMPUR,AMRITSAR,48,45,93
165,KUALALUMPUR,BENGALURU,236,209,445
166,KUALALUMPUR,CHENNAI,610,596,1206
167,KUALALUMPUR,DELHI,460,447,907
168,KUALALUMPUR,HYDERABAD,231,189,420
169,KUALALUMPUR,KOCHI,233,184,417
170,KUALALUMPUR,KOLKATA,181,191,372
171,KUALALUMPUR,MUMBAI,318,296,614
172,KUALALUMPUR,TIRUCHIRAPALLY,361,335,696
173,KUWAIT,AHMEDABAD,192,190,382
174,KUWAIT,BENGALURU,53,47,100
175,KUWAIT,CHENNAI,344,395,739
176,KUWAIT,DELHI,338,332,670
177,KUWAIT,HYDERABAD,151,151,302
178,KUWAIT,KANNUR,56,66,122
179,KUWAIT,KOCHI,263,311,574
180,KUWAIT,KOZHIKODE,48,60,108
181,KUWAIT,MANGALORE,21,22,43
