S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,AHMEDABAD,1,2,3
2,AGARTALA,AIZAWL,4,3,7
3,AGARTALA,BENGALURU,36,32,68
4,AGARTALA,DELHI,43,43,86
5,AGARTALA,DIBRUGARH,8,8,16
6,AGARTALA,GUWAHATI,46,48,94
7,AGARTALA,IMPHAL,12,15,27
8,AGARTALA,KOLKATA,334,320,654
9,AGARTALA,SHILLONG,7,6,13
10,AGATTI ISLAND,BENGALURU,1,1,2
11,AGATTI ISLAND,KOCHI,12,15,27
12,AGATTI ISLAND,MYSORE,1,1,2
13,AGRA,BENGALURU,25,25,50
14,AGRA,BHOPAL,2,3,5
15,AGRA,LUCKNOW,5,6,11
16,AHMEDABAD,AMRITSAR,21,22,43
17,AHMEDABAD,BAGDOGRA,10,7,17
18,AHMEDABAD,BELGAUM,7,7,14
19,AHMEDABAD,BENGALURU,269,268,537
20,AHMEDABAD,BHOPAL,18,17,35
21,AHMEDABAD,CHANDIGARH,44,39,83
22,AHMEDABAD,CHENNAI,99,97,196
24,AHMEDABAD,DABOLIM,127,134,261
25,AHMEDABAD,DEHRA DUN,23,22,45
26,AHMEDABAD,DELHI,695,630,1325
27,AHMEDABAD,DURGAPUR,1,2,3
28,AHMEDABAD,GUWAHATI,2,2,4
29,AHMEDABAD,GWALIOR,17,17,34
30,AHMEDABAD,HYDERABAD,146,142,288
31,AHMEDABAD,INDORE,20,18,38
32,AHMEDABAD,JAIPUR,69,67,136
33,AHMEDABAD,KOLKATA,177,144,321
34,AHMEDABAD,LUCKNOW,84,69,153
35,AHMEDABAD,MUMBAI,443,445,888
36,AHMEDABAD,NAGPUR,20,20,40
37,AHMEDABAD,NASIK,10,9,19
38,AHMEDABAD,PATNA,50,48,98
39,AHMEDABAD,PUNE,116,112,228
40,AHMEDABAD,SHIRDI,2,2,4
41,AHMEDABAD,VARANASI,28,18,46
42,AHMEDABAD,VISAKHAPATNAM,4,4,8
43,AIZAWL,DELHI,17,17,34
44,AIZAWL,GUWAHATI,38,31,69
45,AIZAWL,IMPHAL,4,5,9
46,AIZAWL,KOLKATA,55,55,110
47,AIZAWL,MUMBAI,1,1,2
48,AIZAWL,SHILLONG,5,4,9
49,AJMER,DELHI,17,18,35
50,AJMER,HYDERABAD,21,22,43
51,AJMER,INDORE,4,5,9
52,AJMER,MUMBAI,16,17,33
53,AJMER,SURAT,4,5,9
54,ALLAHABAD,BENGALURU,42,44,86
