S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGRA,AHMEDABAD,5,6,11
2,AGRA,BENGALURU,23,23,46
3,AGRA,BHOPAL,2,2,4
4,AGRA,LUCKNOW,4,5,9
5,AGRA,MUMBAI,17,17,34
6,AGATTI ISLAND,BENGALURU,1,1,2
7,AGATTI ISLAND,KOCHI,15,19,34
8,AGATTI ISLAND,MYSORE,1,1,2
10,AIZAWL,DELHI,18,17,35
11,AIZAWL,GUWAHATI,40,35,75
12,AIZAWL,IMPHAL,4,4,8
13,AIZAWL,KOLKATA,46,48,94
14,AIZAWL,MUMBAI,3,2,5
15,AIZAWL,SHILLONG,4,5,9
16,AHMEDABAD,AMRITSAR,11,11,22
17,AHMEDABAD,BAGDOGRA,6,3,9
18,AHMEDABAD,BELGAUM,7,8,15
19,AHMEDABAD,BENGALURU,272,285,557
20,AHMEDABAD,BHOPAL,15,19,34
21,AHMEDABAD,BHUJ,6,5,11
22,AHMEDABAD,CHANDIGARH,57,50,107
23,AHMEDABAD,CHENNAI,111,108,219
24,AHMEDABAD,COIMBATORE,10,7,17
25,AHMEDABAD,DABOLIM,150,156,306
26,AHMEDABAD,DEHRA DUN,60,57,117
27,AHMEDABAD,DELHI,644,673,1317
28,AHMEDABAD,DURGAPUR,2,2,4
29,AHMEDABAD,GUWAHATI,8,9,17
30,AHMEDABAD,GWALIOR,7,7,14
31,AHMEDABAD,HYDERABAD,126,126,252
32,AHMEDABAD,INDORE,19,20,39
33,AHMEDABAD,JAIPUR,67,63,130
34,AHMEDABAD,JODHPUR,15,15,30
35,AHMEDABAD,KOCHI,32,27,59
36,AHMEDABAD,KOLHAPUR,6,6,12
37,AHMEDABAD,KOLKATA,133,146,279
38,AHMEDABAD,LUCKNOW,63,62,125
39,AHMEDABAD,MUMBAI,643,588,1231
40,AHMEDABAD,NAGPUR,26,24,50
41,AHMEDABAD,NASIK,8,7,15
42,AHMEDABAD,PATNA,50,54,104
43,AHMEDABAD,PUNE,140,138,278
44,AHMEDABAD,RAIPUR,25,23,48
45,AHMEDABAD,RANCHI,13,15,28
46,AHMEDABAD,SHIRDI,1,1,2
47,AHMEDABAD,TRIVANDRUM,3,3,6
48,AHMEDABAD,VARANASI,42,47,89
49,AHMEDABAD,VISAKHAPATNAM,5,3,8
50,AMRITSAR,BENGALURU,24,23,47
51,AMRITSAR,CHENNAI,2,2,4
53,AMRITSAR,DELHI,255,265,520
54,AMRITSAR,GUWAHATI,1,3,4
55,AMRITSAR,JAIPUR,2,2,4
57,AMRITSAR,KOLKATA,45,45,90
58,AMRITSAR,LUCKNOW,15,13,28
59,AMRITSAR,MUMBAI,114,103,217
60,AMRITSAR,PATNA,10,12,22
61,AMRITSAR,PUNE,25,27,52
62,AMRITSAR,SRINAGAR,48,52,100
63,BHUBANESWAR,CHANDIGARH,7,7,14
64,BHUBANESWAR,CHENNAI,72,71,143
66,BHUBANESWAR,DELHI,321,318,639
67,BHUBANESWAR,HYDERABAD,115,107,222
68,BHUBANESWAR,JAIPUR,15,17,32
69,BHUBANESWAR,JHARSUGUDA,13,13,26
70,BHUBANESWAR,KOLKATA,122,132,254
71,ALLAHABAD,JABALPUR,1,1,2
72,BHUBANESWAR,LUCKNOW,2,4,6
73,BHUBANESWAR,MUMBAI,184,171,355
74,BHUBANESWAR,PATNA,30,28,58
75,BHUBANESWAR,PUNE,34,31,65
76,BHUBANESWAR,RAIPUR,13,12,25
77,AMRITSAR,CHANDIGARH,3,1,4
78,BHUBANESWAR,RANCHI,6,5,11
79,BHUBANESWAR,VARANASI,14,14,28
80,BAREILLY,BENGALURU,19,16,35
81,BAREILLY,DELHI,15,12,27
82,BAREILLY,MUMBAI,21,21,42
83,BHUJ,MUMBAI,10,10,20
84,BHOPAL,DELHI,169,159,328
85,BHOPAL,HYDERABAD,18,17,35
86,BHOPAL,KOCHI,7,6,13
87,BHOPAL,MUMBAI,121,109,230
88,BHOPAL,PUNE,12,11,23
89,BHOPAL,RAIPUR,19,17,36
90,BHAVNAGAR,MUMBAI,20,21,41
91,BHAVNAGAR,PUNE,11,12,23
92,BIKANER,DELHI,12,13,25
93,BENGALURU,BHOPAL,37,41,78
94,BENGALURU,BHUBANESWAR,166,191,357
95,BENGALURU,"BIDAR AIRPORT, KARNATAKA",7,7,14
96,BAGDOGRA,GUWAHATI,1,1,2
97,BENGALURU,CHANDIGARH,146,137,283
98,BENGALURU,CHENNAI,288,302,590
99,BENGALURU,COIMBATORE,111,123,234
100,BENGALURU,DABOLIM,356,364,720
101,BENGALURU,DARBHANGA,44,47,91
102,BENGALURU,DEHRA DUN,44,43,87
103,BENGALURU,DELHI,1571,1589,3160
104,BENGALURU,DIMAPUR,11,7,18
105,BENGALURU,DURGAPUR,38,47,85
106,BENGALURU,GORAKHPUR,12,11,23
107,BENGALURU,GUWAHATI,127,165,292
108,BENGALURU,GWALIOR,22,21,43
109,BENGALURU,HUBLI,45,45,90
110,BENGALURU,HYDERABAD,556,578,1134
111,BENGALURU,IMPHAL,5,6,11
112,BENGALURU,INDORE,125,129,254
113,BENGALURU,JABALPUR,17,18,35
114,BENGALURU,JAIPUR,191,197,388
115,BENGALURU,JAMMU,5,5,10
116,BENGALURU,JAMNAGAR,5,5,10
117,BENGALURU,JHARSUGUDA,2,3,5
118,BENGALURU,JODHPUR,27,29,56
119,BENGALURU,JORHAT,8,6,14
120,BENGALURU,KADAPA,3,4,7
121,BENGALURU,"KALABURAGI, KARNATAKA",28,26,54
122,BENGALURU,KANNUR,36,40,76
123,BENGALURU,KANPUR,20,21,41
124,BENGALURU,KOCHI,469,451,920
125,BENGALURU,KOLHAPUR,7,6,13
126,BENGALURU,KOLKATA,584,621,1205
127,BENGALURU,KOZHIKODE,41,42,83
128,BENGALURU,KURNOOL,4,5,9
129,BENGALURU,LUCKNOW,177,208,385
130,BENGALURU,MADURAI,56,59,115
131,BENGALURU,MANGALORE,185,177,362
132,BENGALURU,MUMBAI,1229,1202,2431
133,BENGALURU,MYSORE,4,8,12
134,BENGALURU,NAGPUR,112,111,223
135,BENGALURU,PATNA,153,168,321
136,BENGALURU,PONDICHERRY,11,12,23
137,BENGALURU,PORT BLAIR,47,41,88
138,BENGALURU,PUNE,511,524,1035
139,BENGALURU,RAIPUR,91,91,182
140,BENGALURU,RAJAHMUNDRY,32,37,69
141,BENGALURU,RAJKOT,39,40,79
142,BENGALURU,RANCHI,126,152,278
143,BENGALURU,SHIRDI,58,58,116
144,BENGALURU,SRINAGAR,11,13,24
145,BENGALURU,SURAT,48,47,95
146,BENGALURU,TIRUCHIRAPALLY,38,35,73
147,BENGALURU,TIRUPATI,21,22,43
148,BENGALURU,TRIVANDRUM,144,146,290
149,BENGALURU,TUTICORIN,20,18,38
150,BENGALURU,UDAIPUR,19,18,37
151,BENGALURU,VADODARA,52,50,102
152,BENGALURU,VARANASI,87,101,188
153,BENGALURU,VIJAYAWADA,83,92,175
154,BENGALURU,VISAKHAPATNAM,159,186,345
155,MUMBAI,NAGPUR,267,285,552
156,MUMBAI,PATNA,143,164,307
157,MUMBAI,PORBANDAR,9,8,17
159,MUMBAI,RAIPUR,142,145,287
160,MUMBAI,RAJKOT,120,126,246
161,MUMBAI,RANCHI,104,123,227
162,MUMBAI,SILCHAR,1,1,2
163,MUMBAI,SRINAGAR,91,172,263
164,MUMBAI,SURAT,15,17,32
165,MUMBAI,TIRUPATI,11,8,19
166,MUMBAI,TRIVANDRUM,118,135,253
167,MUMBAI,UDAIPUR,171,181,352
168,MUMBAI,VADODARA,151,162,313
169,MUMBAI,VARANASI,181,187,368
170,MUMBAI,VISAKHAPATNAM,62,79,141
171,MUMBAI,Sindhudurg Airport,16,16,32
172,KOZHIKODE,MUMBAI,68,63,131
173,KOLKATA,LILABARI,9,9,18
174,KOLKATA,LUCKNOW,77,74,151
175,KOLKATA,MANGALORE,4,4,8
176,KOLKATA,MUMBAI,609,562,1171
177,KOLKATA,NAGPUR,33,31,64
179,KOLKATA,PATNA,75,87,162
180,KOLKATA,PORT BLAIR,135,111,246
181,KOLKATA,PUNE,111,105,216
182,KOLKATA,RAIPUR,78,77,155
183,KOLKATA,RANCHI,52,52,104
184,KOLKATA,RUPSI,10,11,21
185,KOLKATA,SHILLONG,15,14,29
186,KOLKATA,SILCHAR,72,81,153
187,KOLKATA,SRINAGAR,11,11,22
188,KOLKATA,SURAT,54,47,101
190,KOLKATA,TRIVANDRUM,7,4,11
191,KOLKATA,UDAIPUR,6,4,10
192,KOLKATA,VARANASI,37,47,84
193,KOLKATA,VISAKHAPATNAM,43,43,86
194,KADAPA,VIJAYAWADA,3,2,5
195,KADAPA,VISAKHAPATNAM,6,5,11
196,COIMBATORE,DELHI,139,139,278
