S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,AHMEDABAD,5,6,11
2,AGARTALA,AIZAWL,7,7,14
3,AGARTALA,BENGALURU,33,24,57
4,AGARTALA,CHENNAI,10,6,16
5,AGARTALA,DELHI,49,51,100
6,AGARTALA,DIBRUGARH,12,15,27
7,AGARTALA,GUWAHATI,76,85,161
8,AGARTALA,IMPHAL,13,14,27
9,AGARTALA,KOLKATA,305,325,630
10,AGARTALA,SHILLONG,6,6,12
11,AGARTALA,VISAKHAPATNAM,3,1,4
12,AGATTI ISLAND,BENGALURU,1,1,2
13,AGATTI ISLAND,KOCHI,18,23,41
14,AGRA,AHMEDABAD,9,8,17
15,AGRA,BENGALURU,23,21,44
16,AGRA,BHOPAL,3,4,7
17,AGRA,LUCKNOW,6,6,12
18,AGRA,MUMBAI,14,13,27
19,AHMEDABAD,AMRITSAR,18,20,38
20,AHMEDABAD,BAGDOGRA,36,37,73
21,AHMEDABAD,BELGAUM,9,9,18
22,AHMEDABAD,BENGALURU,426,410,836
23,AHMEDABAD,BHOPAL,17,19,36
24,AHMEDABAD,BHUBANESWAR,25,23,48
25,AHMEDABAD,BHUJ,10,10,20
26,AHMEDABAD,CHANDIGARH,126,130,256
27,AHMEDABAD,CHENNAI,125,119,244
28,AHMEDABAD,COIMBATORE,14,14,28
29,AHMEDABAD,DABOLIM,210,205,415
30,AHMEDABAD,DEHRA DUN,42,41,83
31,AHMEDABAD,DELHI,927,971,1898
32,AHMEDABAD,DURGAPUR,2,2,4
33,AHMEDABAD,HYDERABAD,183,173,356
34,AHMEDABAD,INDORE,26,26,52
35,AHMEDABAD,JAIPUR,118,125,243
36,AHMEDABAD,JAISALMER,12,14,26
37,AHMEDABAD,JAMMU,25,24,49
38,AHMEDABAD,JODHPUR,15,16,31
39,AHMEDABAD,KOCHI,48,40,88
40,AHMEDABAD,KOLHAPUR,10,7,17
41,AHMEDABAD,KOLKATA,190,189,379
42,AHMEDABAD,LUCKNOW,80,92,172
43,AHMEDABAD,MUMBAI,891,880,1771
44,AHMEDABAD,NAGPUR,38,38,76
45,AHMEDABAD,PATNA,47,49,96
47,AHMEDABAD,PUNE,202,193,395
48,AHMEDABAD,RAIPUR,20,20,40
49,AHMEDABAD,RANCHI,25,27,52
50,AHMEDABAD,TRIVANDRUM,4,5,9
51,AHMEDABAD,UDAIPUR,10,10,20
52,AHMEDABAD,VARANASI,58,81,139
53,AHMEDABAD,VISAKHAPATNAM,7,4,11
54,AIZAWL,DELHI,16,21,37
56,AIZAWL,GUWAHATI,50,48,98
57,AIZAWL,IMPHAL,9,8,17
58,AIZAWL,KOLKATA,60,70,130
59,AIZAWL,MUMBAI,3,5,8
60,AIZAWL,SHILLONG,4,7,11
61,AJMER,INDORE,3,3,6
62,AJMER,SURAT,4,4,8
63,ALLAHABAD,BENGALURU,40,36,76
64,ALLAHABAD,BHOPAL,8,7,15
65,ALLAHABAD,BHUBANESWAR,17,17,34
66,ALLAHABAD,BILASPUR,6,5,11
67,ALLAHABAD,DEHRA DUN,13,14,27
68,ALLAHABAD,DELHI,57,54,111
69,ALLAHABAD,GORAKHPUR,8,5,13
70,ALLAHABAD,INDORE,16,14,30
71,ALLAHABAD,LUCKNOW,8,11,19
72,ALLAHABAD,MUMBAI,43,40,83
73,ALLAHABAD,PUNE,14,12,26
74,ALLAHABAD,RAIPUR,19,15,34
75,AMRITSAR,BENGALURU,29,28,57
76,AMRITSAR,CHENNAI,3,3,6
77,AMRITSAR,DABOLIM,27,19,46
78,AMRITSAR,DELHI,378,394,772
79,AMRITSAR,HYDERABAD,5,3,8
80,AMRITSAR,KOLKATA,33,28,61
81,AMRITSAR,LUCKNOW,15,18,33
82,AMRITSAR,MUMBAI,178,178,356
83,AMRITSAR,PUNE,37,33,70
84,AMRITSAR,SRINAGAR,35,29,64
85,AURANGABAD,DELHI,84,94,178
86,AURANGABAD,HYDERABAD,39,31,70
87,AURANGABAD,MUMBAI,122,113,235
88,BAGDOGRA,BENGALURU,196,197,393
89,BAGDOGRA,CHENNAI,42,43,85
90,BAGDOGRA,DELHI,398,460,858
91,BAGDOGRA,DIBRUGARH,36,23,59
93,BAGDOGRA,HYDERABAD,40,40,80
94,BAGDOGRA,KOLKATA,237,235,472
95,BAGDOGRA,MUMBAI,101,100,201
96,BAREILLY,BENGALURU,17,15,32
97,BAREILLY,DELHI,12,11,23
98,BAREILLY,MUMBAI,22,21,43
99,BELGAUM,BENGALURU,36,37,73
100,BELGAUM,DELHI,14,14,28
101,BELGAUM,HYDERABAD,18,17,35
102,BELGAUM,INDORE,3,3,6
103,BELGAUM,JODHPUR,4,4,8
104,BELGAUM,MUMBAI,7,7,14
105,BELGAUM,NAGPUR,3,3,6
106,BELGAUM,SURAT,4,4,8
107,BELGAUM,TIRUPATI,4,4,8
108,BENGALURU,BHOPAL,37,38,75
109,BENGALURU,BHUBANESWAR,280,279,559
110,BENGALURU,"BIDAR AIRPORT, KARNATAKA",4,4,8
111,BENGALURU,CHANDIGARH,169,180,349
112,BENGALURU,CHENNAI,533,553,1086
113,BENGALURU,COIMBATORE,141,136,277
114,BENGALURU,DABOLIM,487,476,963
115,BENGALURU,DARBHANGA,51,51,102
116,BENGALURU,DEHRA DUN,37,39,76
117,BENGALURU,DELHI,1950,2018,3968
118,BENGALURU,DIMAPUR,14,7,21
119,BENGALURU,DURGAPUR,47,45,92
120,BENGALURU,GORAKHPUR,11,14,25
121,BENGALURU,GUWAHATI,291,277,568
122,BENGALURU,GWALIOR,24,28,52
123,BENGALURU,HUBLI,43,44,87
124,BENGALURU,HYDERABAD,805,780,1585
125,BENGALURU,IMPHAL,8,4,12
126,BENGALURU,INDORE,114,121,235
127,BENGALURU,JAIPUR,257,269,526
128,BENGALURU,JAMMU,9,9,18
129,BENGALURU,JAMNAGAR,5,5,10
130,BENGALURU,JODHPUR,38,42,80
131,BENGALURU,JORHAT,6,4,10
132,BENGALURU,KADAPA,2,3,5
133,BENGALURU,"KALABURAGI, KARNATAKA",27,27,54
134,BENGALURU,KANNUR,43,37,80
