S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,AHMEDABAD,19,3,22
2,AGARTALA,AIZAWL,2,2,4
3,AGARTALA,BENGALURU,14,14,28
4,AGARTALA,CHENNAI,19,3,22
5,AGARTALA,DELHI,46,42,88
6,AGARTALA,DIBRUGARH,7,8,15
7,AGARTALA,GUWAHATI,38,37,75
8,AGARTALA,IMPHAL,6,6,12
9,AGARTALA,KOLKATA,225,194,419
10,AGARTALA,LUCKNOW,19,1,20
11,AGARTALA,MUMBAI,19,1,20
12,AGARTALA,SHILLONG,5,4,9
13,AGATTI ISLAND,BENGALURU,1,1,2
14,AGATTI ISLAND,KOCHI,11,16,27
15,AGATTI ISLAND,MYSORE,1,1,2
16,AGRA,BENGALURU,17,17,34
17,AGRA,BHOPAL,3,5,8
18,AGRA,LUCKNOW,4,3,7
19,AHMEDABAD,BAGDOGRA,28,30,58
20,AHMEDABAD,BELGAUM,6,7,13
21,AHMEDABAD,BENGALURU,237,229,466
22,AHMEDABAD,BHOPAL,17,19,36
23,AHMEDABAD,CHANDIGARH,64,59,123
24,AHMEDABAD,CHENNAI,80,76,156
25,AHMEDABAD,COIMBATORE,19,2,21
26,AHMEDABAD,DABOLIM,116,118,234
27,AHMEDABAD,DEHRA DUN,22,21,43
28,AHMEDABAD,DELHI,598,522,1120
29,AHMEDABAD,GWALIOR,15,14,29
30,AHMEDABAD,HYDERABAD,123,121,244
31,AHMEDABAD,INDORE,14,14,28
32,AHMEDABAD,JAIPUR,29,27,56
33,AHMEDABAD,JAISALMER,1,19,20
34,AHMEDABAD,JALGAON,1,1,2
35,AHMEDABAD,KOCHI,7,6,13
36,AHMEDABAD,KOLKATA,141,139,280
37,AHMEDABAD,LUCKNOW,67,55,122
38,AHMEDABAD,MUMBAI,345,342,687
39,AHMEDABAD,NAGPUR,18,17,35
40,AHMEDABAD,NASIK,6,6,12
41,AHMEDABAD,PATNA,35,37,72
42,AHMEDABAD,PUNE,70,70,140
43,AHMEDABAD,UDAIPUR,5,6,11
44,AHMEDABAD,VARANASI,15,15,30
45,AIZAWL,DELHI,13,13,26
46,AIZAWL,GUWAHATI,24,15,39
47,AIZAWL,IMPHAL,4,4,8
48,AIZAWL,KOLKATA,36,28,64
49,AIZAWL,MUMBAI,1,1,2
50,AIZAWL,SHILLONG,2,2,4
51,AJMER,DELHI,14,16,30
52,AJMER,HYDERABAD,22,23,45
53,AJMER,INDORE,5,5,10
54,AJMER,JABALPUR,1,19,20
55,AJMER,MUMBAI,13,13,26
56,AJMER,SURAT,5,5,10
57,ALLAHABAD,BENGALURU,23,25,48
58,ALLAHABAD,BHOPAL,10,11,21
59,ALLAHABAD,BHUBANESWAR,5,7,12
60,ALLAHABAD,BILASPUR,4,5,9
61,ALLAHABAD,DEHRA DUN,9,7,16
62,ALLAHABAD,DELHI,30,30,60
63,ALLAHABAD,GORAKHPUR,6,5,11
64,ALLAHABAD,INDORE,6,7,13
65,ALLAHABAD,MUMBAI,25,25,50
66,ALLAHABAD,PUNE,16,16,32
67,ALLAHABAD,RAIPUR,8,8,16
68,AMRITSAR,BENGALURU,15,18,33
69,AMRITSAR,DELHI,267,283,550
70,AMRITSAR,GUWAHATI,4,4,8
71,AMRITSAR,HYDERABAD,2,4,6
72,AMRITSAR,JAIPUR,15,12,27
73,AMRITSAR,JAISALMER,19,1,20
74,AMRITSAR,JAMMU,19,3,22
75,AMRITSAR,KOLKATA,19,20,39
76,AMRITSAR,MUMBAI,96,100,196
77,AMRITSAR,NANDED,5,4,9
78,AMRITSAR,PATNA,12,11,23
79,AMRITSAR,SRINAGAR,33,37,70
80,AURANGABAD,DELHI,48,49,97
81,AURANGABAD,HYDERABAD,11,10,21
82,AURANGABAD,MUMBAI,40,39,79
83,BAGDOGRA,BENGALURU,97,77,174
84,BAGDOGRA,CHENNAI,15,14,29
85,BAGDOGRA,DELHI,328,286,614
86,BAGDOGRA,DIBRUGARH,22,28,50
87,BAGDOGRA,GUWAHATI,19,10,29
88,BAGDOGRA,HYDERABAD,43,49,92
89,BAGDOGRA,JAIPUR,22,24,46
90,BAGDOGRA,KOLKATA,245,230,475
91,BAGDOGRA,MUMBAI,39,45,84
92,BAGDOGRA,PATNA,19,1,20
93,BAREILLY,BENGALURU,15,15,30
94,BAREILLY,DELHI,11,9,20
95,BAREILLY,MUMBAI,22,22,44
96,BELGAUM,BENGALURU,18,18,36
97,BELGAUM,DELHI,9,8,17
98,BELGAUM,HYDERABAD,27,28,55
99,BELGAUM,INDORE,5,5,10
100,BELGAUM,JODHPUR,5,5,10
101,BELGAUM,MUMBAI,25,24,49
102,BELGAUM,NASIK,3,4,7
103,BELGAUM,PUNE,7,6,13
104,BELGAUM,SURAT,5,5,10
105,BELGAUM,TIRUPATI,2,2,4
106,BENGALURU,BHOPAL,18,23,41
107,BENGALURU,BHUBANESWAR,163,156,319
108,BENGALURU,"BIDAR AIRPORT, KARNATAKA",1,1,2
109,BENGALURU,CHANDIGARH,68,58,126
110,BENGALURU,CHENNAI,213,217,430
111,BENGALURU,COIMBATORE,67,63,130
112,BENGALURU,DABOLIM,238,211,449
113,BENGALURU,DARBHANGA,41,45,86
114,BENGALURU,DEHRA DUN,26,24,50
115,BENGALURU,DELHI,979,966,1945
116,BENGALURU,DIMAPUR,5,4,9
117,BENGALURU,DURGAPUR,17,18,35
118,BENGALURU,GORAKHPUR,10,9,19
119,BENGALURU,GUWAHATI,126,137,263
120,BENGALURU,GWALIOR,19,19,38
121,BENGALURU,HUBLI,23,26,49
122,BENGALURU,HYDERABAD,393,422,815
123,BENGALURU,IMPHAL,2,3,5
124,BENGALURU,INDORE,59,66,125
125,BENGALURU,JABALPUR,20,20,40
126,BENGALURU,JAIPUR,174,161,335
127,BENGALURU,JAMNAGAR,5,5,10
128,BENGALURU,JHARSUGUDA,6,9,15
129,BENGALURU,JODHPUR,22,25,47
130,BENGALURU,JORHAT,2,2,4
131,BENGALURU,"KALABURAGI, KARNATAKA",25,25,50
132,BENGALURU,KANNUR,16,19,35
133,BENGALURU,KANPUR,13,13,26
134,BENGALURU,KOCHI,224,245,469
135,BENGALURU,KOLHAPUR,5,5,10
136,BENGALURU,KOLKATA,410,465,875
137,BENGALURU,KOZHIKODE,12,17,29
138,BENGALURU,KURNOOL,2,3,5
139,BENGALURU,LUCKNOW,113,112,225
140,BENGALURU,MADURAI,34,34,68
141,BENGALURU,MANGALORE,125,140,265
142,BENGALURU,MUMBAI,694,692,1386
143,BENGALURU,MYSORE,3,7,10
144,BENGALURU,NAGPUR,55,53,108
145,BENGALURU,PATNA,159,167,326
146,BENGALURU,PORT BLAIR,50,41,91
147,BENGALURU,PUNE,263,264,527
148,BENGALURU,RAIPUR,31,42,73
149,BENGALURU,RAJAHMUNDRY,12,13,25
150,BENGALURU,RAJKOT,19,18,37
151,BENGALURU,RANCHI,98,114,212
152,BENGALURU,SHIRDI,26,25,51
153,BENGALURU,SRINAGAR,13,9,22
154,BENGALURU,SURAT,32,31,63
155,BENGALURU,TIRUCHIRAPALLY,14,11,25
156,BENGALURU,TIRUPATI,9,9,18
157,BENGALURU,TRIVANDRUM,46,43,89
158,BENGALURU,TUTICORIN,6,6,12
159,BENGALURU,UDAIPUR,27,27,54
160,BENGALURU,VADODARA,19,23,42
161,BENGALURU,VARANASI,75,70,145
162,BENGALURU,VIDYANAGAR,1,1,2
163,BENGALURU,VIJAYAWADA,40,43,83
164,BENGALURU,VISAKHAPATNAM,109,122,231
165,BHAVNAGAR,MUMBAI,14,14,28
166,BHOPAL,DELHI,122,117,239
167,BHOPAL,GWALIOR,19,1,20
168,BHOPAL,HYDERABAD,20,15,35
169,BHOPAL,KOCHI,2,3,5
170,BHOPAL,LUCKNOW,2,19,21
171,BHOPAL,MUMBAI,86,87,173
172,BHOPAL,PUNE,14,13,27
173,BHOPAL,RAIPUR,8,9,17
174,BHOPAL,SURAT,1,19,20
175,BHUBANESWAR,CHENNAI,22,22,44
176,BHUBANESWAR,DELHI,321,326,647
177,BHUBANESWAR,HYDERABAD,77,82,159
178,BHUBANESWAR,JAIPUR,16,14,30
179,BHUBANESWAR,JHARSUGUDA,11,11,22
180,BHUBANESWAR,KOLKATA,142,124,266
181,BHUBANESWAR,MUMBAI,129,131,260
182,BHUBANESWAR,PUNE,36,36,72
183,BHUBANESWAR,RAIPUR,4,1,5
184,BHUBANESWAR,RANCHI,4,5,9
185,BHUBANESWAR,SURAT,4,4,8
186,BHUBANESWAR,VARANASI,10,9,19
187,BHUJ,MUMBAI,9,10,19
188,BIKANER,DELHI,7,8,15
189,BILASPUR,DELHI,5,4,9
190,BILASPUR,JABALPUR,4,3,7
191,CHANDIGARH,DABOLIM,43,43,86
192,CHANDIGARH,DELHI,237,233,470
193,CHANDIGARH,DHARAMSALA,6,6,12
194,CHANDIGARH,GUWAHATI,5,7,12
195,CHANDIGARH,HYDERABAD,40,49,89
196,CHANDIGARH,JAIPUR,5,4,9
197,CHANDIGARH,KOLKATA,21,26,47
198,CHANDIGARH,KULLU,3,1,4
199,CHANDIGARH,LEH,17,14,31
200,CHANDIGARH,LUCKNOW,14,19,33
201,CHANDIGARH,MUMBAI,290,324,614
202,CHANDIGARH,PUNE,31,32,63
203,CHANDIGARH,SRINAGAR,63,63,126
