S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGRA,AHMEDABAD,6,8,14
2,AGRA,BENGALURU,25,24,49
3,AGRA,BHOPAL,2,2,4
4,AGRA,LUCKNOW,4,5,9
5,AGRA,MUMBAI,15,15,30
6,AGATTI ISLAND,BENGALURU,1,1,2
7,AGATTI ISLAND,KOCHI,11,16,27
8,AGATTI ISLAND,MYSORE,1,1,2
9,AIZAWL,DELHI,18,16,34
10,AIZAWL,GUWAHATI,37,32,69
11,AIZAWL,IMPHAL,8,7,15
12,AIZAWL,KOLKATA,54,45,99
13,AIZAWL,MUMBAI,1,1,2
14,AIZAWL,SHILLONG,2,2,4
15,AHMEDABAD,AMRITSAR,9,10,19
16,AHMEDABAD,BAGDOGRA,13,10,23
17,AHMEDABAD,BELGAUM,8,8,16
18,AHMEDABAD,BENGALURU,227,229,456
19,AHMEDABAD,BHOPAL,14,16,30
20,AHMEDABAD,BHUBANESWAR,12,13,25
21,AHMEDABAD,BHUJ,6,6,12
22,AHMEDABAD,CHANDIGARH,54,50,104
23,AHMEDABAD,CHENNAI,113,111,224
24,AHMEDABAD,COIMBATORE,11,7,18
25,AHMEDABAD,DABOLIM,115,126,241
26,AHMEDABAD,DEHRA DUN,46,52,98
27,AHMEDABAD,DELHI,555,561,1116
28,AHMEDABAD,DURGAPUR,2,3,5
29,AHMEDABAD,GUWAHATI,7,7,14
30,AHMEDABAD,GWALIOR,9,9,18
31,AHMEDABAD,HYDERABAD,116,111,227
32,AHMEDABAD,INDORE,19,20,39
33,AHMEDABAD,JAIPUR,50,51,101
34,AHMEDABAD,JODHPUR,15,13,28
35,AHMEDABAD,KOCHI,32,27,59
36,AHMEDABAD,KOLHAPUR,7,7,14
37,AHMEDABAD,KOLKATA,141,145,286
38,AHMEDABAD,LUCKNOW,63,67,130
39,AHMEDABAD,MUMBAI,431,403,834
40,AHMEDABAD,NAGPUR,26,27,53
41,AHMEDABAD,NASIK,6,6,12
42,AHMEDABAD,PATNA,46,48,94
43,AHMEDABAD,PUNE,117,118,235
44,AHMEDABAD,RAIPUR,19,19,38
45,AHMEDABAD,RANCHI,15,16,31
46,AHMEDABAD,SHIRDI,1,1,2
47,AHMEDABAD,TRIVANDRUM,1,1,2
48,AHMEDABAD,VARANASI,21,21,42
49,AHMEDABAD,VISAKHAPATNAM,5,4,9
50,AMRITSAR,BENGALURU,22,18,40
51,AMRITSAR,CHENNAI,1,2,3
52,AMRITSAR,DABOLIM,10,11,21
53,AMRITSAR,DEHRA DUN,1,21,22
54,AMRITSAR,DELHI,234,238,472
55,AMRITSAR,GUWAHATI,2,3,5
56,AMRITSAR,HYDERABAD,2,2,4
57,AMRITSAR,JAIPUR,5,4,9
58,AMRITSAR,JAMMU,22,2,24
59,AMRITSAR,KOLKATA,47,48,95
60,AMRITSAR,LUCKNOW,10,10,20
61,AMRITSAR,MUMBAI,83,70,153
62,AMRITSAR,PATNA,10,11,21
63,AMRITSAR,PUNE,28,33,61
64,AMRITSAR,SRINAGAR,81,86,167
65,BHUBANESWAR,CHANDIGARH,7,6,13
66,BHUBANESWAR,CHENNAI,74,74,148
67,BHUBANESWAR,DEHRA DUN,22,1,23
68,BHUBANESWAR,DELHI,317,306,623
69,BHUBANESWAR,HYDERABAD,127,104,231
70,BHUBANESWAR,JAIPUR,13,15,28
71,BHUBANESWAR,JHARSUGUDA,11,11,22
72,BHUBANESWAR,KOLKATA,156,158,314
73,BHUBANESWAR,LUCKNOW,2,2,4
74,BHUBANESWAR,MUMBAI,169,154,323
75,BHUBANESWAR,PATNA,27,26,53
76,BHUBANESWAR,PUNE,36,32,68
77,BHUBANESWAR,RAIPUR,8,7,15
78,BHUBANESWAR,RANCHI,4,5,9
79,BHUBANESWAR,VARANASI,14,15,29
80,BAREILLY,BENGALURU,26,22,48
81,BAREILLY,DELHI,11,9,20
82,BAREILLY,MUMBAI,17,17,34
83,BHUJ,MUMBAI,9,10,19
84,BHOPAL,CHENNAI,7,8,15
85,BHOPAL,DELHI,159,152,311
86,BHOPAL,HYDERABAD,23,22,45
87,BHOPAL,INDORE,22,1,23
88,BHOPAL,KOCHI,5,7,12
89,BHOPAL,LUCKNOW,2,21,23
90,BHOPAL,MUMBAI,110,102,212
91,BHOPAL,PUNE,13,11,24
92,BHOPAL,RAIPUR,15,15,30
93,BHAVNAGAR,MUMBAI,13,16,29
94,BHAVNAGAR,PUNE,8,8,16
95,BIKANER,DELHI,7,8,15
96,BENGALURU,BHOPAL,36,43,79
97,BENGALURU,BHUBANESWAR,173,207,380
98,BENGALURU,"BIDAR AIRPORT, KARNATAKA",7,8,15
99,BENGALURU,CHANDIGARH,152,148,300
100,BENGALURU,CHENNAI,273,291,564
101,BENGALURU,COIMBATORE,109,120,229
102,BENGALURU,DABOLIM,310,323,633
103,BENGALURU,DARBHANGA,65,69,134
104,BENGALURU,DEHRA DUN,58,65,123
105,BENGALURU,DELHI,1542,1580,3122
106,BENGALURU,DIMAPUR,11,8,19
107,BENGALURU,DURGAPUR,40,46,86
108,BENGALURU,GORAKHPUR,12,12,24
109,BENGALURU,GUWAHATI,145,145,290
110,BENGALURU,GWALIOR,22,22,44
111,BENGALURU,HUBLI,46,47,93
112,BENGALURU,HYDERABAD,528,530,1058
113,BENGALURU,IMPHAL,8,8,16
114,BENGALURU,INDORE,104,115,219
115,BENGALURU,JABALPUR,15,18,33
116,BENGALURU,JAIPUR,176,175,351
117,BENGALURU,JAMMU,9,10,19
118,BENGALURU,JAMNAGAR,4,4,8
119,BENGALURU,JHARSUGUDA,19,21,40
120,BENGALURU,JODHPUR,27,30,57
121,BENGALURU,JORHAT,7,7,14
122,BENGALURU,KADAPA,2,3,5
123,BENGALURU,"KALABURAGI, KARNATAKA",26,25,51
124,BENGALURU,KANNUR,34,40,74
125,BENGALURU,KANPUR,20,22,42
126,BENGALURU,KOCHI,333,371,704
127,BENGALURU,KOLHAPUR,5,5,10
128,BENGALURU,KOLKATA,621,611,1232
129,BENGALURU,KOZHIKODE,45,44,89
130,BENGALURU,KURNOOL,4,5,9
131,BENGALURU,LUCKNOW,145,177,322
132,BENGALURU,MADURAI,50,52,102
133,BENGALURU,MANGALORE,168,162,330
134,BENGALURU,MUMBAI,1026,1076,2102
135,BENGALURU,MYSORE,3,7,10
136,BENGALURU,NAGPUR,90,100,190
137,BENGALURU,PATNA,155,179,334
138,BENGALURU,PONDICHERRY,10,11,21
139,BENGALURU,PORT BLAIR,43,35,78
140,BENGALURU,PUNE,412,437,849
141,BENGALURU,RAIPUR,85,90,175
142,BENGALURU,RAJAHMUNDRY,32,33,65
143,BENGALURU,RAJKOT,35,39,74
144,BENGALURU,RANCHI,116,136,252
145,BENGALURU,SHIRDI,70,67,137
146,BENGALURU,SRINAGAR,20,18,38
147,BENGALURU,SURAT,48,46,94
148,BENGALURU,TIRUCHIRAPALLY,36,34,70
149,BENGALURU,TIRUPATI,21,21,42
150,BENGALURU,TRIVANDRUM,138,142,280
151,BENGALURU,TUTICORIN,19,18,37
152,BENGALURU,UDAIPUR,19,17,36
153,BENGALURU,VADODARA,51,47,98
154,BENGALURU,VARANASI,97,115,212
155,BENGALURU,VIJAYAWADA,81,87,168
156,BENGALURU,VISAKHAPATNAM,127,138,265
157,MUMBAI,NAGPUR,225,240,465
158,MUMBAI,PATNA,133,152,285
159,MUMBAI,PORBANDAR,14,11,25
160,MUMBAI,PORT BLAIR,1,21,22
161,MUMBAI,PUNE,1,1,2
162,MUMBAI,RAIPUR,120,122,242
163,MUMBAI,RAJKOT,112,105,217
164,MUMBAI,RANCHI,108,120,228
165,MUMBAI,SILCHAR,1,1,2
166,MUMBAI,SRINAGAR,150,230,380
167,MUMBAI,SURAT,15,17,32
168,MUMBAI,TIRUPATI,11,13,24
169,MUMBAI,TRIVANDRUM,106,87,193
170,MUMBAI,UDAIPUR,159,162,321
171,MUMBAI,VADODARA,139,151,290
172,MUMBAI,VARANASI,177,162,339
173,MUMBAI,VISAKHAPATNAM,64,63,127
174,MUMBAI,Sindhudurg Airport,14,13,27
175,KOZHIKODE,MUMBAI,57,63,120
176,KOLKATA,LILABARI,8,10,18
177,KOLKATA,LUCKNOW,80,80,160
178,KOLKATA,MANGALORE,4,4,8
179,KOLKATA,MUMBAI,535,551,1086
180,KOLKATA,NAGPUR,33,38,71
181,KOLKATA,PASIGHAT,22,1,23
182,KOLKATA,PATNA,85,95,180
183,KOLKATA,PORT BLAIR,121,105,226
184,KOLKATA,PUNE,101,108,209
185,KOLKATA,RAIPUR,66,80,146
186,KOLKATA,RANCHI,54,53,107
187,KOLKATA,RUPSI,12,12,24
188,KOLKATA,SHILLONG,13,12,25
189,KOLKATA,SILCHAR,88,87,175
190,KOLKATA,SRINAGAR,21,15,36
191,KOLKATA,SURAT,53,51,104
192,KOLKATA,TEZPUR,22,3,25
193,KOLKATA,TRIVANDRUM,5,1,6
194,KOLKATA,UDAIPUR,3,2,5
195,KOLKATA,VARANASI,39,48,87
196,KOLKATA,VISAKHAPATNAM,41,46,87
197,KADAPA,VIJAYAWADA,3,3,6
198,KADAPA,VISAKHAPATNAM,5,5,10
199,COIMBATORE,DELHI,137,127,264
200,COIMBATORE,GUWAHATI,5,3,8
201,COIMBATORE,HYDERABAD,148,146,294
202,COIMBATORE,JAIPUR,5,4,9
203,COIMBATORE,KOCHI,1,21,22
204,COIMBATORE,MANGALORE,2,13,15
205,COIMBATORE,MUMBAI,153,137,290
206,COIMBATORE,PUNE,43,38,81
207,COIMBATORE,SURAT,5,5,10
208,COIMBATORE,TIRUPATI,5,7,12
209,COIMBATORE,TRIVANDRUM,22,1,23
210,COIMBATORE,VISAKHAPATNAM,22,4,26
211,KANNUR,KOCHI,19,19,38
212,KANNUR,KOZHIKODE,1,1,2
213,KANNUR,MUMBAI,33,41,74
214,KANNUR,TRIVANDRUM,16,18,34
215,KOCHI,KOLKATA,22,25,47
216,KOCHI,MUMBAI,245,254,499
217,KOCHI,MYSORE,8,8,16
218,KOCHI,PUNE,44,38,82
219,KOCHI,RANCHI,3,3,6
220,KOCHI,TRIVANDRUM,18,17,35
221,DARBHANGA,DELHI,60,59,119
222,DARBHANGA,HYDERABAD,45,38,83
223,DARBHANGA,KOLKATA,27,22,49
224,DARBHANGA,MUMBAI,51,54,105
225,DEHRA DUN,DELHI,199,193,392
226,DEHRA DUN,GUWAHATI,3,2,5
227,DEHRA DUN,HYDERABAD,39,37,76
228,DEHRA DUN,JAIPUR,19,15,34
229,DEHRA DUN,KOLKATA,9,8,17
230,DEHRA DUN,LUCKNOW,29,35,64
231,DEHRA DUN,MUMBAI,84,97,181
232,DEHRA DUN,PANTNAGAR,5,6,11
233,DEHRA DUN,PUNE,7,10,17
234,DEHRA DUN,VARANASI,8,8,16
235,DELHI,DHARAMSALA,54,48,102
236,DELHI,DIBRUGARH,83,79,162
237,DELHI,DIMAPUR,25,27,52
238,DELHI,DURGAPUR,39,45,84
239,DELHI,GAYA,34,36,70
240,DELHI,GORAKHPUR,96,104,200
241,DELHI,GUWAHATI,543,555,1098
242,DELHI,GWALIOR,19,21,40
243,DELHI,HYDERABAD,985,969,1954
244,DELHI,IMPHAL,81,81,162
245,DELHI,INDORE,238,226,464
