S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,AHMEDABAD,3,4,7
2,AGARTALA,AIZAWL,5,5,10
3,AGARTALA,BENGALURU,42,38,80
5,AGARTALA,CHENNAI,19,19,38
6,AGARTALA,DELHI,51,51,102
7,AGARTALA,DIBRUGARH,9,13,22
8,AGARTALA,GUWAHATI,58,59,117
9,AGARTALA,IMPHAL,12,18,30
10,AGARTALA,KOLKATA,316,323,639
11,AGARTALA,SHILLONG,7,6,13
12,AGATTI ISLAND,BENGALURU,1,1,2
13,AGATTI ISLAND,KOCHI,12,15,27
14,AGATTI ISLAND,MYSORE,1,1,2
15,AGRA,AHMEDABAD,9,9,18
16,AGRA,BENGALURU,24,23,47
17,AGRA,BHOPAL,4,4,8
18,AGRA,LUCKNOW,5,7,12
19,AGRA,MUMBAI,19,17,36
20,AHMEDABAD,AMRITSAR,15,18,33
21,AHMEDABAD,BAGDOGRA,45,53,98
22,AHMEDABAD,BELGAUM,8,9,17
23,AHMEDABAD,BENGALURU,252,257,509
24,AHMEDABAD,BHOPAL,12,15,27
25,AHMEDABAD,BHUBANESWAR,32,32,64
26,AHMEDABAD,BHUJ,6,6,12
27,AHMEDABAD,CHANDIGARH,76,75,151
28,AHMEDABAD,CHENNAI,113,115,228
29,AHMEDABAD,COIMBATORE,13,9,22
30,AHMEDABAD,DABOLIM,156,183,339
31,AHMEDABAD,DEHRA DUN,60,71,131
32,AHMEDABAD,DELHI,570,706,1276
33,AHMEDABAD,DURGAPUR,2,3,5
34,AHMEDABAD,GUWAHATI,8,8,16
35,AHMEDABAD,GWALIOR,8,10,18
36,AHMEDABAD,HYDERABAD,129,128,257
37,AHMEDABAD,INDORE,15,15,30
38,AHMEDABAD,JAIPUR,49,52,101
39,AHMEDABAD,JODHPUR,14,14,28
40,AHMEDABAD,KOCHI,36,33,69
41,AHMEDABAD,KOLHAPUR,7,6,13
42,AHMEDABAD,KOLKATA,136,154,290
43,AHMEDABAD,LUCKNOW,77,88,165
44,AHMEDABAD,MUMBAI,439,434,873
45,AHMEDABAD,NAGPUR,26,28,54
46,AHMEDABAD,NASIK,10,9,19
47,AHMEDABAD,PATNA,51,67,118
48,AHMEDABAD,PUNE,141,136,277
49,AHMEDABAD,RAIPUR,26,26,52
50,AHMEDABAD,RANCHI,21,22,43
51,AHMEDABAD,SHIRDI,5,4,9
52,AHMEDABAD,TRIVANDRUM,2,1,3
53,AHMEDABAD,VARANASI,32,49,81
54,AHMEDABAD,VISAKHAPATNAM,7,5,12
55,AIZAWL,DELHI,17,17,34
56,AIZAWL,GUWAHATI,41,37,78
57,AIZAWL,IMPHAL,6,7,13
58,AIZAWL,KOLKATA,57,52,109
59,AIZAWL,MUMBAI,1,1,2
60,AIZAWL,SHILLONG,5,4,9
62,AJMER,DELHI,17,19,36
63,AJMER,HYDERABAD,19,20,39
64,AJMER,INDORE,3,3,6
