S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,AHMEDABAD,2,2,4
2,AGARTALA,AIZAWL,4,4,8
3,AGARTALA,BENGALURU,27,28,55
5,AGARTALA,DELHI,64,60,124
6,AGARTALA,DIBRUGARH,7,7,14
7,AGARTALA,GUWAHATI,43,47,90
8,AGARTALA,IMPHAL,7,10,17
9,AGARTALA,KOLKATA,333,291,624
11,AGARTALA,SHILLONG,9,5,14
12,AGATTI ISLAND,BENGALURU,1,1,2
13,AGATTI ISLAND,KOCHI,14,18,32
14,AGATTI ISLAND,MYSORE,1,1,2
15,AGRA,BENGALURU,21,21,42
16,AGRA,BHOPAL,4,5,9
17,AGRA,LUCKNOW,7,5,12
18,AGRA,MUMBAI,15,16,31
19,AHMEDABAD,AMRITSAR,4,4,8
20,AHMEDABAD,BAGDOGRA,37,34,71
21,AHMEDABAD,BELGAUM,7,7,14
22,AHMEDABAD,BENGALURU,283,259,542
23,AHMEDABAD,BHOPAL,18,20,38
25,AHMEDABAD,CHANDIGARH,87,82,169
26,AHMEDABAD,CHENNAI,97,91,188
27,AHMEDABAD,COIMBATORE,3,3,6
28,AHMEDABAD,DABOLIM,188,196,384
29,AHMEDABAD,DEHRA DUN,24,24,48
30,AHMEDABAD,DELHI,698,671,1369
32,AHMEDABAD,GWALIOR,15,15,30
33,AHMEDABAD,HYDERABAD,150,149,299
34,AHMEDABAD,INDORE,32,31,63
35,AHMEDABAD,JAIPUR,44,44,88
37,AHMEDABAD,KOCHI,10,8,18
38,AHMEDABAD,KOLKATA,155,146,301
39,AHMEDABAD,LUCKNOW,86,77,163
40,AHMEDABAD,MUMBAI,448,446,894
41,AHMEDABAD,NAGPUR,20,19,39
42,AHMEDABAD,NASIK,7,7,14
43,AHMEDABAD,PATNA,46,43,89
44,AHMEDABAD,PUNE,105,104,209
45,AHMEDABAD,UDAIPUR,7,7,14
46,AHMEDABAD,VARANASI,21,20,41
47,AHMEDABAD,VISAKHAPATNAM,1,2,3
48,AIZAWL,DELHI,18,18,36
49,AIZAWL,GUWAHATI,34,30,64
50,AIZAWL,IMPHAL,5,5,10
51,AIZAWL,KOLKATA,55,46,101
52,AIZAWL,MUMBAI,1,1,2
53,AIZAWL,SHILLONG,6,4,10
54,AJMER,DELHI,19,18,37
55,AJMER,HYDERABAD,23,24,47
56,AJMER,INDORE,6,6,12
58,AJMER,MUMBAI,16,16,32
59,AJMER,SURAT,5,5,10
60,ALLAHABAD,BENGALURU,43,42,85
61,ALLAHABAD,BHOPAL,13,13,26
62,ALLAHABAD,BHUBANESWAR,15,19,34
63,ALLAHABAD,BILASPUR,4,4,8
64,ALLAHABAD,DEHRA DUN,12,14,26
65,ALLAHABAD,DELHI,48,48,96
66,ALLAHABAD,GORAKHPUR,9,7,16
67,ALLAHABAD,INDORE,15,13,28
68,ALLAHABAD,LUCKNOW,2,2,4
69,ALLAHABAD,MUMBAI,44,45,89
70,ALLAHABAD,PUNE,26,28,54
71,ALLAHABAD,RAIPUR,18,17,35
72,AMRITSAR,BENGALURU,27,31,58
73,AMRITSAR,CHENNAI,1,1,2
74,AMRITSAR,DABOLIM,6,8,14
75,AMRITSAR,DELHI,346,347,693
76,AMRITSAR,GUWAHATI,5,4,9
77,AMRITSAR,HYDERABAD,5,4,9
78,AMRITSAR,JAIPUR,16,15,31
81,AMRITSAR,KOLKATA,39,40,79
82,AMRITSAR,LUCKNOW,3,2,5
83,AMRITSAR,MUMBAI,155,152,307
84,AMRITSAR,NANDED,5,4,9
85,AMRITSAR,PATNA,15,15,30
86,AMRITSAR,PUNE,18,19,37
87,AMRITSAR,SRINAGAR,50,42,92
88,AURANGABAD,DELHI,65,61,126
89,AURANGABAD,HYDERABAD,21,19,40
90,AURANGABAD,MUMBAI,56,59,115
91,BAGDOGRA,BENGALURU,140,125,265
93,BAGDOGRA,CHENNAI,31,27,58
94,BAGDOGRA,DELHI,444,429,873
95,BAGDOGRA,DIBRUGARH,29,27,56
97,BAGDOGRA,HYDERABAD,49,50,99
98,BAGDOGRA,JAIPUR,23,19,42
99,BAGDOGRA,KOLKATA,305,308,613
100,BAGDOGRA,MUMBAI,91,84,175
101,BAREILLY,BENGALURU,30,28,58
102,BAREILLY,DELHI,16,14,30
103,BAREILLY,MUMBAI,28,27,55
104,BELGAUM,BENGALURU,21,21,42
105,BELGAUM,DELHI,23,20,43
106,BELGAUM,HYDERABAD,34,33,67
107,BELGAUM,INDORE,6,6,12
108,BELGAUM,JODHPUR,6,5,11
109,BELGAUM,MUMBAI,30,28,58
110,BELGAUM,NASIK,4,4,8
111,BELGAUM,PUNE,9,8,17
112,BELGAUM,SURAT,5,5,10
113,BELGAUM,TIRUPATI,4,3,7
114,BENGALURU,BHOPAL,37,43,80
115,BENGALURU,BHUBANESWAR,182,203,385
116,BENGALURU,CHANDIGARH,125,117,242
117,BENGALURU,CHENNAI,336,364,700
118,BENGALURU,COIMBATORE,95,108,203
119,BENGALURU,DABOLIM,435,454,889
120,BENGALURU,DARBHANGA,53,57,110
121,BENGALURU,DEHRA DUN,44,42,86
122,BENGALURU,DELHI,1381,1425,2806
123,BENGALURU,DIBRUGARH,16,17,33
124,BENGALURU,DIMAPUR,7,6,13
125,BENGALURU,DURGAPUR,40,44,84
126,BENGALURU,GORAKHPUR,16,16,32
127,BENGALURU,GUWAHATI,175,192,367
128,BENGALURU,GWALIOR,20,20,40
129,BENGALURU,HUBLI,46,49,95
130,BENGALURU,HYDERABAD,574,593,1167
131,BENGALURU,IMPHAL,3,4,7
132,BENGALURU,INDORE,83,90,173
133,BENGALURU,JABALPUR,21,22,43
134,BENGALURU,JAIPUR,201,201,402
135,BENGALURU,JAMMU,1,1,2
136,BENGALURU,JAMNAGAR,6,6,12
137,BENGALURU,JHARSUGUDA,9,12,21
138,BENGALURU,JODHPUR,32,35,67
139,BENGALURU,JORHAT,4,4,8
140,BENGALURU,KADAPA,1,1,2
141,BENGALURU,"KALABURAGI, KARNATAKA",27,28,55
142,BENGALURU,KANNUR,28,30,58
143,BENGALURU,KANPUR,35,38,73
144,BENGALURU,KOCHI,361,360,721
145,BENGALURU,KOLHAPUR,4,5,9
146,BENGALURU,KOLKATA,642,681,1323
147,BENGALURU,KOZHIKODE,31,42,73
148,BENGALURU,KURNOOL,5,6,11
149,BENGALURU,LUCKNOW,183,179,362
150,BENGALURU,MADURAI,60,63,123
151,BENGALURU,MANGALORE,175,174,349
152,BENGALURU,MUMBAI,1031,1048,2079
153,BENGALURU,MYSORE,6,9,15
154,BENGALURU,NAGPUR,95,96,191
155,BENGALURU,PATNA,205,198,403
156,BENGALURU,PONDICHERRY,2,2,4
157,BENGALURU,PORT BLAIR,53,49,102
158,BENGALURU,PUNE,416,395,811
159,BENGALURU,RAIPUR,64,71,135
160,BENGALURU,RAJAHMUNDRY,24,26,50
161,BENGALURU,RAJKOT,36,38,74
162,BENGALURU,RANCHI,134,150,284
163,BENGALURU,SHIRDI,50,47,97
164,BENGALURU,SILCHAR,16,15,31
165,BENGALURU,SRINAGAR,15,15,30
166,BENGALURU,SURAT,54,56,110
167,BENGALURU,TIRUCHIRAPALLY,37,34,71
168,BENGALURU,TIRUPATI,13,13,26
169,BENGALURU,TRIVANDRUM,133,143,276
170,BENGALURU,TUTICORIN,9,10,19
171,BENGALURU,UDAIPUR,34,40,74
172,BENGALURU,VADODARA,43,45,88
173,BENGALURU,VARANASI,120,126,246
174,BENGALURU,VIJAYAWADA,78,86,164
175,BENGALURU,VISAKHAPATNAM,136,144,280
176,BHAVNAGAR,MUMBAI,10,11,21
177,BHOPAL,CHENNAI,1,2,3
178,BHOPAL,DELHI,184,175,359
179,BHOPAL,HYDERABAD,21,18,39
180,BHOPAL,KOCHI,4,5,9
181,BHOPAL,MUMBAI,137,137,274
182,BHOPAL,PUNE,16,13,29
183,BHOPAL,RAIPUR,11,11,22
184,BHUBANESWAR,CHANDIGARH,1,1,2
185,BHUBANESWAR,CHENNAI,49,45,94
186,BHUBANESWAR,DELHI,417,407,824
187,BHUBANESWAR,HYDERABAD,126,122,248
188,BHUBANESWAR,JAIPUR,22,22,44
189,BHUBANESWAR,JHARSUGUDA,13,12,25
190,BHUBANESWAR,KOLKATA,195,192,387
191,BHUBANESWAR,LUCKNOW,7,6,13
192,BHUBANESWAR,MUMBAI,190,181,371
193,BHUBANESWAR,PATNA,5,6,11
194,BHUBANESWAR,PUNE,49,40,89
195,BHUBANESWAR,RAIPUR,16,14,30
196,BHUBANESWAR,RANCHI,4,4,8
197,BHUBANESWAR,SURAT,2,3,5
198,BHUBANESWAR,VARANASI,18,18,36
199,BHUJ,MUMBAI,11,11,22
200,BIKANER,DELHI,11,11,22
201,BILASPUR,DELHI,5,5,10
202,BILASPUR,JABALPUR,3,3,6
203,CHANDIGARH,CHENNAI,7,8,15
204,CHANDIGARH,DABOLIM,56,60,116
205,CHANDIGARH,DELHI,271,285,556
206,CHANDIGARH,DHARAMSALA,9,10,19
207,CHANDIGARH,GUWAHATI,8,8,16
208,CHANDIGARH,HYDERABAD,91,103,194
209,CHANDIGARH,JAIPUR,36,33,69
210,CHANDIGARH,KOLKATA,32,35,67
211,CHANDIGARH,KULLU,6,2,8
212,CHANDIGARH,LEH,31,15,46
213,CHANDIGARH,LUCKNOW,28,31,59
214,CHANDIGARH,MUMBAI,382,403,785
215,CHANDIGARH,PATNA,29,36,65
216,CHANDIGARH,PUNE,44,41,85
217,CHANDIGARH,SRINAGAR,95,86,181
218,CHANDIGARH,VADODARA,3,4,7
219,CHENNAI,COIMBATORE,287,284,571
220,CHENNAI,DABOLIM,69,65,134
221,CHENNAI,DARBHANGA,3,2,5
222,CHENNAI,DEHRA DUN,6,5,11
223,CHENNAI,DELHI,811,823,1634
224,CHENNAI,DIBRUGARH,6,7,13
225,CHENNAI,DURGAPUR,37,37,74
227,CHENNAI,GUWAHATI,117,139,256
228,CHENNAI,HUBLI,13,15,28
229,CHENNAI,HYDERABAD,464,463,927
230,CHENNAI,INDORE,13,17,30
231,CHENNAI,JAIPUR,70,61,131
232,CHENNAI,JODHPUR,56,55,111
233,CHENNAI,KADAPA,1,1,2
234,CHENNAI,KANNUR,19,17,36
235,CHENNAI,KOCHI,136,138,274
236,CHENNAI,KOLKATA,352,351,703
237,CHENNAI,KOZHIKODE,18,18,36
238,CHENNAI,KURNOOL,5,6,11
239,CHENNAI,LUCKNOW,35,37,72
240,CHENNAI,MADURAI,127,126,253
241,CHENNAI,MANGALORE,20,19,39
242,CHENNAI,MUMBAI,618,606,1224
243,CHENNAI,MYSORE,13,14,27
244,CHENNAI,NAGPUR,20,24,44
245,CHENNAI,PATNA,40,50,90
246,CHENNAI,PORT BLAIR,120,125,245
247,CHENNAI,PUNE,169,174,343
248,CHENNAI,RAIPUR,26,25,51
249,CHENNAI,RAJAHMUNDRY,16,18,34
250,CHENNAI,RANCHI,35,39,74
251,CHENNAI,SHIRDI,51,48,99
252,CHENNAI,SRINAGAR,3,1,4
253,CHENNAI,SURAT,5,5,10
254,CHENNAI,TIRUCHIRAPALLY,50,44,94
255,CHENNAI,TRIVANDRUM,64,65,129
256,CHENNAI,TUTICORIN,60,58,118
257,CHENNAI,VADODARA,2,2,4
258,CHENNAI,VARANASI,59,53,112
259,CHENNAI,VIJAYAWADA,31,32,63
260,CHENNAI,VISAKHAPATNAM,71,80,151
262,COIMBATORE,DELHI,104,101,205
263,COIMBATORE,GUWAHATI,3,2,5
264,COIMBATORE,HYDERABAD,127,122,249
265,COIMBATORE,JAIPUR,5,3,8
