S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,VISAKHAPATNAM,1,1,2
2,AGARTALA,AHMEDABAD,4,3,7
3,AGARTALA,AIZAWL,7,7,14
4,AGARTALA,BENGALURU,29,25,54
5,AGARTALA,CHENNAI,18,10,28
6,AGARTALA,DELHI,49,49,98
7,AGARTALA,DIBRUGARH,11,15,26
8,AGARTALA,GUWAHATI,93,101,194
9,AGARTALA,IMPHAL,13,16,29
10,AGARTALA,KOLKATA,250,260,510
11,AGARTALA,SHILLONG,6,6,12
12,AGATTI ISLAND,BENGALURU,1,1,2
13,AGATTI ISLAND,KOCHI,15,19,34
14,AGRA,AHMEDABAD,9,7,16
15,AGRA,BENGALURU,21,20,41
16,AGRA,BHOPAL,3,3,6
17,AGRA,LUCKNOW,5,4,9
18,AGRA,MUMBAI,14,11,25
19,AHMEDABAD,AMRITSAR,7,6,13
20,AHMEDABAD,BAGDOGRA,35,44,79
21,AHMEDABAD,BELGAUM,8,9,17
22,AHMEDABAD,BENGALURU,410,413,823
23,AHMEDABAD,BHOPAL,17,19,36
24,AHMEDABAD,BHUBANESWAR,22,23,45
25,AHMEDABAD,BHUJ,7,7,14
26,AHMEDABAD,CHANDIGARH,85,93,178
27,AHMEDABAD,CHENNAI,123,131,254
28,AHMEDABAD,COIMBATORE,9,10,19
29,AHMEDABAD,DABOLIM,158,167,325
30,AHMEDABAD,DEHRA DUN,38,36,74
31,AHMEDABAD,DELHI,860,936,1796
32,AHMEDABAD,DURGAPUR,2,2,4
33,AHMEDABAD,HYDERABAD,181,199,380
34,AHMEDABAD,INDORE,20,23,43
35,AHMEDABAD,JAIPUR,95,107,202
36,AHMEDABAD,JODHPUR,15,16,31
37,AHMEDABAD,KOCHI,45,45,90
38,AHMEDABAD,KOLHAPUR,9,8,17
39,AHMEDABAD,KOLKATA,151,184,335
40,AHMEDABAD,JAISALMER,8,9,17
41,AHMEDABAD,JAMMU,16,22,38
42,AHMEDABAD,LUCKNOW,84,105,189
43,AHMEDABAD,MUMBAI,832,842,1674
44,AHMEDABAD,NAGPUR,39,40,79
45,AHMEDABAD,PATNA,45,58,103
46,AHMEDABAD,PUNE,182,179,361
47,AHMEDABAD,RAIPUR,19,19,38
48,AHMEDABAD,RANCHI,26,28,54
49,AHMEDABAD,PORT BLAIR,1,26,27
50,AHMEDABAD,TRIVANDRUM,4,4,8
51,AHMEDABAD,VARANASI,62,79,141
52,AHMEDABAD,VISAKHAPATNAM,4,4,8
53,AIZAWL,DELHI,17,20,37
54,AIZAWL,GUWAHATI,53,51,104
55,AIZAWL,IMPHAL,8,8,16
56,AIZAWL,KOLKATA,60,60,120
57,AIZAWL,MUMBAI,3,3,6
58,AIZAWL,SHILLONG,6,6,12
