S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGRA,AHMEDABAD,7,7,14
2,AGRA,BENGALURU,25,27,52
3,AGRA,BHOPAL,2,3,5
4,AGRA,LUCKNOW,6,6,12
5,AGRA,MUMBAI,14,16,30
6,AGATTI ISLAND,BENGALURU,1,1,2
7,AGATTI ISLAND,KOCHI,17,19,36
8,AGATTI ISLAND,MYSORE,1,1,2
9,AIZAWL,DELHI,20,20,40
10,AIZAWL,GUWAHATI,45,36,81
11,AIZAWL,IMPHAL,1,1,2
12,AIZAWL,KOLKATA,53,52,105
13,AIZAWL,MUMBAI,3,3,6
14,AIZAWL,SHILLONG,5,5,10
15,AHMEDABAD,AMRITSAR,12,11,23
16,AHMEDABAD,BAGDOGRA,49,36,85
17,AHMEDABAD,BELGAUM,8,8,16
18,AHMEDABAD,BENGALURU,426,406,832
19,AHMEDABAD,BHOPAL,19,17,36
20,AHMEDABAD,BHUBANESWAR,36,32,68
21,AHMEDABAD,BHUJ,5,5,10
22,AHMEDABAD,CHANDIGARH,118,86,204
23,AHMEDABAD,CHENNAI,108,95,203
24,AHMEDABAD,COIMBATORE,11,6,17
25,AHMEDABAD,DABOLIM,177,159,336
26,AHMEDABAD,DEHRA DUN,59,53,112
27,AHMEDABAD,DELHI,889,779,1668
28,AHMEDABAD,DURGAPUR,3,3,6
29,AHMEDABAD,GUWAHATI,6,7,13
30,AHMEDABAD,HYDERABAD,153,131,284
31,AHMEDABAD,INDORE,20,20,40
32,AHMEDABAD,JAIPUR,88,67,155
33,AHMEDABAD,JODHPUR,19,14,33
34,AHMEDABAD,KOCHI,36,31,67
35,AHMEDABAD,KOLHAPUR,7,5,12
36,AHMEDABAD,KOLKATA,190,146,336
37,AHMEDABAD,JAISALMER,1,1,2
38,AHMEDABAD,JAMMU,2,2,4
39,AHMEDABAD,LUCKNOW,89,65,154
40,AHMEDABAD,MUMBAI,768,762,1530
41,AHMEDABAD,NAGPUR,39,35,74
42,AHMEDABAD,NASIK,9,9,18
43,AHMEDABAD,PATNA,90,59,149
44,AHMEDABAD,PUNE,171,171,342
45,AHMEDABAD,RAIPUR,19,17,36
46,AHMEDABAD,RANCHI,22,20,42
47,AHMEDABAD,PORT BLAIR,2,1,3
48,AHMEDABAD,TRIVANDRUM,4,4,8
49,AHMEDABAD,VARANASI,54,34,88
50,AHMEDABAD,VISAKHAPATNAM,6,3,9
51,AMRITSAR,BENGALURU,32,39,71
52,AMRITSAR,CHENNAI,2,3,5
54,AMRITSAR,DABOLIM,14,18,32
55,AMRITSAR,DELHI,299,326,625
57,AMRITSAR,GUWAHATI,3,4,7
58,AMRITSAR,HYDERABAD,1,1,2
60,AMRITSAR,KOLKATA,50,45,95
61,AMRITSAR,LUCKNOW,14,14,28
62,AMRITSAR,MUMBAI,115,137,252
63,AMRITSAR,PATNA,15,13,28
64,AMRITSAR,PUNE,25,27,52
65,AMRITSAR,SRINAGAR,36,38,74
66,BHUBANESWAR,CHANDIGARH,5,6,11
67,BHUBANESWAR,CHENNAI,74,71,145
69,BHUBANESWAR,DELHI,375,416,791
70,BHUBANESWAR,HYDERABAD,129,138,267
71,BHUBANESWAR,JAIPUR,19,20,39
72,BHUBANESWAR,JHARSUGUDA,12,13,25
73,BHUBANESWAR,KOLKATA,173,190,363
74,BHUBANESWAR,LUCKNOW,5,4,9
75,BHUBANESWAR,MUMBAI,190,223,413
76,BHUBANESWAR,PATNA,35,27,62
77,BHUBANESWAR,PUNE,48,53,101
78,BHUBANESWAR,RAIPUR,17,17,34
80,BHUBANESWAR,RANCHI,5,5,10
81,BHUBANESWAR,VARANASI,19,19,38
82,BAREILLY,BENGALURU,20,24,44
83,BAREILLY,DELHI,10,11,21
84,BAREILLY,MUMBAI,27,33,60
85,BHUJ,MUMBAI,9,10,19
86,BHOPAL,CHENNAI,2,2,4
87,BHOPAL,DELHI,184,192,376
88,BHOPAL,HYDERABAD,19,19,38
89,BHOPAL,KOCHI,7,7,14
90,BHOPAL,MUMBAI,108,121,229
91,BHOPAL,RAIPUR,18,19,37
92,BHAVNAGAR,MUMBAI,11,12,23
93,BHAVNAGAR,PUNE,13,14,27
94,BIKANER,DELHI,11,11,22
95,BENGALURU,BHOPAL,42,39,81
96,BENGALURU,BHUBANESWAR,260,232,492
97,BENGALURU,"BIDAR AIRPORT, KARNATAKA",4,5,9
99,BENGALURU,CHANDIGARH,143,120,263
100,BENGALURU,CHENNAI,435,430,865
101,BENGALURU,COIMBATORE,82,89,171
102,BENGALURU,DABOLIM,464,452,916
103,BENGALURU,DARBHANGA,75,53,128
104,BENGALURU,DEHRA DUN,92,88,180
105,BENGALURU,DELHI,1738,1598,3336
106,BENGALURU,DIMAPUR,9,5,14
107,BENGALURU,DURGAPUR,44,43,87
108,BENGALURU,GORAKHPUR,10,9,19
109,BENGALURU,GUWAHATI,248,226,474
110,BENGALURU,GWALIOR,23,19,42
111,BENGALURU,HUBLI,40,40,80
112,BENGALURU,HYDERABAD,638,604,1242
113,BENGALURU,IMPHAL,7,4,11
114,BENGALURU,INDORE,113,107,220
115,BENGALURU,JABALPUR,21,17,38
116,BENGALURU,JAIPUR,202,172,374
117,BENGALURU,JAMMU,8,7,15
118,BENGALURU,JAMNAGAR,5,4,9
119,BENGALURU,JODHPUR,46,45,91
120,BENGALURU,JORHAT,7,6,13
121,BENGALURU,KADAPA,3,3,6
122,BENGALURU,"KALABURAGI, KARNATAKA",24,24,48
123,BENGALURU,KANNUR,36,36,72
124,BENGALURU,KANPUR,32,31,63
125,BENGALURU,KOCHI,640,641,1281
126,BENGALURU,KOLKATA,851,743,1594
127,BENGALURU,KOZHIKODE,40,43,83
128,BENGALURU,KURNOOL,4,5,9
129,BENGALURU,LUCKNOW,234,187,421
130,BENGALURU,MADURAI,59,54,113
131,BENGALURU,MANGALORE,193,198,391
132,BENGALURU,MUMBAI,1427,1491,2918
133,BENGALURU,MYSORE,6,9,15
134,BENGALURU,NAGPUR,140,128,268
135,BENGALURU,PATNA,250,161,411
136,BENGALURU,PONDICHERRY,10,9,19
137,BENGALURU,PORT BLAIR,70,67,137
138,BENGALURU,PUNE,519,577,1096
139,BENGALURU,RAIPUR,100,83,183
140,BENGALURU,RAJAHMUNDRY,38,38,76
141,BENGALURU,RAJKOT,43,46,89
142,BENGALURU,RANCHI,225,170,395
143,BENGALURU,SHIRDI,79,78,157
144,BENGALURU,SRINAGAR,9,15,24
145,BENGALURU,SURAT,45,45,90
146,BENGALURU,TIRUCHIRAPALLY,37,34,71
147,BENGALURU,TIRUPATI,20,18,38
148,BENGALURU,TRIVANDRUM,135,147,282
149,BENGALURU,TUTICORIN,15,15,30
150,BENGALURU,UDAIPUR,43,43,86
151,BENGALURU,VADODARA,58,58,116
152,BENGALURU,VARANASI,154,124,278
153,BENGALURU,VIJAYAWADA,91,91,182
154,BENGALURU,VISAKHAPATNAM,187,184,371
155,BENGALURU,NASIK,2,1,3
156,MUMBAI,NAGPUR,275,249,524
157,MUMBAI,PATNA,230,160,390
158,MUMBAI,PORT BLAIR,4,4,8
159,MUMBAI,RAIPUR,160,134,294
160,MUMBAI,RAJKOT,127,128,255
161,MUMBAI,RANCHI,153,121,274
162,MUMBAI,SILCHAR,1,1,2
164,MUMBAI,SRINAGAR,100,134,234
165,MUMBAI,TIRUPATI,11,8,19
166,MUMBAI,TRIVANDRUM,125,125,250
167,MUMBAI,UDAIPUR,193,174,367
168,MUMBAI,VADODARA,125,139,264
169,MUMBAI,VARANASI,279,200,479
170,MUMBAI,VISAKHAPATNAM,43,46,89
171,MUMBAI,Sindhudurg Airport,14,14,28
172,BENGALURU,VIDYANAGAR,1,1,2
173,KOZHIKODE,MUMBAI,61,58,119
174,KOLKATA,LILABARI,13,13,26
175,KOLKATA,LUCKNOW,127,131,258
176,KOLKATA,MANGALORE,3,2,5
177,BHOPAL,BILASPUR,1,1,2
178,KOLKATA,MUMBAI,562,653,1215
179,KOLKATA,NAGPUR,42,48,90
182,KOLKATA,PATNA,143,112,255
183,KOLKATA,PORT BLAIR,181,197,378
184,KOLKATA,PUNE,152,190,342
185,KOLKATA,RAIPUR,97,104,201
186,KOLKATA,RANCHI,52,51,103
187,KOLKATA,RUPSI,13,14,27
188,KOLKATA,SHILLONG,16,16,32
189,KOLKATA,SILCHAR,88,89,177
190,KOLKATA,SRINAGAR,10,17,27
191,KOLKATA,SURAT,51,77,128
193,KOLKATA,TRIVANDRUM,6,8,14
194,BHUBANESWAR,JEYPORE,1,1,2
195,KOLKATA,UDAIPUR,4,4,8
196,KOLKATA,VARANASI,60,58,118
197,KOLKATA,VISAKHAPATNAM,37,44,81
198,KADAPA,VIJAYAWADA,5,4,9
199,KADAPA,VISAKHAPATNAM,4,5,9
200,COIMBATORE,DELHI,125,116,241
201,COIMBATORE,GUWAHATI,5,3,8
202,COIMBATORE,HYDERABAD,178,167,345
203,COIMBATORE,JAIPUR,6,4,10
204,COIMBATORE,MUMBAI,125,138,263
205,BILASPUR,INDORE,5,4,9
206,COIMBATORE,PUNE,41,45,86
207,COIMBATORE,SURAT,5,5,10
208,COIMBATORE,TIRUPATI,6,7,13
209,COIMBATORE,VISAKHAPATNAM,1,4,5
210,KANNUR,KOCHI,15,13,28
211,KANNUR,KOZHIKODE,1,1,2
212,KANNUR,MUMBAI,20,17,37
213,KANNUR,TRIVANDRUM,14,14,28
214,KOCHI,KOLKATA,32,32,64
215,KOCHI,MUMBAI,226,247,473
216,KOCHI,MYSORE,12,11,23
217,KOCHI,PUNE,39,44,83
218,KOCHI,RANCHI,4,3,7
219,KOCHI,TRIVANDRUM,19,20,39
220,DARBHANGA,DELHI,62,71,133
221,DARBHANGA,HYDERABAD,36,41,77
222,DARBHANGA,KOLKATA,29,36,65
223,DARBHANGA,MUMBAI,49,78,127
224,DEHRA DUN,DELHI,246,248,494
225,DEHRA DUN,GUWAHATI,4,3,7
226,DEHRA DUN,HYDERABAD,43,41,84
227,DEHRA DUN,JAIPUR,24,23,47
228,DEHRA DUN,KOLKATA,22,22,44
229,DEHRA DUN,LUCKNOW,44,46,90
230,DEHRA DUN,MUMBAI,154,171,325
231,DEHRA DUN,PANTNAGAR,3,3,6
