S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGRA,AHMEDABAD,6,5,11
2,AGRA,BENGALURU,22,22,44
3,AGRA,BHOPAL,1,2,3
4,AGRA,LUCKNOW,3,4,7
5,AGRA,MUMBAI,15,16,31
6,AGATTI ISLAND,BENGALURU,1,1,2
7,AGATTI ISLAND,KOCHI,12,15,27
8,AGATTI ISLAND,MYSORE,1,1,2
9,AIZAWL,DELHI,18,18,36
10,AIZAWL,GUWAHATI,40,35,75
11,AIZAWL,KOLKATA,54,50,104
12,AIZAWL,MUMBAI,2,2,4
13,AIZAWL,SHILLONG,5,4,9
14,AHMEDABAD,AMRITSAR,5,4,9
15,AHMEDABAD,BAGDOGRA,6,3,9
16,AHMEDABAD,BELGAUM,7,8,15
17,AHMEDABAD,BENGALURU,340,366,706
18,AHMEDABAD,BHOPAL,16,18,34
19,AHMEDABAD,BHUBANESWAR,13,14,27
20,AHMEDABAD,BHUJ,5,6,11
21,AHMEDABAD,CHANDIGARH,66,59,125
22,AHMEDABAD,CHENNAI,88,98,186
23,AHMEDABAD,COIMBATORE,8,6,14
24,AHMEDABAD,DABOLIM,145,164,309
25,AHMEDABAD,DEHRA DUN,59,56,115
26,AHMEDABAD,DELHI,729,758,1487
27,AHMEDABAD,DURGAPUR,3,2,5
28,AHMEDABAD,GUWAHATI,7,6,13
29,AHMEDABAD,HYDERABAD,121,130,251
30,AHMEDABAD,INDORE,17,18,35
31,AHMEDABAD,JAIPUR,66,59,125
32,AHMEDABAD,JODHPUR,18,16,34
33,AHMEDABAD,KOCHI,28,30,58
34,AHMEDABAD,KOLHAPUR,6,5,11
35,AHMEDABAD,KOLKATA,142,134,276
36,AHMEDABAD,LUCKNOW,61,56,117
37,AHMEDABAD,MUMBAI,781,790,1571
38,AHMEDABAD,NAGPUR,30,31,61
39,AHMEDABAD,NASIK,10,9,19
40,AHMEDABAD,PATNA,49,47,96
41,AHMEDABAD,PUNE,136,145,281
42,AHMEDABAD,RAIPUR,29,28,57
43,AHMEDABAD,RANCHI,14,14,28
44,AHMEDABAD,TRIVANDRUM,3,2,5
45,AHMEDABAD,VARANASI,43,42,85
46,AHMEDABAD,VISAKHAPATNAM,4,1,5
47,AMRITSAR,BENGALURU,26,27,53
48,AMRITSAR,CHENNAI,2,3,5
49,AHMEDABAD,UDAIPUR,22,1,23
50,AMRITSAR,DELHI,281,313,594
51,AMRITSAR,GUWAHATI,1,2,3
52,AMRITSAR,JAIPUR,5,5,10
53,AMRITSAR,JAMMU,22,3,25
54,AMRITSAR,KOLKATA,40,39,79
55,AMRITSAR,LUCKNOW,15,10,25
56,AMRITSAR,MUMBAI,96,107,203
57,AMRITSAR,PATNA,9,10,19
58,AMRITSAR,PUNE,18,21,39
59,AMRITSAR,SRINAGAR,35,37,72
60,BHUBANESWAR,CHANDIGARH,6,5,11
61,BHUBANESWAR,CHENNAI,69,73,142
62,BHUBANESWAR,DEHRA DUN,22,1,23
63,BHUBANESWAR,DELHI,344,345,689
64,BHUBANESWAR,HYDERABAD,96,102,198
65,BHUBANESWAR,JAIPUR,15,17,32
66,BHUBANESWAR,JHARSUGUDA,12,12,24
67,BHUBANESWAR,KOLKATA,156,155,311
68,ALLAHABAD,JABALPUR,1,1,2
69,BHUBANESWAR,LUCKNOW,1,1,2
70,BHUBANESWAR,MUMBAI,204,201,405
71,BHUBANESWAR,PATNA,30,25,55
72,BHUBANESWAR,PUNE,25,29,54
73,BHUBANESWAR,RAIPUR,3,2,5
74,AMRITSAR,CHANDIGARH,1,23,24
75,BHUBANESWAR,RANCHI,4,4,8
76,BHUBANESWAR,VARANASI,15,15,30
77,BAREILLY,BENGALURU,14,17,31
78,BAREILLY,DELHI,15,13,28
79,BAREILLY,MUMBAI,18,20,38
80,BHUJ,MUMBAI,10,11,21
81,BHOPAL,DELHI,168,159,327
82,BHOPAL,HYDERABAD,19,20,39
83,BHOPAL,INDORE,1,23,24
84,BHOPAL,KOCHI,6,7,13
85,BHOPAL,MUMBAI,116,111,227
86,BHOPAL,RAIPUR,18,17,35
87,BHAVNAGAR,MUMBAI,17,18,35
88,BHAVNAGAR,PUNE,10,9,19
89,BIKANER,DELHI,12,13,25
90,BENGALURU,BHOPAL,33,31,64
91,BENGALURU,BHUBANESWAR,204,185,389
92,BENGALURU,"BIDAR AIRPORT, KARNATAKA",6,6,12
93,BENGALURU,CHANDIGARH,140,106,246
94,BENGALURU,CHENNAI,362,383,745
95,BENGALURU,COIMBATORE,80,90,170
96,BAGDOGRA,RANCHI,1,1,2
97,BAGDOGRA,SILCHAR,2,23,25
98,BENGALURU,DABOLIM,383,365,748
99,BENGALURU,DARBHANGA,46,36,82
100,BENGALURU,DEHRA DUN,47,41,88
101,BENGALURU,DELHI,1597,1452,3049
102,BENGALURU,DIMAPUR,9,5,14
103,BENGALURU,DURGAPUR,38,35,73
104,BENGALURU,GORAKHPUR,9,9,18
105,BENGALURU,GUWAHATI,134,119,253
106,BENGALURU,GWALIOR,15,13,28
107,BENGALURU,HUBLI,44,45,89
108,BENGALURU,HYDERABAD,594,588,1182
109,BENGALURU,IMPHAL,2,3,5
110,BENGALURU,INDORE,117,108,225
111,BENGALURU,JABALPUR,16,14,30
112,BENGALURU,JAIPUR,182,164,346
113,BENGALURU,JAMMU,4,3,7
114,BENGALURU,JAMNAGAR,5,4,9
115,BENGALURU,JODHPUR,41,40,81
116,BENGALURU,JORHAT,6,6,12
